﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","228,494,000","116,954,000","77,487,000","21,904,000","216,345,000","272,651,000"
"10007849","Abertay University","34,764,000","28,031,000","3,518,000","2,429,000","33,978,000","37,230,000"
"10007856","Aberystwyth University","116,282,000","60,598,000","26,667,000","16,035,000","103,300,000","146,328,000"
"10000163","AECC University College","9,183,000","7,754,000","43,000","1,254,000","9,051,000","9,450,000"
"10000291","Anglia Ruskin University","216,597,000","191,184,000","8,769,000","8,814,000","208,767,000","208,177,000"
"10007759","Aston University","157,447,000","119,473,000","23,324,000","6,782,000","149,579,000","198,897,000"
"10007857","Bangor University","146,380,000","86,563,000","28,921,000","16,758,000","132,242,000","166,448,000"
"10000571","Bath Spa University","83,256,000","66,911,000","3,008,000","4,799,000","74,718,000","84,304,000"
"10007850","The University of Bath","309,744,000","187,270,000","57,098,000","30,721,000","275,089,000","354,204,000"
"10007152","University of Bedfordshire","119,730,000","103,531,000","5,500,000","8,560,000","117,591,000","119,147,000"
"10005343","Queen's University Belfast","372,266,000","181,527,000","126,970,000","47,093,000","355,590,000","436,369,000"
"10007760","Birkbeck College","105,422,000","75,588,000","18,430,000","10,000,000","104,018,000","134,454,000"
"10007140","Birmingham City University","246,766,000","224,138,000","4,989,000","10,157,000","239,284,000","236,661,000"
"10000712","University College Birmingham","53,204,000","45,156,000","0","2,241,000","47,397,000","50,439,000"
"10007832","Birmingham Newman University","24,305,000","21,370,000","207,000","1,256,000","22,833,000","22,590,000"
"10007811","Bishop Grosseteste University","24,281,000","19,650,000","313,000","1,456,000","21,419,000","25,958,000"
"10006841","The University of Bolton","86,068,000","78,291,000","920,000","5,183,000","84,394,000","87,358,000"
"10000385","The Arts University Bournemouth","42,661,000","35,195,000","248,000","1,912,000","37,355,000","42,137,000"
"10000824","Bournemouth University","160,188,000","135,063,000","9,741,000","5,590,000","150,394,000","163,984,000"
"10007785","The University of Bradford","109,160,000","87,625,000","11,253,000","8,092,000","106,970,000","130,053,000"
"10000886","The University of Brighton","211,453,000","164,106,000","12,392,000","15,709,000","192,207,000","216,212,000"
"10000936","The University College of Osteopathy","5,640,000","4,601,000","137,000","902,000","5,640,000","5,338,000"
"10007786","The University of Bristol","706,891,000","337,020,000","219,595,000","100,355,000","656,970,000","776,290,000"
"10000961","Brunel University London","229,753,000","146,941,000","34,404,000","10,028,000","191,373,000","262,169,000"
"10000975","Buckinghamshire New University","58,525,000","48,494,000","815,000","2,851,000","52,160,000","60,285,000"
