﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Contract salary < £19,612 ","Contract salary ≥ £19,612 and < £25,941 ","Contract salary ≥ £25,941 and < £34,804 ","Contract salary ≥ £34,804 and < £46,718 ","Contract salary ≥ £46,718 and < £62,727 ","Contract salary ≥ £62,727 ","Total"
"10007783","The University of Aberdeen","0","0","70","285","410","250","1,020"
"10007849","Abertay University","0","0","15","65","65","30","180"
"10007856","Aberystwyth University","0","0","50","145","150","85","430"
"10067853","ACM Guildford Limited","0","0","0","5","5","0","10"
"10000163","AECC University College","0","0","0","15","10","5","30"
"10000291","Anglia Ruskin University","0","0","35","200","290","70","590"
"10005451","Arden University","0","0","0","60","10","10","80"
"10007759","Aston University","0","10","65","265","360","105","805"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","5"
"10007857","Bangor University","0","0","60","210","240","80","590"
"10000571","Bath Spa University","0","0","0","60","185","30","275"
"10007850","The University of Bath","0","10","75","330","510","235","1,160"
"10007152","University of Bedfordshire","0","0","15","175","210","45","445"
"10005343","Queen's University Belfast","0","30","130","685","570","355","1,770"
"10037544","BIMM University","5","30","380","110","50","15","590"
"10007760","Birkbeck College","0","0","0","125","130","205","460"
"10007140","Birmingham City University","0","0","65","390","520","75","1,050"
"10006840","The University of Birmingham","0","25","470","730","1,175","680","3,080"
"10000712","University College Birmingham","10","0","10","135","60","5","225"
"10007832","Birmingham Newman University","0","0","5","35","55","10","105"
"10007811","Bishop Grosseteste University","0","0","0","30","55","5","95"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","5"
"10006841","The University of Bolton","0","0","40","175","95","20","325"
"10000385","The Arts University Bournemouth","0","5","65","95","10","5","180"
"10000824","Bournemouth University","0","25","75","305","215","130","750"
"10007785","The University of Bradford","0","0","15","120","220","80","440"
"10000886","The University of Brighton","0","5","20","120","500","130","775"
"10000936","The University College of Osteopathy","0","0","0","0","5","5","10"
"10007786","The University of Bristol","0","0","55","1,210","885","530","2,680"
"10000961","Brunel University London","0","0","15","185","420","235","855"
"10000975","Buckinghamshire New University","0","5","60","80","100","15","260"
"10007788","The University of Cambridge","0","10","980","1,985","1,065","1,145","5,185"
"10003324","The Institute of Cancer Research","0","0","70","320","135","75","605"
"10001143","Canterbury Christ Church University","0","0","30","150","220","50","450"
"10007814","Cardiff University","0","0","215","850","775","635","2,475"
"10007854","Cardiff Metropolitan University","0","0","5","110","250","70","440"
"10007141","The University of Central Lancashire","0","20","60","490","455","135","1,165"
"10024024","Central Film School London","0","0","0","0","0","0","0"
"10007848","University of Chester","0","0","15","195","235","45","495"
"10007137","The University of Chichester","0","0","0","55","120","15","190"
"10001386","Chicken Shed Theatre Company","5","10","5","5","0","0","25"
"10001478","City, University of London","0","0","0","100","230","390","720"
"10007912","Cliff College","0","0","0","5","0","0","10"
"10066502","The College of Health Ltd","0","0","0","0","0","0","0"
"10001653","Conservatoire for Dance and Drama","0","0","25","30","5","5","60"
"10007761","Courtauld Institute of Art","0","0","0","5","15","15","35"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0"
"10001726","Coventry University","5","15","320","875","540","175","1,925"
"10007822","Cranfield University","0","10","80","160","230","125","605"
"10006427","University for the Creative Arts","0","15","55","40","55","15","175"
"10007842","University of Cumbria","0","0","15","95","120","20","250"
"10001883","De Montfort University","0","0","35","470","335","180","1,020"
"10007851","University of Derby","0","25","85","300","305","55","770"
"10007852","The University of Dundee","0","0","90","495","395","195","1,180"
"10007143","University of Durham","0","15","105","555","510","370","1,555"
"10007789","The University of East Anglia","0","0","75","300","555","245","1,175"
"10007144","The University of East London","0","0","5","130","225","50","410"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","5","5","0","0","10"
"10007823","Edge Hill University","0","0","5","255","240","80","580"
"10007772","Edinburgh Napier University","0","0","15","120","325","45","505"
"10007790","The University of Edinburgh","0","0","275","1,630","1,395","850","4,155"
"10042570","Escape Studios","0","0","0","5","15","10","30"
"10007791","The University of Essex","0","0","40","280","440","180","945"
"10008173","University College of Estate Management","0","0","5","10","10","5","30"
"10007792","The University of Exeter","0","0","230","830","640","420","2,120"
"10008640","Falmouth University","0","10","40","45","95","10","200"
"10004511","The National Film and Television School","0","5","10","5","15","10","45"
"10022087","Futureworks","0","5","10","5","0","0","20"
"10007762","Glasgow Caledonian University","0","0","10","70","430","95","600"
