﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Contract salary < £21,197 ","Contract salary ≥ £21,197 and < £27,131 ","Contract salary ≥ £27,131 and < £36,386 ","Contract salary ≥ £36,386 and < £48,841 ","Contract salary ≥ £48,841 and < £65,578 ","Contract salary ≥ £65,578 ","Total"
"10007783","The University of Aberdeen","0","5","75","290","425","275","1,065"
"10007849","Abertay University","0","0","15","70","65","40","185"
"10007856","Aberystwyth University","0","0","35","145","170","95","440"
"10067853","ACM Guildford Limited","0","0","0","10","10","0","20"
"10000163","AECC University College","0","0","0","10","20","10","50"
"10000291","Anglia Ruskin University","0","0","65","275","365","75","780"
"10005451","Arden University","0","0","10","145","45","25","220"
"10007759","Aston University","0","10","50","265","410","100","835"
"10038772","British Academy of Jewellery Limited","0","0","5","5","0","0","10"
"10007857","Bangor University","0","0","85","255","225","80","645"
"10000571","Bath Spa University","0","0","10","75","165","20","265"
"10007850","The University of Bath","0","0","85","290","525","255","1,155"
"10007152","University of Bedfordshire","0","0","10","190","230","40","475"
"10005343","Queen's University Belfast","0","10","185","595","575","410","1,775"
"10037544","BIMM University","0","0","10","75","35","10","130"
"10007760","Birkbeck College","0","0","10","95","135","200","435"
"10007140","Birmingham City University","0","0","50","385","560","105","1,100"
"10006840","The University of Birmingham","0","30","495","760","1,205","705","3,195"
"10000712","University College Birmingham","5","0","45","125","35","20","230"
"10007832","Birmingham Newman University","0","0","5","40","50","15","110"
"10007811","Bishop Grosseteste University","0","0","5","30","50","5","90"
"10004061","Bloomsbury Institute","0","0","0","10","10","5","25"
"10006841","The University of Bolton","0","0","40","230","115","25","415"
"10000385","The Arts University Bournemouth","0","10","65","95","10","10","185"
"10000824","Bournemouth University","0","5","65","240","225","140","680"
"10007785","The University of Bradford","0","0","25","155","225","90","495"
"10000886","The University of Brighton","0","0","5","120","490","110","725"
"10000936","The University College of Osteopathy","0","0","0","5","0","0","10"
"10007786","The University of Bristol","0","0","70","1,255","885","620","2,830"
"10000961","Brunel University London","0","0","10","185","455","270","920"
"10000975","Buckinghamshire New University","0","5","40","135","100","20","295"
"10007788","The University of Cambridge","0","15","930","1,785","1,030","1,170","4,935"
"10003324","The Institute of Cancer Research","0","0","65","305","160","70","600"
"10001143","Canterbury Christ Church University","0","5","40","180","225","50","500"
"10007814","Cardiff University","0","0","230","860","750","705","2,540"
"10007854","Cardiff Metropolitan University","0","5","0","155","290","75","525"
"10001264","Central School of Ballet","0","0","0","5","0","0","10"
"10007141","The University of Central Lancashire","35","50","130","650","265","140","1,270"
"10024024","Central Film School London","0","0","0","5","0","0","5"
"10007848","University of Chester","0","0","10","230","230","45","520"
"10007137","The University of Chichester","0","0","5","55","120","20","200"
"10001386","Chicken Shed Theatre Company","0","10","10","5","0","0","20"
"10001478","City, University of London","0","0","0","125","265","415","805"
"10007912","Cliff College","0","0","5","5","0","0","10"
"10066502","The College of Health Ltd","0","0","0","0","0","5","5"
"10007761","Courtauld Institute of Art","0","0","5","5","15","20","40"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0"
"10001726","Coventry University","0","75","280","935","575","160","2,025"
"10007822","Cranfield University","0","5","50","190","260","135","635"
"10006427","University for the Creative Arts","0","10","55","65","70","20","220"
"10007842","University of Cumbria","0","0","20","105","140","20","285"
"10015688","David Game College Ltd","0","0","0","10","0","0","10"
"10001883","De Montfort University","0","0","30","450","295","150","920"
"10007851","University of Derby","0","10","105","335","325","65","840"
"10007852","The University of Dundee","0","0","75","475","405","200","1,160"
"10007143","University of Durham","0","10","100","600","570","465","1,745"
"10007789","The University of East Anglia","0","0","70","295","580","250","1,190"
"10007144","The University of East London","0","0","25","170","255","50","495"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","5","5","0","0","10"
"10007823","Edge Hill University","0","0","10","270","230","80","595"
"10007772","Edinburgh Napier University","0","0","10","155","380","65","615"
"10007790","The University of Edinburgh","0","0","270","1,605","1,470","860","4,200"
"10042570","Escape Studios","0","0","0","5","10","15","30"
"10007791","The University of Essex","0","0","35","270","530","190","1,025"
"10008173","University College of Estate Management","0","0","5","5","15","0","30"
"10007792","The University of Exeter","0","0","260","890","690","480","2,320"
"10008640","Falmouth University","0","5","40","70","95","10","220"
"10004511","The National Film and Television School","0","5","10","10","10","20","50"
"10022087","Futureworks","0","0","10","5","0","0","20"
"10007762","Glasgow Caledonian University","0","0","10","100","415","105","630"
"10002681","Glasgow School of Art","0","0","5","15","60","20","100"
"10007794","The University of Glasgow","0","0","300","1,055","1,005","795","3,155"
"10007145","University of Gloucestershire","0","0","25","145","160","30","360"
"10002718","Goldsmiths College","0","0","5","45","170","180","405"
"10007146","The University of Greenwich","0","20","80","355","395","95","945"
"10007825","Guildhall School of Music and Drama","0","5","30","40","40","30","145"
"10040812","Harper Adams University","0","0","5","45","80","15","145"
"10080811","Hartpury University","5","10","35","50","25","5","135"
"10007764","Heriot-Watt University","0","0","90","245","310","170","815"
"10007147","University of Hertfordshire","0","15","70","300","410","130","925"
