﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2023/24"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts"
"10008071","AA School of Architecture","2019-07-31","","","1,902","3,681","5,583","10,736","16,319","0","0","0","16,319"
"10007783","The University of Aberdeen","2019-07-31","14,616","8,594","23,210","5,211","28,421","32,040","60,461","186","1,966","0","62,613"
"10007849","Abertay University","2019-07-31","5,989","933","6,922","1,461","8,383","1,370","9,753","0","29","0","9,782"
"10007856","Aberystwyth University","2019-07-31","14,776","28,542","43,318","7,005","50,323","5,471","55,794","0","0","0","55,794"
"10067853","ACM Guildford Limited","2018-08-31","","","0","0","0","0","0","0","0","0","0"
"10000248","Academy of Live and Recorded Arts","2018-08-31","","","2,443","0","2,443","0","2,443","0","188","0","2,631"
"10000163","AECC University College","2019-07-31","","","2,930","1,063","3,993","1,562","5,555","0","430","33","6,018"
"10032036","Amity Global Education","2019-03-31","","","27","4","31","59","90","0","0","0","90"
"10000291","Anglia Ruskin University","2019-07-31","","","144,460","8,376","152,836","16,570","169,406","0","3,203","1,016","173,625"
"10041898","Apex College","2018-12-31","","","282","0","282","0","282","0","0","0","282"
"10005451","Arden University","2018-10-31","","","12,129","1,108","13,237","2,067","15,304","0","0","0","15,304"
"10000381","Arts Educational Schools","2018-08-31","","","3,340","220","3,560","88","3,648","0","4,108","0","7,756"
"10003212","Hult International Business School Ltd","2018-09-30","","","1,650","19,285","20,935","19,530","40,465","0","0","0","40,465"
"10007759","Aston University","2019-07-31","","","82,667","3,346","86,013","21,013","107,026","1,029","859","0","108,914"
"10038772","British Academy of Jewellery Limited","2018-12-31","","","0","0","0","0","0","0","0","33","33"
"10007857","Bangor University","2019-07-31","27,291","32,925","60,216","3,661","63,877","14,852","78,729","923","1,046","0","80,698"
