﻿Title:,"Table 14 - Key Financial Indicators by HE provider and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 14
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2017/18 
,Financial Year End,All 
Search:,


"UKPRN","HE Provider","Surplus/(deficit) as a % of total income","Staff costs as a % of total income","Premises costs as a % of total costs","Unrestricted reserves as a % of total income","External borrowing as a % of total income","Days ratio of total net assets to total expenditure","Ratio of current assets to current liabilities","Net cash inflow from operating activities as a % of total income","Net liquidity days"
"10007783","The University of Aberdeen","(3.4)","62.0","4.2","155.4","31.1","627","0.8","7.9","55"
"10007849","Abertay University","0.7","70.0","4.9","130.0","3.2","489","2.9","1.8","94"
"10007856","Aberystwyth University","(6.4)","56.0","4.3","94.4","6.2","451","1.3","2.0","87"
"10000163","AECC University College","5.4","61.4","6.9","67.5","0.0","273","4.0","6.5","175"
"10000291","Anglia Ruskin University","1.0","53.4","5.1","24.3","40.0","102","1.1","13.7","81"
"10007759","Aston University","6.1","56.3","3.4","88.7","20.5","355","1.9","13.6","147"
"10007857","Bangor University","11.8","48.7","6.4","139.4","67.6","597","1.4","4.9","89"
"10000571","Bath Spa University","1.1","54.2","6.5","104.1","68.5","387","2.7","10.0","188"
"10007850","The University of Bath","1.9","53.5","4.9","191.7","86.6","725","3.4","11.5","303"
"10007152","University of Bedfordshire","0.8","57.7","4.7","91.0","31.4","336","1.9","12.9","156"
"10005343","Queen's University Belfast","5.6","54.1","5.2","138.8","8.4","611","2.4","6.2","246"
"10007760","Birkbeck College","2.6","64.2","7.0","79.9","0.0","334","2.5","(1.0)","203"
"10007140","Birmingham City University","6.1","55.5","8.1","116.4","40.5","464","1.2","13.7","37"
"10006840","The University of Birmingham","1.5","52.1","3.5","169.4","39.0","701","1.1","11.1","74"
"10000712","University College Birmingham","11.2","50.8","6.1","265.4","0.0","1,091","5.1","19.2","252"
"10007832","Birmingham Newman University","2.2","63.1","5.1","143.2","2.9","535","2.3","1.8","98"
"10007811","Bishop Grosseteste University","0.0","59.4","3.0","120.0","0.0","450","4.7","7.8","167"
"10006841","The University of Bolton","(2.0)","56.2","6.1","109.4","0.0","394","1.3","4.6","107"
"10000385","The Arts University Bournemouth","3.2","43.3","9.6","114.9","65.1","439","1.5","22.6","112"
"10000824","Bournemouth University","(0.5)","55.0","5.4","25.5","30.0","96","2.2","13.6","108"
"10007785","The University of Bradford","(11.0)","62.6","8.9","47.9","20.4","166","0.9","(3.1)","63"
"10000886","The University of Brighton","0.7","60.9","7.3","107.8","39.1","397","2.4","6.9","138"
"10000936","The University College of Osteopathy","7.1","57.8","12.0","103.3","71.1","456","3.9","16.4","224"
"10007786","The University of Bristol","1.1","50.9","6.8","133.2","60.4","534","2.5","11.1","220"
"10000961","Brunel University London","2.2","52.3","8.4","92.9","39.1","350","1.6","10.5","97"
"10000975","Buckinghamshire New University","(6.8)","53.5","7.7","43.5","41.5","149","2.7","9.7","152"
"10007787","The University of Buckingham","9.7","42.9","3.8","38.2","22.3","326","1.1","11.1","166"
"10007788","The University of Cambridge","2.7","43.2","3.8","167.1","48.5","1,000","1.7","4.0","272"
"10003324","The Institute of Cancer Research","18.4","46.4","8.0","174.7","0.0","1,094","6.9","13.7","274"
"10001143","Canterbury Christ Church University","(0.9)","57.6","5.6","72.5","32.4","263","1.4","14.6","110"
"10007814","Cardiff University","(4.4)","59.7","4.6","129.4","59.6","476","3.4","5.5","276"
"10007854","Cardiff Metropolitan University","3.3","58.0","3.9","95.9","27.1","362","1.9","6.3","95"
"10007141","The University of Central Lancashire","(0.6)","63.6","5.0","99.0","3.4","359","3.3","4.8","233"
"10007848","University of Chester","7.9","54.4","4.3","62.1","27.9","247","1.7","13.7","113"
"10007137","The University of Chichester","(4.6)","62.8","3.5","99.6","108.0","348","0.2","9.0","33"
"10001478","City, University of London","5.2","55.7","8.7","116.2","25.0","472","2.4","10.9","189"
"10001653","Conservatoire for Dance and Drama","(0.1)","2.3","16.8","2.9","0.5","12","7.3","(0.6)","12"
"10007761","Courtauld Institute of Art","18.5","37.0","17.1","71.6","1.0","1,190","1.4","18.9","99"
"10001726","Coventry University","4.9","49.8","5.8","84.7","53.0","336","2.6","18.8","253"
"10007822","Cranfield University","(6.2)","55.1","5.4","55.2","22.4","202","0.6","2.7","(19)"
"10006427","University for the Creative Arts","(0.8)","59.5","8.0","72.5","8.8","265","1.6","9.4","95"
"10007842","University of Cumbria","(3.0)","64.5","6.9","118.9","11.9","422","1.7","5.1","95"
"10001883","De Montfort University","4.9","52.4","5.0","82.3","38.6","319","2.2","17.8","147"
"10007851","University of Derby","(0.6)","56.8","3.5","191.0","29.4","693","1.3","15.3","87"
"10007852","The University of Dundee","(3.7)","58.7","4.4","71.5","1.3","299","0.8","2.1","63"
"10007143","University of Durham","6.2","53.5","5.2","96.5","33.6","467","1.8","10.9","141"
"10007789","The University of East Anglia","15.0","48.2","4.3","115.6","44.8","533","2.1","6.1","166"
"10007144","The University of East London","(0.4)","54.2","8.5","78.8","16.7","287","1.8","7.8","112"
"10007823","Edge Hill University","11.1","58.9","4.9","181.1","26.0","744","3.1","19.8","156"
"10007772","Edinburgh Napier University","(4.0)","66.8","3.5","75.1","8.8","272","1.6","7.3","69"
"10007790","The University of Edinburgh","2.8","53.0","4.7","176.3","39.6","846","1.8","5.6","169"
"10007791","The University of Essex","2.7","53.7","5.0","103.6","77.2","405","3.0","5.1","182"
"10007792","The University of Exeter","0.3","53.6","5.0","120.2","57.7","474","1.5","11.1","103"
"10008640","Falmouth University","10.5","42.7","10.2","102.8","12.0","420","2.9","12.5","141"
"10004511","The National Film and Television School","2.9","37.3","8.7","76.3","11.9","294","0.9","9.9","77"
"10007762","Glasgow Caledonian University","(6.3)","70.1","5.9","135.5","6.7","469","1.0","3.3","58"
"10002681","Glasgow School of Art","(65.1)","56.9","5.3","73.3","5.8","239","2.6","2.2","134"
"10007794","The University of Glasgow","2.8","52.8","7.3","103.7","38.9","512","1.2","6.7","131"
"10007145","University of Gloucestershire","3.3","56.8","5.2","63.3","41.5","252","1.5","8.9","124"
"10002718","Goldsmiths College","(0.6)","59.9","6.3","71.3","15.9","268","1.4","8.7","83"
"10007146","The University of Greenwich","1.6","51.1","7.4","48.6","40.3","183","1.8","11.5","184"
"10007825","Guildhall School of Music and Drama","4.0","55.7","12.0","","","","","",""
"10040812","Harper Adams University","1.0","56.1","4.7","152.1","30.4","566","2.0","11.1","119"
"10007764","Heriot-Watt University","3.2","46.6","8.4","26.6","50.2","134","1.6","8.6","134"
"10007147","University of Hertfordshire","0.9","53.5","7.0","103.5","26.5","386","1.6","7.2","130"
"10007765","Heythrop College","(5.5)","13.0","3.7","0.0","0.0","6","1.2","(6.4)","26"
"10007148","The University of Huddersfield","7.9","58.7","5.4","165.6","0.0","663","5.0","12.7","353"
"10007149","The University of Hull","2.3","54.4","4.1","115.3","18.3","459","1.5","9.6","94"
"10003270","Imperial College of Science, Technology and Medicine","8.6","48.1","6.7","134.0","53.7","624","1.1","10.8","130"
