﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2016/17 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","530","0","535","140","0","40","180","145","15","55","290","400","200","125","2,660"
"10007849","Abertay University","35","15","30","45","0","30","25","0","20","25","45","130","50","10","460"
"10007856","Aberystwyth University","20","80","320","60","0","40","150","80","60","75","115","380","50","200","1,615"
"10000291","Anglia Ruskin University","415","0","115","80","45","230","135","45","80","85","165","505","45","40","1,990"
"10007759","Aston University","230","0","100","295","25","160","45","60","0","0","85","305","105","60","1,480"
"10007857","Bangor University","235","80","220","45","0","60","80","85","15","110","170","385","130","115","1,730"
"10000571","Bath Spa University","20","0","15","0","0","25","55","35","180","95","70","215","85","15","810"
"10007850","The University of Bath","235","0","450","385","70","190","150","45","0","85","295","580","240","265","2,990"
"10007152","University of Bedfordshire","135","0","30","65","5","95","150","15","35","135","245","250","35","10","1,195"
"10005343","Queen's University Belfast","845","0","405","360","35","130","240","170","50","75","375","605","175","80","3,550"
"10007760","Birkbeck College","90","0","115","35","0","80","185","140","20","10","45","450","30","0","1,195"
"10007140","Birmingham City University","315","0","0","200","55","130","145","20","335","135","165","650","50","25","2,215"
"10006840","The University of Birmingham","1,635","0","615","575","0","270","440","465","55","225","860","760","410","335","6,645"
"10000712","University College Birmingham","80","0","0","0","0","215","0","0","0","10","15","175","35","50","580"
"10007832","Birmingham Newman University","35","0","0","0","0","10","0","25","5","80","70","60","5","15","310"
"10007811","Bishop Grosseteste University","15","0","0","0","0","0","0","15","5","70","40","105","25","5","280"
"10006841","The University of Bolton","70","0","15","80","10","55","20","10","35","45","50","135","50","10","580"
"10000385","The Arts University Bournemouth","0","0","0","0","5","5","65","0","150","0","45","75","10","0","360"
"10000824","Bournemouth University","245","0","55","160","0","235","170","20","15","40","285","345","70","0","1,645"
"10007785","The University of Bradford","280","0","155","160","0","110","115","0","0","0","125","380","170","0","1,495"
"10000886","The University of Brighton","355","0","145","160","60","150","170","105","165","210","190","500","175","120","2,505"
"10000936","The University College of Osteopathy","75","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10007786","The University of Bristol","1,085","145","1,065","500","0","65","330","325","55","80","370","1,145","410","230","5,810"
"10000961","Brunel University London","105","0","95","420","0","125","145","60","45","55","170","535","55","95","1,895"
"10000975","Buckinghamshire New University","125","0","0","40","0","70","55","0","55","20","15","240","10","40","665"
"10007787","The University of Buckingham","50","0","5","15","0","35","50","30","0","30","10","100","35","30","390"
"10007788","The University of Cambridge","2,760","180","2,415","1,175","95","230","475","730","30","295","870","1,040","205","75","10,585"
