﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,610","555","410","0","3,575"
"10007849","Abertay University","370","45","40","10","460"
"10007856","Aberystwyth University","1,625","150","85","0","1,860"
"10067853","ACM Guildford Limited*","","","","",""
"10000163","AECC University College*","","","","",""
"10032036","Amity Global Education*","","","","",""
"10000291","Anglia Ruskin University","1,940","185","195","0","2,320"
"10005451","Arden University*","","","","",""
"10007759","Aston University","1,565","230","275","0","2,065"
"10038772","British Academy of Jewellery Limited*","","","","",""
"10007857","Bangor University","1,800","145","145","0","2,090"
"10000571","Bath Spa University","1,090","70","65","5","1,230"
"10007850","The University of Bath","2,805","510","380","0","3,695"
"10007152","University of Bedfordshire","895","105","105","65","1,175"
"10005343","Queen's University Belfast","2,665","1,305","435","25","4,425"
"10037544","BIMM University*","","","","",""
"10007760","Birkbeck College","1,100","320","250","10","1,680"
"10007140","Birmingham City University*","","","","",""
"10006840","The University of Birmingham*","","","","",""
"10000712","University College Birmingham","505","45","30","5","585"
"10007832","Birmingham Newman University","295","20","5","0","315"
"10007811","Bishop Grosseteste University","285","5","5","0","295"
"10004061","Bloomsbury Institute*","","","","",""
"10006841","The University of Bolton*","","","","",""
"10000385","The Arts University Bournemouth","560","45","20","0","630"
"10000824","Bournemouth University","1,550","180","205","0","1,940"
"10007785","The University of Bradford","1,330","65","145","0","1,535"
