﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,490","495","295","0","3,280"
"10007849","Abertay University","400","40","30","5","470"
"10007856","Aberystwyth University","1,580","160","90","0","1,830"
"10067853","ACM Guildford Limited*","","","","",""
"10000163","AECC University College*","","","","",""
"10032036","Amity Global Education*","","","","",""
"10000291","Anglia Ruskin University","1,515","165","125","0","1,805"
"10005451","Arden University*","","","","",""
"10007759","Aston University","1,455","240","250","0","1,940"
"10038772","British Academy of Jewellery Limited*","","","","",""
"10007857","Bangor University","1,730","135","110","0","1,980"
"10000571","Bath Spa University","1,030","75","60","5","1,165"
"10007850","The University of Bath","2,750","560","330","0","3,645"
"10007152","University of Bedfordshire","935","105","85","45","1,175"
"10005343","Queen's University Belfast","2,755","1,200","355","35","4,345"
"10037544","BIMM University*","","","","",""
"10007760","Birkbeck College","1,170","345","255","40","1,810"
"10007140","Birmingham City University*","","","","",""
"10006840","The University of Birmingham*","","","","",""
"10000712","University College Birmingham","525","35","15","0","575"
"10007832","Birmingham Newman University","300","10","0","0","315"
"10007811","Bishop Grosseteste University","315","10","5","0","330"
"10004061","Bloomsbury Institute*","","","","",""
"10006841","The University of Bolton*","","","","",""
"10000385","The Arts University Bournemouth","490","35","20","0","545"
"10000824","Bournemouth University","1,485","180","160","0","1,825"
"10007785","The University of Bradford","1,255","65","105","0","1,425"
"10000886","The University of Brighton","2,485","275","150","5","2,915"
"10000936","The University College of Osteopathy*","","","","",""
"10007786","The University of Bristol","6,080","935","685","5","7,705"
"10000961","Brunel University London","1,705","330","350","0","2,385"
"10000975","Buckinghamshire New University*","","","","",""
"10007788","The University of Cambridge","8,015","2,425","1,830","115","12,385"
"10003324","The Institute of Cancer Research","775","240","130","0","1,140"
"10001143","Canterbury Christ Church University","1,535","130","75","0","1,745"
"10007814","Cardiff University","5,685","675","550","0","6,915"
"10007854","Cardiff Metropolitan University","1,365","70","65","0","1,500"
"10007141","The University of Central Lancashire","2,785","180","180","0","3,150"
"10024024","Central Film School London*","","","","",""
"10007848","University of Chester","1,655","65","45","0","1,765"
"10007137","The University of Chichester*","","","","",""
"10001386","Chicken Shed Theatre Company*","","","","",""
"10001478","City, University of London","2,620","765","440","15","3,840"
"10007912","Cliff College*","","","","",""
"10066502","The College of Health Ltd*","","","","",""
"10001653","Conservatoire for Dance and Drama*","","","","",""
"10007761","Courtauld Institute of Art*","","","","",""
"10034324","Court Theatre Training Company Ltd*","","","","",""
"10001726","Coventry University","3,915","460","545","0","4,920"
"10007822","Cranfield University","1,195","225","195","0","1,610"
"10006427","University for the Creative Arts*","","","","",""
"10007842","University of Cumbria","960","25","15","0","1,000"
"10001883","De Montfort University","2,650","210","330","35","3,225"
"10007851","University of Derby","2,425","130","125","0","2,680"
"10007852","The University of Dundee","2,655","325","295","10","3,280"
"10007143","University of Durham","3,720","490","570","0","4,780"
"10007789","The University of East Anglia","3,290","390","270","0","3,955"
"10007144","The University of East London","1,230","170","170","30","1,600"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","","","","",""
"10007823","Edge Hill University","1,785","75","65","5","1,930"
"10007772","Edinburgh Napier University","1,385","215","90","5","1,700"
"10007790","The University of Edinburgh","10,385","3,015","2,105","0","15,510"
"10042570","Escape Studios*","","","","",""
"10007791","The University of Essex","2,050","415","400","35","2,905"
"10008173","University College of Estate Management*","","","","",""
"10007792","The University of Exeter","4,845","765","680","30","6,325"
"10008640","Falmouth University*","","","","",""
"10004511","The National Film and Television School*","","","","",""
"10022087","Futureworks*","","","","",""
"10007762","Glasgow Caledonian University","1,420","90","50","0","1,560"
"10002681","Glasgow School of Art","475","35","30","0","545"
"10007794","The University of Glasgow","6,810","1,370","1,100","0","9,280"
"10007145","University of Gloucestershire*","","","","",""
"10002718","Goldsmiths College","1,450","325","215","5","1,990"
"10007146","The University of Greenwich","1,415","235","210","5","1,865"
"10007825","Guildhall School of Music and Drama","770","95","60","0","925"
"10040812","Harper Adams University*","","","","",""
"10080811","Hartpury University","410","30","10","0","450"
"10007764","Heriot-Watt University","1,610","355","310","0","2,275"
"10007147","University of Hertfordshire","2,855","305","200","0","3,360"
"10007148","The University of Huddersfield*","","","","",""
"10007149","The University of Hull","1,765","125","115","0","2,005"
"10003239","ICON College of Technology and Management*","","","","",""
"10003270","Imperial College of Science, Technology and Medicine","5,155","2,000","1,440","5","8,600"
"10013220","Institute of Art - London Limited*","","","","",""
"10035638","Institute of Contemporary Music Performance*","","","","",""
"10082570","Kaplan International Colleges U.K. Limited*","","","","",""
"10021682","Kaplan Open Learning (Essex) Limited*","","","","",""
"10007767","Keele University","1,805","115","100","0","2,020"
"10007150","The University of Kent","2,505","440","320","0","3,270"
"10003645","King's College London","5,795","2,165","1,180","10","9,155"
"10003678","Kingston University","1,425","230","145","10","1,805"
"10003758","LAMDA Limited","120","5","5","0","130"
"10007768","The University of Lancaster","3,175","420","440","5","4,040"
"10003854","Leeds Arts University","175","10","5","0","190"
"10003861","Leeds Beckett University","2,325","140","120","0","2,585"
"10034449","Leeds Conservatoire","300","25","5","40","370"
"10007795","The University of Leeds","7,010","780","790","0","8,585"
"10003863","Leeds Trinity University","465","15","15","0","495"
"10007796","The University of Leicester","3,125","390","295","0","3,810"
"10007151","The University of Lincoln","1,995","185","190","5","2,375"
"10036456","Academy of Live Technology Ltd*","","","","",""
"10003956","Liverpool Hope University*","","","","",""
"10003957","Liverpool John Moores University*","","","","",""
"10003945","The Liverpool Institute for Performing Arts*","","","","",""
"10006842","The University of Liverpool","5,225","700","485","0","6,415"
"10003958","Liverpool School of Tropical Medicine","445","60","55","0","560"
"10007162","University of the Arts, London","3,010","550","245","50","3,855"
"10013109","London Bridge Business Academy*","","","","",""
"10007769","London Business School*","","","","",""
"10007797","University of London (Institutes and activities)*","","","","",""
"10004036","London Film School Limited*","","","","",""
"10004048","London Metropolitan University","695","115","50","25","885"
"10004078","London South Bank University*","","","","",""
"10004063","London School of Economics and Political Science","2,325","1,005","895","0","4,225"
"10007771","London School of Hygiene and Tropical Medicine","1,115","295","305","0","1,715"
"10022285","London School of Management Education*","","","","",""
"10004075","London School of Theology*","","","","",""
"10062810","The London School of Architecture*","","","","",""
"10008289","The London Institute of Banking & Finance*","","","","",""
"10067623","The London Interdisciplinary School Ltd*","","","","",""
"10004113","Loughborough University","3,105","340","290","5","3,740"
"10009612","Luther King House Educational Trust*","","","","",""
"10004180","The Manchester Metropolitan University","3,945","355","240","55","4,595"
"10007798","The University of Manchester","8,280","1,190","1,080","0","10,550"
"10030776","St Mellitus College*","","","","",""
"10004320","The Metanoia Institute*","","","","",""
"10004351","Middlesex University","1,330","280","175","0","1,790"
"10023777","Mont Rose College of Management and Sciences*","","","","",""
"10023454","Moorlands College*","","","","",""
"10004538","Nazarene Theological College*","","","","",""
"10030129","Nelson College London Ltd","10","0","0","0","15"
"10007799","Newcastle University","5,370","575","460","0","6,405"
"10067406","New Model Institute for Technology and Engineering (NMITE)*","","","","",""
"10048199","Northeastern University London*","","","","",""
"10007138","The University of Northampton","1,195","75","90","5","1,365"
"10001282","University of Northumbria at Newcastle","2,660","195","270","10","3,135"
"10004775","Norwich University of the Arts*","","","","",""
"10007154","University of Nottingham*","","","","",""
"10004797","The Nottingham Trent University*","","","","",""
"10007773","The Open University*","","","","",""
"10004930","Oxford Brookes University","2,085","275","225","0","2,585"
