﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","118","82.354","40.847","21.203","267,984.570","1,528","909"
"10007849","Abertay University","1","10","2.600","1.100","0.000","47,784.000","225","86"
"10007856","Aberystwyth University","15","688","1,709.000","56.000","23.000","260,123.430","2,354","362"
"10000291","Anglia Ruskin University","4","181","22.801","9.140","8.000","131,283.740","679","2,096"
"10007759","Aston University","2","20","31.544","22.255","6.137","105,735.000","753","136"
"10007857","Bangor University","16","168","359.480","353.000","15.200","234,102.195","1,819","685"
"10000571","Bath Spa University","6","72","64.867","55.634","5.272","86,509.618","1,006","340"
"10007850","The University of Bath","1","110","95.563","31.000","24.000","285,466.950","2,191","865"
"10007152","University of Bedfordshire","5","39","36.172","27.168","5.683","96,833.000","471","197"
"10005343","Queen's University Belfast","7","237","59.900","40.230","27.920","397,670.000","1,290","1,530"
"10007760","Birkbeck College","2","19","4.558","0.000","0.000","44,979.000","0","112"
"10007140","Birmingham City University","3","24","29.190","10.930","18.100","182,741.000","",""
"10006840","The University of Birmingham","17","295","346.000","276.600","27.600","550,271.500","3,563","1,805"
"10007811","Bishop Grosseteste University","2","25","8.100","4.300","4.200","25,929.374","368","102"
"10000385","The Arts University Bournemouth","3","22","3.800","3.800","0.000","46,589.000","260","282"
"10000824","Bournemouth University","4","25","17.960","10.940","3.580","95,217.000","1,386","888"
"10007785","The University of Bradford","5","24","15.130","15.130","1.076","109,895.170","820","154"
"10000886","The University of Brighton","6","126","48.665","38.260","9.300","238,742.550","1,590","1,058"
"10007786","The University of Bristol","7","314","300.841","285.853","17.430","531,502.750","1,962","3,966"
"10000961","Brunel University London","1","134","78.350","78.350","19.620","246,858.404","1,968","787"
"10000975","Buckinghamshire New University","5","27","9.000","8.500","0.000","70,455.390","545","378"
"10007788","The University of Cambridge","16","389","667.570","","","738,889.790","3,526","11,200"
"10003324","The Institute of Cancer Research","2","10","5.100","4.050","0.000","42,000.000","362","100"
"10001143","Canterbury Christ Church University","12","103","19.250","9.717","4.708","137,204.000","383","847"
"10007814","Cardiff University","6","301","69.480","25.970","13.770","545,578.000","1,873","4,090"
"10007854","Cardiff Metropolitan University","3","53","27.000","15.000","6.000","97,041.000","1,640","530"
"10007141","The University of Central Lancashire","6","73","59.228","20.216","24.909","198,431.900","2,110","685"
"10007848","University of Chester","4","211","69.080","42.990","17.900","200,992.430","2,417","312"
"10007137","The University of Chichester","2","106","28.008","28.008","","81,874.711","871","575"
"10001478","City, University of London","2","17","12.420","0.000","0.000","124,175.570","16","208"
"10001726","Coventry University","8","113","56.823","36.900","8.702","292,276.830","2,107","1,456"
"10007822","Cranfield University","3","263","254.400","238.310","5.630","193,059.400","2,253","522"
"10006427","University for the Creative Arts","4","67","8.000","8.000","0.000","86,458.819","588","313"
"10007842","University of Cumbria","5","80","38.239","34.517","3.500","65,470.890","960","172"
"10001883","De Montfort University","2","60","23.140","8.380","9.030","181,696.620","1,005","780"
"10007851","University of Derby","7","46","48.600","41.800","7.900","160,875.040","1,818","490"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","765","653"
"10007143","University of Durham","3","393","256.890","57.920","36.930","421,646.642","3,217","2,061"
"10007789","The University of East Anglia","1","97","146.000","130.000","14.000","284,712.270","1,972","4,100"
"10007144","The University of East London","3","29","13.350","12.773","0.200","119,799.470","700","516"
"10007772","Edinburgh Napier University","11","18","35.000","10.123","0.000","111,456.398","770","677"
"10007790","The University of Edinburgh","7","458","355.000","320.000","10.900","929,082.000","2,495","7,604"
"10007791","The University of Essex","4","129","111.560","102.000","7.000","285,009.710","2,996","1,088"
