﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Contract salary < £19,202 ","Contract salary ≥ £19,202 and < £25,482 ","Contract salary ≥ £25,482 and < £34,189 ","Contract salary ≥ £34,189 and < £45,892 ","Contract salary ≥ £45,892 and < £61,618 ","Contract salary ≥ £61,618 ","Total"
"10007783","The University of Aberdeen","0","0","85","265","395","240","985"
"10007849","Abertay University","0","0","25","65","65","30","185"
"10007856","Aberystwyth University","0","0","40","155","145","85","430"
"10067853","ACM Guildford Limited","0","0","0","5","5","0","10"
"10000163","AECC University College","0","0","0","10","10","5","30"
"10000291","Anglia Ruskin University","0","5","40","230","290","75","635"
"10005451","Arden University","0","0","0","35","5","10","50"
"10007759","Aston University","0","5","50","250","345","115","765"
"10007857","Bangor University","0","0","70","200","235","90","595"
"10000571","Bath Spa University","0","0","0","60","170","30","260"
"10007850","The University of Bath","5","10","80","370","465","235","1,165"
"10007152","University of Bedfordshire","0","0","15","150","200","45","410"
"10005343","Queen's University Belfast","0","15","205","700","565","320","1,810"
"10037544","BIMM University","5","15","265","105","40","5","435"
"10007760","Birkbeck College","0","0","5","110","145","200","455"
"10007140","Birmingham City University","0","0","70","295","600","80","1,055"
"10006840","The University of Birmingham","0","20","500","745","1,110","665","3,040"
"10000712","University College Birmingham","15","0","20","130","70","10","240"
"10007832","Birmingham Newman University","0","0","5","35","65","15","115"
"10007811","Bishop Grosseteste University","0","0","0","30","55","5","90"
"10006841","The University of Bolton","0","0","40","165","95","20","315"
"10000385","The Arts University Bournemouth","0","10","60","90","10","5","175"
"10000824","Bournemouth University","0","15","75","270","210","125","695"
"10007785","The University of Bradford","0","0","15","115","215","85","425"
"10000886","The University of Brighton","0","5","10","140","505","135","795"
"10000936","The University College of Osteopathy","0","0","0","0","5","5","10"
"10007786","The University of Bristol","0","0","80","1,215","830","505","2,630"
"10000961","Brunel University London","0","0","15","185","385","205","795"
"10000975","Buckinghamshire New University","0","5","25","60","105","20","210"
"10007787","The University of Buckingham","0","0","5","45","35","20","110"
"10007788","The University of Cambridge","5","20","1,100","1,920","1,065","1,135","5,240"
"10003324","The Institute of Cancer Research","0","0","65","310","145","75","595"
"10001143","Canterbury Christ Church University","0","0","15","135","240","65","450"
"10007814","Cardiff University","0","0","240","850","765","605","2,455"
"10007854","Cardiff Metropolitan University","0","0","10","110","225","65","410"
"10007141","The University of Central Lancashire","0","20","85","465","535","135","1,235"
"10007848","University of Chester","0","0","15","200","245","50","505"
"10007137","The University of Chichester","0","5","5","45","115","15","185"
"10001386","Chicken Shed Theatre Company","0","10","5","5","0","0","25"
"10001478","City, University of London","0","0","0","105","220","380","705"
"10007912","Cliff College","0","0","0","5","0","0","5"
"10001653","Conservatoire for Dance and Drama","0","0","15","40","5","0","65"
"10007761","Courtauld Institute of Art","0","0","0","5","15","10","35"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0"
"10001726","Coventry University","5","25","285","795","535","165","1,810"
"10007822","Cranfield University","0","10","40","205","220","125","600"
"10006427","University for the Creative Arts","0","10","55","30","55","10","155"
"10007842","University of Cumbria","0","0","5","85","115","15","230"
"10001883","De Montfort University","0","0","30","430","315","175","945"
"10007851","University of Derby","0","15","100","285","330","55","795"
"10007852","The University of Dundee","0","0","110","460","395","205","1,165"
"10007143","University of Durham","0","10","145","525","470","350","1,500"
"10007789","The University of East Anglia","0","0","90","285","550","240","1,160"
"10007144","The University of East London","0","0","5","125","235","55","420"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","5","10","0","0","15"
"10007823","Edge Hill University","0","0","5","250","235","75","570"
"10007772","Edinburgh Napier University","0","0","20","115","330","50","515"
"10007790","The University of Edinburgh","0","0","295","1,490","1,335","820","3,940"
"10042570","Escape Studios","0","0","0","5","15","10","30"
"10007791","The University of Essex","0","0","40","275","405","175","900"
"10008173","University College of Estate Management","0","0","5","15","15","5","45"
"10007792","The University of Exeter","0","0","240","850","530","420","2,040"
"10008640","Falmouth University","0","10","40","45","90","15","200"
"10004511","The National Film and Television School","0","5","10","5","10","10","45"
"10022087","Futureworks","0","5","10","5","0","0","20"
"10007762","Glasgow Caledonian University","0","0","15","80","400","105","595"
"10002681","Glasgow School of Art","0","0","0","15","55","20","90"
"10007794","The University of Glasgow","0","10","325","965","815","615","2,730"
"10007145","University of Gloucestershire","0","0","35","95","145","30","305"
"10002718","Goldsmiths College","0","0","10","45","200","190","445"
"10007146","The University of Greenwich","0","0","45","205","365","85","700"
"10007825","Guildhall School of Music and Drama","0","15","30","30","35","30","140"
"10040812","Harper Adams University","0","0","5","40","80","20","140"
"10080811","Hartpury University","0","5","20","30","10","0","70"
"10007764","Heriot-Watt University","0","5","60","205","285","155","715"
"10007147","University of Hertfordshire","0","15","75","255","405","140","885"
"10007148","The University of Huddersfield","0","0","50","275","310","120","755"
"10007149","The University of Hull","0","5","30","250","370","120","780"
"10003270","Imperial College of Science, Technology and Medicine","0","0","10","1,675","855","1,200","3,740"
"10035638","Institute of Contemporary Music Performance","0","0","0","5","0","5","10"
"10007767","Keele University","0","10","30","205","225","115","585"
"10007150","The University of Kent","0","0","25","310","400","260","995"
"10003645","King's College London","0","0","210","1,305","945","1,055","3,520"
"10003678","Kingston University","0","0","15","175","380","105","675"
"10003758","LAMDA Limited","0","0","5","5","5","0","20"
"10007768","The University of Lancaster","0","0","135","390","430","245","1,200"
"10003854","Leeds Arts University","0","25","10","25","25","5","85"
"10003861","Leeds Beckett University","0","0","0","105","540","105","760"
"10034449","Leeds Conservatoire","0","0","0","5","15","0","25"
"10007795","The University of Leeds","0","0","220","1,075","1,035","620","2,945"
"10003863","Leeds Trinity University","0","0","10","35","50","15","110"
"10007796","The University of Leicester","0","0","95","430","550","280","1,360"
"10007151","The University of Lincoln","0","0","55","365","285","105","810"
"10003956","Liverpool Hope University","0","0","5","140","75","15","235"
"10003957","Liverpool John Moores University","0","10","85","225","690","140","1,150"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","15","15","0","30"
"10006842","The University of Liverpool","0","0","165","865","625","780","2,435"
"10003958","Liverpool School of Tropical Medicine","0","0","30","80","35","60","210"
"10007162","University of the Arts, London","0","0","15","165","320","150","650"
"10007769","London Business School","0","0","0","5","0","100","110"
"10007797","University of London (Institutes and activities)","0","0","0","20","10","30","65"
"10004036","London Film School Limited","0","0","5","15","0","0","20"
"10004048","London Metropolitan University","0","0","0","70","165","60","300"
"10004078","London South Bank University","0","10","50","225","260","55","595"
"10004063","London School of Economics and Political Science","0","0","20","230","180","530","965"
"10007771","London School of Hygiene and Tropical Medicine","0","0","5","335","200","150","695"
"10022285","London School of Management Education","0","0","5","5","0","0","15"
"10004075","London School of Theology","0","0","0","5","0","0","10"
"10008289","The London Institute of Banking & Finance","0","0","0","0","0","5","5"
"10004113","Loughborough University","0","10","190","330","460","275","1,260"
"10009612","Luther King House Educational Trust","0","0","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","0","25","175","440","795","175","1,610"
"10007798","The University of Manchester","0","0","580","1,365","990","1,130","4,065"
"10030776","St Mellitus College","0","0","5","10","5","0","20"
"10004320","The Metanoia Institute","0","0","5","0","0","5","15"
"10004351","Middlesex University","0","40","50","235","360","75","760"
"10023777","Mont Rose College of Management and Sciences","0","0","5","10","10","0","25"
"10023454","Moorlands College","0","0","0","5","0","0","5"
"10004538","Nazarene Theological College","0","0","5","0","0","0","5"
"10030129","Nelson College London Ltd","0","0","5","0","0","0","5"
"10007799","Newcastle University","0","5","600","725","650","560","2,545"
"10048199","Northeastern University London","0","0","5","15","10","5","35"
"10007138","The University of Northampton","0","0","5","210","225","15","455"
"10001282","University of Northumbria at Newcastle","0","5","85","390","735","160","1,380"
"10004775","Norwich University of the Arts","0","5","40","25","25","5","100"
"10007154","University of Nottingham","15","25","585","755","730","825","2,935"
"10004797","The Nottingham Trent University","0","40","175","580","545","155","1,495"
"10007773","The Open University","0","5","15","215","530","175","935"
"10004930","Oxford Brookes University","0","5","75","210","285","105","675"
"10007774","The University of Oxford","0","0","850","2,400","1,020","1,750","6,020"
"10005127","Arts University Plymouth","0","10","10","20","5","5","55"
"10007801","University of Plymouth","0","5","50","230","400","105","790"
"10007155","The University of Portsmouth","0","5","45","400","480","135","1,070"
"10005337","Queen Margaret University, Edinburgh","0","0","5","40","85","20","145"
"10007775","Queen Mary University of London","0","0","40","750","525","670","1,990"
"10009292","Royal Academy of Dramatic Art","0","0","5","10","5","10","30"
"10005389","Ravensbourne University London","0","0","10","0","25","10","50"
"10007802","The University of Reading","0","0","135","250","480","215","1,080"
"10005500","Robert Gordon University","0","5","10","125","220","75","435"
"10007776","Roehampton University","0","0","25","100","215","80","415"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","5","10","5","15"
"10007835","Royal Academy of Music","0","0","0","5","5","10","20"
"10005545","Royal Agricultural University","0","0","0","15","20","5","40"
"10007777","Royal College of Art","0","0","0","5","25","30","60"
"10007778","Royal College of Music","0","0","0","5","5","15","25"
"10005561","Royal Conservatoire of Scotland","0","0","0","15","25","5","45"
"10007816","The Royal Central School of Speech and Drama","0","0","0","10","30","5","45"
"10005553","Royal Holloway and Bedford New College","0","0","30","170","290","210","700"
"10007837","Royal Northern College of Music","0","0","0","0","15","10","30"
"10007779","The Royal Veterinary College","0","0","40","35","90","85","255"
"10007803","The University of St. Andrews","0","0","75","360","425","205","1,065"
"10007839","SAE Education Limited","0","0","15","5","0","0","25"
"10007782","St George's, University of London","0","0","20","80","145","75","320"
"10008026","St Mary's University College","0","0","0","5","30","5","35"
"10007843","St Mary's University, Twickenham","0","0","5","65","90","25","190"
"10007156","The University of Salford","0","0","105","175","520","85","890"
"10007780","SOAS University of London","0","0","20","80","170","80","350"
"10005700","SRUC","0","15","35","170","45","40","310"
"10005790","Sheffield Hallam University","0","0","65","405","680","160","1,315"
"10007157","The University of Sheffield","0","5","655","785","935","550","2,930"
"10006022","Solent University","0","0","5","255","170","10","440"
"10007158","The University of Southampton","0","0","360","590","545","625","2,120"
"10006093","Spurgeon's College","0","0","0","5","0","0","10"
"10006299","Staffordshire University","0","0","40","180","150","60","440"
"10007804","The University of Stirling","5","0","110","165","245","110","635"
"10037449","University of St Mark and St John","0","0","20","15","35","5","70"
"10008010","Stranmillis University College","0","0","0","5","35","5","45"
