﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10008071","AA School of Architecture","435","340","0","775"
"10007783","The University of Aberdeen","8,640","6,135","0","14,775"
"10007849","Abertay University","2,135","2,215","5","4,355"
"10007856","Aberystwyth University","4,230","3,585","30","7,845"
"10000080","Access to Music Limited","10","10","0","20"
"10067853","ACM Guildford Limited","325","860","0","1,185"
"10000248","Academy of Live and Recorded Arts","155","105","0","260"
"10000163","AECC University College","300","300","0","595"
"10032036","Amity Global Education","25","45","0","75"
"10000291","Anglia Ruskin University","15,615","8,855","25","24,490"
"10041898","Apex College","30","20","0","50"
"10005451","Arden University","3,365","1,815","0","5,175"
"10000381","Arts Educational Schools","140","135","0","275"
"10007759","Aston University","7,135","7,850","0","14,990"
"10007857","Bangor University","6,095","4,095","0","10,195"
"10000571","Bath Spa University","5,455","2,425","0","7,880"
"10007850","The University of Bath","8,540","9,515","10","18,065"
"10007152","University of Bedfordshire","8,420","5,510","0","13,930"
"10005343","Queen's University Belfast","14,215","10,485","0","24,695"
"10037544","BIMM University","1,800","3,280","35","5,115"
"10007760","Birkbeck College","6,270","5,100","20","11,390"
"10007140","Birmingham City University","16,245","9,595","15","25,855"
"10006840","The University of Birmingham","20,435","15,005","10","35,445"
"10000712","University College Birmingham","3,345","1,555","0","4,905"
"10007832","Birmingham Newman University","2,140","660","0","2,800"
"10000894","Bristol Baptist College","30","25","0","55"
"10007811","Bishop Grosseteste University","1,810","440","0","2,255"
"10004061","Bloomsbury Institute","1,245","845","0","2,090"
"10006841","The University of Bolton","4,190","2,755","5","6,945"
"10000385","The Arts University Bournemouth","2,325","1,040","20","3,385"
"10000824","Bournemouth University","9,835","7,995","30","17,860"
"10031982","BPP University","5,830","3,725","10","9,565"
"10007785","The University of Bradford","5,475","4,185","0","9,665"
"10000886","The University of Brighton","12,615","7,825","30","20,470"
"10000936","The University College of Osteopathy","285","210","0","490"
"10007786","The University of Bristol","14,485","11,450","20","25,955"
"10028216","Brit College","230","330","0","560"
"10023464","Trinity College Bristol","95","70","0","165"
"10000961","Brunel University London","6,825","8,005","0","14,830"
"10000975","Buckinghamshire New University","5,745","5,225","0","10,970"
"10007787","The University of Buckingham","1,635","1,435","0","3,070"
"10022021","UK College of Business and Computing","355","220","0","575"
"10019368","London College of Business Studies","45","40","0","90"
"10010308","Cambridge Arts and Sciences Limited","70","20","145","235"
"10007788","The University of Cambridge","9,855","11,020","15","20,890"
"10032072","The Cambridge Theological Federation","75","70","0","145"
"10003324","The Institute of Cancer Research","165","100","0","265"
"10001143","Canterbury Christ Church University","9,805","4,290","5","14,100"
"10007814","Cardiff University","19,765","13,380","45","33,190"
"10007854","Cardiff Metropolitan University","6,050","4,620","0","10,675"
"10007141","The University of Central Lancashire","13,540","9,645","0","23,185"
"10007848","University of Chester","10,085","4,480","5","14,570"
"10007137","The University of Chichester","3,435","2,035","0","5,470"
"10001386","Chicken Shed Theatre Company","50","30","0","80"
"10001546","The College of Integrated Chinese Medicine","145","25","0","170"
"10001419","Christie's Education Limited","70","5","0","75"
"10026921","Christ the Redeemer College","20","25","0","45"
"10010213","The City College","135","110","40","285"
"10001478","City, University of London","11,545","8,655","10","20,210"
"10007912","Cliff College","85","60","0","145"
"10001653","Conservatoire for Dance and Drama","970","535","5","1,510"
"10007761","Courtauld Institute of Art","400","95","5","495"
"10034324","Court Theatre Training Company Ltd","25","15","0","40"
"10001726","Coventry University","16,745","18,205","20","34,970"
"10007822","Cranfield University","1,180","3,270","0","4,450"
"10006427","University for the Creative Arts","4,600","2,000","15","6,615"
"10007842","University of Cumbria","5,055","2,525","15","7,595"
"10001883","De Montfort University","14,630","11,875","60","26,565"
"10007851","University of Derby","11,340","7,810","0","19,145"
"10007852","The University of Dundee","10,265","5,640","5","15,915"
"10007143","University of Durham","10,250","8,775","0","19,025"
"10007789","The University of East Anglia","10,670","7,225","25","17,920"
"10007144","The University of East London","8,240","5,155","5","13,395"
"10032282","The Queen's Foundation for Ecumenical Theological Education","210","130","0","340"
"10007823","Edge Hill University","9,520","4,315","0","13,835"
"10007772","Edinburgh Napier University","7,565","6,025","5","13,595"
"10007790","The University of Edinburgh","20,875","13,355","45","34,275"
"10022047","Empire College London Limited","85","65","0","150"
"10042570","Escape Studios","490","635","0","1,125"
"10007791","The University of Essex","8,520","7,065","10","15,600"
"10008173","University College of Estate Management","850","1,870","0","2,720"
"10007792","The University of Exeter","13,580","11,385","40","25,010"
"10008640","Falmouth University","3,725","2,655","45","6,425"
"10033187","Fairfield School of Business Ltd","490","395","0","885"
"10045476","Met Film School Limited","130","170","0","305"
"10004511","The National Film and Television School","285","265","0","550"
"10038763","ForMission Ltd","90","95","0","185"
"10022087","Futureworks","90","390","5","485"
"10007762","Glasgow Caledonian University","9,815","7,040","5","16,860"
"10002681","Glasgow School of Art","1,520","730","35","2,285"
"10007794","The University of Glasgow","18,060","12,265","480","30,805"
"10007145","University of Gloucestershire","4,835","3,405","20","8,255"
"10002718","Goldsmiths College","6,830","3,550","30","10,410"
"10030408","Gower College Swansea","75","60","0","130"
"10007146","The University of Greenwich","10,915","7,740","0","18,655"
"10007937","GSM London","2,575","2,110","0","4,685"
"10007825","Guildhall School of Music and Drama","545","535","5","1,085"
"10040812","Harper Adams University","2,890","2,485","5","5,375"
"10080811","Hartpury University","1,240","575","0","1,815"
"10007764","Heriot-Watt University","4,390","6,540","0","10,935"
"10007147","University of Hertfordshire","14,010","10,270","0","24,280"
"10007148","The University of Huddersfield","9,840","7,450","0","17,295"
"10007149","The University of Hull","9,130","6,945","20","16,090"
"10003239","ICON College of Technology and Management","905","580","0","1,485"
"10003270","Imperial College of Science, Technology and Medicine","7,710","11,405","0","19,115"
"10004023","London College of International Business Studies Ltd","40","75","0","115"
"10035638","Institute of Contemporary Music Performance","400","590","5","995"
"10029682","The Islamic College","35","30","0","65"
"10021682","Kaplan Open Learning (Essex) Limited","775","345","0","1,115"
"10007767","Keele University","6,425","4,435","5","10,865"
"10003566","Kensington College of Business","310","185","0","495"
"10007150","The University of Kent","10,265","8,995","5","19,265"
"10003645","King's College London","20,615","11,745","535","32,895"
"10008325","KLC School of Design","180","10","0","190"
"10003678","Kingston University","9,845","6,895","70","16,810"
"10009285","Kogan Academy of Dramatic Arts","5","5","0","5"
"10007768","The University of Lancaster","7,295","7,155","15","14,465"
"10066551","LCCM AU UK Limited","100","150","0","250"
"10003854","Leeds Arts University","1,430","415","0","1,850"
"10003861","Leeds Beckett University","12,960","10,315","0","23,275"
"10034449","Leeds Conservatoire","350","830","0","1,180"
"10007795","The University of Leeds","22,015","14,215","25","36,250"
"10003863","Leeds Trinity University","2,200","1,215","0","3,415"
"10007796","The University of Leicester","9,025","7,830","0","16,855"
"10007151","The University of Lincoln","8,660","7,210","5","15,875"
"10003956","Liverpool Hope University","3,540","1,550","10","5,100"
"10003957","Liverpool John Moores University","13,015","11,020","0","24,030"
"10003945","The Liverpool Institute for Performing Arts","465","355","0","820"
"10006842","The University of Liverpool","16,255","13,445","0","29,695"
"10003958","Liverpool School of Tropical Medicine","295","130","0","420"
"10007820","Grŵp Llandrillo Menai","835","575","0","1,410"
"10007162","University of the Arts, London","14,380","4,680","35","19,095"
"10013109","London Bridge Business Academy","115","70","0","185"
"10007769","London Business School","750","1,325","0","2,075"
"10030391","London Churchill College Ltd","450","435","0","885"
"10007797","University of London (Institutes and activities)","155","90","0","245"
"10039082","City and Guilds of London Art School","80","35","120","235"
"10023434","London School of Commerce & IT Limited","25","25","0","50"
"10015506","The London College","390","595","0","985"
"10004048","London Metropolitan University","5,940","3,160","0","9,100"
"10032594","London School of Academics Ltd","60","60","0","120"
"10004078","London South Bank University","10,080","7,035","5","17,125"
