﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Abertawe - Swansea","Blaenau Gwent - Blaenau Gwent","Bro Morgannwg - The Vale of Glamorgan","Caerdydd - Cardiff","Caerffili - Caerphilly","Casnewydd - Newport","Castell-Nedd Port Talbot - Neath Port Talbot","Conwy - Conwy","Gwynedd - Gwynedd","Merthyr Tudful - Merthyr Tydfil","Pen-Y-Bont Ar Ogwr - Bridgend","Powys - Powys","Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","Sir Benfro - Pembrokeshire","Sir Ceredigion - Ceredigion","Sir Ddinbych - Denbighshire","Sir Fynwy - Monmouthshire","Sir Gaerfyrddin - Carmarthenshire","Sir Y Fflint - Flintshire","Sir Ynys Môn - Isle of Anglesey","Tor-Faen - Torfaen","Wrecsam - Wrexham","Wales (unitary authority unknown)","Total Wales","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10007783","The University of Aberdeen","5","0","5","10","0","0","0","5","5","0","5","10","0","5","0","0","0","5","5","0","0","5","0","70","11,235"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","4,245"
"10007856","Aberystwyth University","95","30","55","95","85","55","65","55","190","15","55","355","140","135","860","55","65","230","95","60","30","80","0","2,905","7,070"
"10067853","ACM Guildford Limited","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","15","990"
"10000163","AECC University College","0","0","0","5","0","0","0","0","0","0","0","0","5","5","0","0","0","5","0","0","0","0","0","30","850"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10000291","Anglia Ruskin University","15","0","5","15","0","5","5","10","0","0","5","5","10","0","0","0","5","10","0","0","0","0","0","105","27,495"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","630"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,355"
"10005451","Arden University","15","5","5","50","5","10","10","5","10","5","10","5","10","5","0","5","5","0","15","0","5","15","0","205","20,655"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","305"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","710"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110"
"10007759","Aston University","20","0","5","45","5","20","5","5","5","0","10","5","5","10","5","5","10","5","5","0","0","5","0","175","14,505"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","765"
"10007857","Bangor University","25","5","20","40","15","15","15","705","1,070","10","25","75","30","25","40","365","15","45","340","630","20","265","10","3,810","7,775"
"10000571","Bath Spa University","30","10","50","75","30","50","30","5","10","10","35","25","40","45","20","5","40","40","15","0","25","10","0","600","16,465"
"10007850","The University of Bath","80","5","90","165","45","55","30","20","10","20","35","25","40","50","25","10","55","55","30","5","10","15","0","880","14,395"
"10007152","University of Bedfordshire","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","30","8,275"
"10005343","Queen's University Belfast","10","0","10","15","5","5","5","0","5","0","5","0","5","0","5","5","5","5","5","5","0","0","0","95","19,800"
"10037544","BIMM University","15","5","10","25","10","10","5","15","5","5","10","10","10","15","5","5","15","15","5","5","10","10","0","230","6,465"
"10007760","Birkbeck College","5","0","5","10","0","5","0","5","5","0","0","5","0","5","0","0","5","0","0","0","0","5","0","50","8,485"
"10007140","Birmingham City University","20","5","10","60","15","20","10","10","10","0","15","30","20","10","10","10","15","15","10","5","10","15","0","330","26,260"
"10006840","The University of Birmingham","45","5","90","200","30","50","20","15","10","5","35","40","35","20","20","20","75","35","35","10","20","35","0","860","27,920"
"10000712","University College Birmingham","5","0","0","15","5","0","5","0","0","0","5","5","5","0","0","0","0","5","0","0","0","5","0","60","4,165"
"10007832","Birmingham Newman University","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2,770"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
