﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2018/19 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","630","0","375","135","0","55","155","145","20","60","300","405","200","110","2,590"
"10007849","Abertay University","35","15","30","55","0","25","25","0","25","20","40","140","40","10","450"
"10007856","Aberystwyth University","20","80","285","50","0","30","115","55","45","60","65","420","35","155","1,410"
"10000163","AECC University College","60","0","0","0","0","0","0","0","0","0","5","45","10","5","125"
"10000291","Anglia Ruskin University","420","0","105","80","50","230","135","45","95","95","50","560","60","35","1,955"
"10007759","Aston University","280","0","105","360","30","210","60","65","0","0","95","405","120","50","1,785"
"10007857","Bangor University","255","70","210","55","0","55","55","80","10","95","160","335","110","105","1,600"
"10000571","Bath Spa University","20","0","20","5","0","30","60","35","180","115","80","240","90","15","895"
"10007850","The University of Bath","245","0","455","405","85","210","165","40","0","95","335","695","235","250","3,220"
"10007152","University of Bedfordshire","110","0","30","55","0","95","140","10","30","125","235","235","30","5","1,110"
"10005343","Queen's University Belfast","1,000","0","460","395","50","145","270","200","50","75","395","690","185","90","4,005"
"10007760","Birkbeck College","95","0","115","45","0","80","185","150","15","5","45","335","55","0","1,125"
"10007140","Birmingham City University","340","0","15","220","70","135","180","20","405","165","155","730","65","20","2,515"
"10006840","The University of Birmingham","1,785","0","710","665","0","345","520","520","60","225","770","1,020","470","360","7,445"
"10000712","University College Birmingham","70","0","0","0","0","215","0","0","0","10","140","60","30","55","580"
"10007832","Birmingham Newman University","40","0","0","0","0","5","5","20","5","75","75","65","5","15","310"
"10007811","Bishop Grosseteste University","25","0","0","0","0","5","5","15","5","70","55","115","20","5","315"
"10006841","The University of Bolton","115","0","10","85","5","50","15","10","35","40","55","120","55","5","600"
"10000385","The Arts University Bournemouth","0","0","0","0","10","5","80","0","160","0","50","75","10","0","395"
"10000824","Bournemouth University","250","0","60","160","0","205","175","20","20","35","300","365","75","0","1,660"
"10007785","The University of Bradford","250","0","115","110","0","60","70","0","0","0","85","430","140","0","1,260"
"10000886","The University of Brighton","375","0","120","130","60","135","180","90","150","195","185","525","180","90","2,405"
"10000936","The University College of Osteopathy","75","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10007786","The University of Bristol","1,115","140","1,150","590","0","130","390","380","65","80","530","1,340","470","210","6,580"
"10000961","Brunel University London","110","0","105","460","0","130","170","50","35","55","140","540","50","90","1,940"
"10000975","Buckinghamshire New University","110","0","0","20","0","60","45","0","50","20","10","220","10","35","585"
"10007787","The University of Buckingham","80","0","0","20","0","35","50","30","0","40","10","115","30","25","435"
"10007788","The University of Cambridge","3,175","200","2,400","1,165","95","285","520","695","35","330","895","1,195","275","35","11,305"
"10003324","The Institute of Cancer Research","315","0","450","0","0","0","0","0","0","0","90","130","40","0","1,025"
"10001143","Canterbury Christ Church University","245","0","35","15","0","40","125","70","35","255","230","335","100","105","1,590"
"10007814","Cardiff University","1,790","0","755","405","125","210","515","350","25","65","680","700","250","170","6,040"
"10007854","Cardiff Metropolitan University","90","40","35","20","0","120","20","10","110","190","200","205","40","55","1,140"
"10007141","The University of Central Lancashire","465","0","155","100","30","125","225","80","100","125","620","475","170","40","2,705"
"10007848","University of Chester","200","5","105","65","0","95","110","100","65","125","285","395","110","75","1,735"
"10007137","The University of Chichester","25","0","0","10","0","25","30","30","115","135","55","135","75","20","655"
"10001478","City, University of London","325","0","40","230","0","335","325","25","15","0","370","335","115","0","2,120"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","395","0","0","0","0","0","395"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","40","0","0","30","60","5","0","135"
"10001726","Coventry University","405","20","160","420","40","635","290","90","110","85","65","1,480","160","50","4,015"
"10007822","Cranfield University","0","80","55","555","0","90","25","0","0","10","0","500","75","30","1,430"
"10006427","University for the Creative Arts","0","0","0","0","25","20","115","0","225","0","90","235","35","15","755"
"10007842","University of Cumbria","175","10","20","5","0","25","25","5","40","125","75","230","55","10","800"
"10001883","De Montfort University","265","0","70","260","40","240","215","50","155","40","340","475","170","15","2,340"
"10007851","University of Derby","260","0","80","160","10","190","135","35","80","170","280","555","190","5","2,140"
"10007852","The University of Dundee","725","0","750","155","45","50","160","90","155","80","220","500","175","10","3,115"
"10007143","University of Durham","65","0","685","140","0","140","475","495","30","150","250","680","65","730","3,900"
"10007789","The University of East Anglia","560","15","470","70","0","135","285","235","35","55","205","800","255","180","3,300"
"10007144","The University of East London","160","0","45","55","30","50","120","5","75","100","70","490","35","5","1,245"
"10007823","Edge Hill University","300","0","40","45","0","50","120","55","55","350","200","310","80","80","1,680"
"10007772","Edinburgh Napier University","155","5","60","160","65","140","50","20","70","35","25","485","100","45","1,425"
"10007790","The University of Edinburgh","1,995","690","1,740","730","55","230","605","575","265","320","625","1,290","800","555","10,480"
"10007791","The University of Essex","195","0","160","135","0","160","355","170","65","0","175","625","200","0","2,245"
"10007792","The University of Exeter","550","0","540","245","0","140","420","350","25","80","805","1,100","280","185","4,720"
"10008640","Falmouth University","0","0","0","0","5","25","100","15","200","0","15","140","0","0","505"
"10004511","The National Film and Television School","0","0","0","0","0","0","30","0","0","0","0","80","10","0","115"
"10007762","Glasgow Caledonian University","275","0","50","130","60","165","65","5","15","0","245","325","60","0","1,395"
"10002681","Glasgow School of Art","0","0","0","0","20","0","0","0","145","10","30","195","50","0","450"
"10007794","The University of Glasgow","1,165","260","1,085","545","60","200","340","350","95","190","75","1,595","270","105","6,340"
"10007145","University of Gloucestershire","45","0","10","30","10","40","100","25","65","100","55","375","60","0","915"
"10002718","Goldsmiths College","105","0","0","85","0","50","230","80","245","50","135","285","90","5","1,360"
"10007146","The University of Greenwich","150","55","110","145","55","150","115","40","5","75","0","765","0","0","1,675"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","265","0","5","25","20","0","315"
"10040812","Harper Adams University","0","210","0","30","0","0","0","0","0","0","25","125","55","45","490"
"10080811","Hartpury University","0","75","0","0","0","0","0","0","0","55","5","40","20","30","225"
"10007764","Heriot-Watt University","20","0","295","365","70","175","15","50","35","0","50","530","60","140","1,800"
"10007147","University of Hertfordshire","435","15","165","215","5","230","170","75","95","100","365","570","40","85","2,565"
"10007148","The University of Huddersfield","245","0","140","185","40","145","80","45","145","45","190","645","135","35","2,075"
"10007149","The University of Hull","295","0","220","125","0","155","150","95","45","115","70","800","155","70","2,300"
"10003270","Imperial College of Science, Technology and Medicine","2,525","0","1,330","1,595","0","310","0","0","0","60","445","1,060","305","210","7,840"
"10007767","Keele University","530","0","200","55","0","40","150","70","10","15","220","235","145","135","1,805"
"10007150","The University of Kent","175","0","320","165","45","150","415","270","85","40","185","670","245","295","3,060"
"10003645","King's College London","3,280","0","485","180","0","155","740","515","45","65","565","1,015","225","145","7,415"
"10003678","Kingston University","200","0","120","150","45","120","120","60","195","60","160","425","20","0","1,670"
"10007768","The University of Lancaster","215","0","560","240","0","335","230","205","55","30","315","565","280","85","3,120"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","145","0","30","50","15","0","235"
"10003861","Leeds Beckett University","190","0","35","90","60","160","105","50","120","250","270","765","145","100","2,335"
"10034449","Leeds Conservatoire","0","0","0","0","0","0","0","0","55","0","20","70","20","5","165"
"10007795","The University of Leeds","1,575","65","1,045","665","0","370","415","480","195","85","1,080","1,100","360","270","7,705"
"10003863","Leeds Trinity University","25","0","0","0","0","10","30","20","0","95","60","95","25","15","375"
"10007796","The University of Leicester","610","0","665","120","0","155","365","215","15","40","160","765","250","100","3,460"
"10007151","The University of Lincoln","210","65","175","115","20","170","205","85","140","70","145","290","35","40","1,765"
"10003956","Liverpool Hope University","40","0","15","10","0","20","45","40","45","110","35","195","50","35","630"
