﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,130","380","1,510"
"10007849","Abertay University","210","5","215"
"10007856","Aberystwyth University","600","110","710"
"10067853","ACM Guildford Limited","30","0","30"
"10000163","AECC University College","50","0","50"
"10000291","Anglia Ruskin University","835","0","835"
"10005451","Arden University","55","0","55"
"10007759","Aston University","755","155","905"
"10007857","Bangor University","830","180","1,010"
"10000571","Bath Spa University","570","0","575"
"10007850","The University of Bath","1,420","90","1,510"
"10007152","University of Bedfordshire","505","0","505"
"10005343","Queen's University Belfast","1,235","820","2,055"
"10037544","BIMM University","435","0","435"
"10007760","Birkbeck College","1,015","90","1,105"
"10007140","Birmingham City University","1,805","180","1,985"
"10006840","The University of Birmingham","3,955","190","4,145"
"10000712","University College Birmingham","295","0","295"
"10007832","Birmingham Newman University","140","0","140"
"10007811","Bishop Grosseteste University","110","0","115"
"10006841","The University of Bolton","380","25","405"
"10000385","The Arts University Bournemouth","390","0","390"
"10000824","Bournemouth University","885","15","900"
"10007785","The University of Bradford","480","45","525"
"10000886","The University of Brighton","1,500","85","1,580"
"10000936","The University College of Osteopathy","100","0","100"
"10007786","The University of Bristol","1,755","1,630","3,385"
"10000961","Brunel University London","1,140","75","1,215"
"10000975","Buckinghamshire New University","390","20","410"
"10007787","The University of Buckingham","175","0","175"
"10007788","The University of Cambridge","1,555","4,615","6,170"
"10003324","The Institute of Cancer Research","100","590","690"
"10001143","Canterbury Christ Church University","690","50","740"
"10007814","Cardiff University","2,340","1,010","3,350"
"10007854","Cardiff Metropolitan University","695","15","715"
"10007141","The University of Central Lancashire","1,655","40","1,695"
"10007848","University of Chester","650","0","650"
"10007137","The University of Chichester","455","15","470"
"10001386","Chicken Shed Theatre Company","25","0","25"
"10001478","City, University of London","2,305","70","2,375"
"10007912","Cliff College","10","0","10"
"10001653","Conservatoire for Dance and Drama","200","0","200"
"10007761","Courtauld Institute of Art","50","5","55"
"10034324","Court Theatre Training Company Ltd","10","0","10"
"10001726","Coventry University","2,810","0","2,810"
"10007822","Cranfield University","675","0","675"
"10006427","University for the Creative Arts","380","0","380"
"10007842","University of Cumbria","465","0","465"
"10001883","De Montfort University","1,650","0","1,650"
"10007851","University of Derby","570","905","1,480"
"10007852","The University of Dundee","840","595","1,435"
"10007143","University of Durham","1,440","390","1,830"
"10007789","The University of East Anglia","1,735","380","2,115"
"10007144","The University of East London","835","20","860"
"10032282","The Queen's Foundation for Ecumenical Theological Education","15","0","15"
"10007823","Edge Hill University","990","0","990"
"10007772","Edinburgh Napier University","810","0","815"
"10007790","The University of Edinburgh","5,065","2,425","7,490"
"10042570","Escape Studios","35","0","35"
"10007791","The University of Essex","1,265","180","1,450"
"10008173","University College of Estate Management","105","0","105"
"10007792","The University of Exeter","2,325","820","3,145"
"10008640","Falmouth University","300","25","325"
"10004511","The National Film and Television School","60","5","65"
"10022087","Futureworks","25","0","25"
"10007762","Glasgow Caledonian University","670","95","765"
"10002681","Glasgow School of Art","215","0","215"
"10007794","The University of Glasgow","3,405","1,275","4,680"
"10007145","University of Gloucestershire","600","0","600"
"10002718","Goldsmiths College","1,145","35","1,180"
"10007146","The University of Greenwich","895","0","895"
"10007825","Guildhall School of Music and Drama","755","0","755"
"10040812","Harper Adams University","205","0","205"
"10080811","Hartpury University","90","0","90"
"10007764","Heriot-Watt University","665","180","845"
"10007147","University of Hertfordshire","1,845","125","1,970"
"10007148","The University of Huddersfield","940","0","945"
"10007149","The University of Hull","950","55","1,005"
"10003270","Imperial College of Science, Technology and Medicine","1,580","2,855","4,435"
"10035638","Institute of Contemporary Music Performance","15","0","15"
"10007767","Keele University","615","170","785"
"10007150","The University of Kent","1,425","190","1,610"
"10003645","King's College London","3,560","1,925","5,485"
"10003678","Kingston University","815","165","980"
"10003758","LAMDA Limited","35","0","35"
"10007768","The University of Lancaster","1,750","425","2,175"
"10003854","Leeds Arts University","175","0","175"
"10003861","Leeds Beckett University","1,155","105","1,265"
"10034449","Leeds Conservatoire","210","0","210"
"10007795","The University of Leeds","2,955","860","3,815"
"10003863","Leeds Trinity University","150","0","150"
"10007796","The University of Leicester","1,185","515","1,695"
"10007151","The University of Lincoln","1,250","80","1,330"
"10003956","Liverpool Hope University","280","5","285"
"10003957","Liverpool John Moores University","1,435","135","1,570"
"10003945","The Liverpool Institute for Performing Arts","85","0","85"
"10006842","The University of Liverpool","2,005","1,150","3,155"
"10003958","Liverpool School of Tropical Medicine","55","180","235"
"10007162","University of the Arts, London","2,335","0","2,335"
"10007769","London Business School","120","0","120"
"10007797","University of London (Institutes and activities)","70","35","105"
"10004036","London Film School Limited","35","0","35"
"10004048","London Metropolitan University","445","0","445"
"10004078","London South Bank University","1,170","0","1,170"
"10004063","London School of Economics and Political Science","1,780","0","1,780"
"10007771","London School of Hygiene and Tropical Medicine","230","775","1,000"
"10022285","London School of Management Education","15","0","15"
"10004075","London School of Theology","25","0","25"
"10008289","The London Institute of Banking & Finance","20","0","20"
"10004113","Loughborough University","1,335","295","1,630"
"10009612","Luther King House Educational Trust","5","0","5"
"10004180","The Manchester Metropolitan University","2,115","485","2,600"
