﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"10007783","The University of Aberdeen","10","20","35","15","15","20","15","5","15","30","15","0","200","9,730"
"10019746","ABI College Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","70"
"10007849","Abertay University","10","5","15","5","5","5","5","0","0","10","5","0","65","3,300"
"10007856","Aberystwyth University","5","5","10","5","10","5","5","0","10","5","10","0","75","7,205"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","180"
"10000291","Anglia Ruskin University","5","10","5","10","10","10","10","5","5","5","5","0","90","19,540"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","5","2,490"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","5","235"
"10007759","Aston University","0","5","5","5","0","0","0","0","5","0","0","0","25","11,180"
"10007857","Bangor University","5","10","15","10","5","5","5","5","5","15","10","0","95","8,880"
"10000571","Bath Spa University","5","5","5","10","5","5","10","0","5","10","5","0","65","7,200"
"10007850","The University of Bath","5","15","30","5","10","10","20","5","5","25","15","0","145","11,965"
"10007152","University of Bedfordshire","5","5","5","5","5","5","0","0","5","10","5","0","55","11,555"
"10005343","Queen's University Belfast","1,350","2,170","4,150","1,080","1,190","1,010","1,955","1,440","1,270","1,685","2,055","30","19,385","20,790"
"10037544","BIMM University","0","0","5","5","5","5","0","5","5","0","5","0","30","4,315"
"10007760","Birkbeck College","0","0","5","0","0","0","0","0","0","0","0","0","5","11,560"
"10007140","Birmingham City University","5","10","15","5","5","5","5","5","10","5","15","0","90","21,150"
"10006840","The University of Birmingham","5","10","15","10","5","5","5","5","5","15","10","0","90","26,530"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","0","0","0","10","3,580"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","10","2,795"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","5","2,215"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","1,230"
"10006841","The University of Bolton","5","5","10","0","5","0","5","0","0","0","0","0","35","5,945"
"10000385","The Arts University Bournemouth","0","0","5","0","0","0","0","5","0","5","5","0","15","2,785"
