﻿Title:,"Table 17 - HE full-time academic staff by HE provider and contract salary"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 17
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-17.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Sex,All 
,Academic employment function,All 
,Contract levels,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Contract salary < £18,412 ","Contract salary ≥ £18,412 and < £24,565 ","Contract salary ≥ £24,565 and < £32,958 ","Contract salary ≥ £32,958 and < £44,240 ","Contract salary ≥ £44,240 and < £59,400 ","Contract salary ≥ £59,400 ","Total"
"10007783","The University of Aberdeen","0","0","110","305","420","245","1,085"
"10007849","Abertay University","0","0","30","65","55","25","180"
"10007856","Aberystwyth University","0","0","45","180","175","110","515"
"10000291","Anglia Ruskin University","0","5","55","245","325","80","715"
"10007759","Aston University","0","0","60","190","255","100","605"
"10007857","Bangor University","0","0","50","215","250","110","625"
"10000571","Bath Spa University","0","0","0","55","165","25","245"
"10007850","The University of Bath","5","10","65","350","410","235","1,075"
"10007152","University of Bedfordshire","5","5","35","170","230","40","485"
"10005343","Queen's University Belfast","0","10","135","605","480","270","1,500"
"10007760","Birkbeck College","0","0","5","105","135","175","425"
"10007140","Birmingham City University","0","0","40","340","430","75","885"
"10006840","The University of Birmingham","0","0","495","610","965","560","2,635"
"10000712","University College Birmingham","10","0","25","115","70","10","235"
"10007832","Birmingham Newman University","0","0","10","55","70","15","145"
"10007811","Bishop Grosseteste University","0","0","0","30","40","10","80"
"10006841","The University of Bolton","0","0","30","125","100","25","285"
"10000385","The Arts University Bournemouth","0","10","60","65","20","5","160"
"10000824","Bournemouth University","0","10","60","255","220","130","675"
"10007785","The University of Bradford","0","0","20","110","240","100","470"
"10000886","The University of Brighton","0","0","10","160","535","155","860"
"10000936","The University College of Osteopathy","0","0","0","0","5","0","5"
"10007786","The University of Bristol","0","0","155","1,120","680","485","2,445"
"10000961","Brunel University London","0","0","30","125","350","185","695"
"10000975","Buckinghamshire New University","0","5","20","65","180","20","290"
"10007787","The University of Buckingham","0","0","10","35","45","15","110"
"10007788","The University of Cambridge","0","10","1,415","1,650","1,030","1,015","5,125"
"10003324","The Institute of Cancer Research","0","0","70","315","125","70","580"
"10001143","Canterbury Christ Church University","0","0","15","155","265","70","505"
"10007814","Cardiff University","5","0","210","835","720","595","2,370"
"10007854","Cardiff Metropolitan University","0","0","5","150","215","70","445"
"10007141","The University of Central Lancashire","0","30","75","405","440","115","1,060"
"10007848","University of Chester","0","0","10","175","245","45","480"
"10007137","The University of Chichester","0","5","5","45","130","20","205"
"10001478","City, University of London","0","0","5","115","185","370","675"
"10001653","Conservatoire for Dance and Drama","0","0","20","55","15","5","100"
"10007761","Courtauld Institute of Art","0","0","5","5","15","15","35"
"10001726","Coventry University","0","20","240","635","425","160","1,485"
"10007822","Cranfield University","0","5","65","170","245","140","625"
"10006427","University for the Creative Arts","0","20","45","35","70","10","180"
"10007842","University of Cumbria","0","0","15","80","155","20","265"
"10001883","De Montfort University","0","0","35","245","320","100","695"
"10007851","University of Derby","0","25","65","220","290","50","650"
"10007852","The University of Dundee","0","0","115","460","375","210","1,155"
"10007143","University of Durham","0","10","120","480","455","300","1,370"
"10007789","The University of East Anglia","0","0","105","335","490","215","1,145"
"10007144","The University of East London","0","0","5","150","260","80","495"
"10007823","Edge Hill University","0","0","10","225","255","80","570"
"10007772","Edinburgh Napier University","0","0","40","140","305","55","545"
"10007790","The University of Edinburgh","0","5","340","1,410","1,225","755","3,735"
"10007791","The University of Essex","0","0","25","205","330","165","735"
"10007792","The University of Exeter","0","0","215","695","390","340","1,640"
"10008640","Falmouth University","0","5","45","45","75","15","185"
"10004511","The National Film and Television School","0","0","0","0","15","5","15"
"10007762","Glasgow Caledonian University","0","0","25","65","415","100","605"
"10002681","Glasgow School of Art","0","0","0","25","40","20","90"
"10007794","The University of Glasgow","0","0","290","855","745","530","2,425"
"10007145","University of Gloucestershire","0","0","30","85","155","30","305"
"10002718","Goldsmiths College","5","0","15","75","205","105","410"
"10007146","The University of Greenwich","0","0","40","190","390","110","725"
"10007825","Guildhall School of Music and Drama","5","20","20","15","25","35","120"
"10040812","Harper Adams University","0","0","0","35","85","20","135"
"10007764","Heriot-Watt University","0","0","80","205","295","160","740"
"10007147","University of Hertfordshire","0","15","40","205","400","125","785"
"10007765","Heythrop College","10","0","5","5","15","5","35"
"10007148","The University of Huddersfield","0","0","40","225","370","110","745"
"10007149","The University of Hull","0","0","25","240","405","135","805"
"10003270","Imperial College of Science, Technology and Medicine","0","0","95","1,970","615","975","3,660"
"10007767","Keele University","0","0","35","200","230","125","590"
"10007150","The University of Kent","0","0","25","280","380","245","935"
"10003645","King's College London","0","5","215","1,285","830","925","3,260"
"10003678","Kingston University","0","5","25","200","445","130","800"
"10007768","The University of Lancaster","0","0","140","380","365","230","1,125"
"10003854","Leeds Arts University","0","25","10","25","10","5","70"
"10003861","Leeds Beckett University","0","0","10","110","590","90","795"
"10007795","The University of Leeds","0","0","225","1,005","905","615","2,755"
"10003863","Leeds Trinity University","0","0","5","40","70","15","130"
"10007796","The University of Leicester","0","0","80","410","545","270","1,305"
"10007151","The University of Lincoln","0","0","50","280","265","80","680"
"10003956","Liverpool Hope University","0","0","20","155","55","15","245"
"10003957","Liverpool John Moores University","0","15","75","165","620","135","1,005"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","15","15","0","35"
"10006842","The University of Liverpool","0","0","150","870","560","635","2,220"
"10003958","Liverpool School of Tropical Medicine","0","0","20","75","30","45","170"
"10007162","University of the Arts, London","0","0","5","170","215","135","525"
"10007769","London Business School","0","0","0","5","0","95","100"
"10007797","University of London (Institutes and activities)","0","0","5","20","10","25","55"
"10004048","London Metropolitan University","0","0","0","45","220","25","295"
"10004078","London South Bank University","0","5","55","115","335","45","560"
"10004063","London School of Economics and Political Science","0","0","20","215","160","470","865"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0","265","170","155","590"
"10004113","Loughborough University","0","10","175","315","405","255","1,160"
"10004180","The Manchester Metropolitan University","0","145","370","395","780","200","1,890"
