﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008071","AA School of Architecture","95","0","0","0","0","100","100","810","910","0","1,010"
"10007783","The University of Aberdeen","1,855","9,750","80","180","10","11,870","1,525","3,170","4,690","0","16,565"
"10007849","Abertay University","195","3,960","5","25","0","4,190","435","165","600","0","4,790"
"10007856","Aberystwyth University","3,635","45","2,745","55","15","6,495","630","720","1,345","0","7,845"
"10067853","ACM Guildford Limited","890","5","15","5","5","920","35","10","40","0","960"
"10000163","AECC University College","660","10","20","15","10","715","130","190","320","0","1,035"
"10032036","Amity Global Education","55","0","0","0","0","55","0","5","5","0","60"
"10000291","Anglia Ruskin University","27,790","55","100","70","10","28,025","1,560","5,615","7,170","0","35,195"
"10041898","Apex College","425","0","0","0","5","430","0","0","0","0","430"
"10062759","Applied Business Academy Limited","920","0","0","0","0","920","0","0","0","0","920"
"10005451","Arden University","14,870","20","155","5","0","15,050","15","55","70","0","15,120"
"10000381","Arts Educational Schools","265","15","20","0","0","300","25","20","45","0","345"
"10008899","The Ashridge (Bonar Law Memorial) Trust","920","5","10","0","0","935","40","20","60","0","995"
"10003212","Hult International Business School Ltd","140","5","0","0","0","145","645","865","1,515","0","1,660"
"10007759","Aston University","14,280","30","190","25","5","14,530","230","2,835","3,065","0","17,595"
"10038772","British Academy of Jewellery Limited","205","0","0","0","0","205","0","0","0","0","205"
"10007857","Bangor University","3,845","45","4,205","65","25","8,180","395","1,930","2,325","0","10,505"
"10000571","Bath Spa University","11,990","25","615","35","30","12,695","235","315","550","0","13,240"
"10007850","The University of Bath","12,930","140","860","115","80","14,120","1,505","3,265","4,765","0","18,890"
"10007152","University of Bedfordshire","10,315","25","30","25","5","10,395","1,455","4,580","6,035","0","16,430"
"10005343","Queen's University Belfast","1,410","140","85","18,460","20","20,120","1,235","3,940","5,175","0","25,295"
"10037544","BIMM University","5,850","80","270","30","40","6,265","595","185","780","0","7,045"
"10007760","Birkbeck College","9,165","30","45","5","5","9,245","555","855","1,410","0","10,660"
"10007140","Birmingham City University","24,915","85","345","80","15","25,445","505","4,335","4,840","0","30,285"
"10006840","The University of Birmingham","27,210","145","920","100","60","28,430","1,060","8,500","9,555","5","37,990"
"10000712","University College Birmingham","3,865","10","60","15","5","3,955","500","715","1,215","0","5,170"
"10007832","Birmingham Newman University","2,720","10","10","5","0","2,745","15","0","15","0","2,760"
"10000894","Bristol Baptist College","60","0","5","0","0","65","0","5","5","0","70"
"10007811","Bishop Grosseteste University","2,300","0","10","5","0","2,315","15","40","55","0","2,370"
"10004061","Bloomsbury Institute","780","0","0","0","0","780","5","310","315","0","1,095"
"10006841","The University of Bolton","9,135","25","65","25","5","9,255","185","1,555","1,740","0","10,995"
"10000385","The Arts University Bournemouth","2,985","10","70","25","60","3,145","235","345","580","0","3,725"
"10000824","Bournemouth University","14,885","30","160","40","65","15,180","415","2,365","2,780","0","17,960"
"10031982","BPP University","7,185","75","80","30","10","7,385","155","8,370","8,525","0","15,910"
"10007785","The University of Bradford","8,470","20","20","15","5","8,530","220","3,135","3,355","0","11,885"
"10000886","The University of Brighton","15,040","45","155","95","100","15,440","610","1,785","2,395","0","17,835"
"10000936","The University College of Osteopathy","420","5","0","0","0","430","15","30","45","0","475"
"10007786","The University of Bristol","20,500","220","1,560","180","50","22,510","1,225","7,745","8,975","0","31,485"
"10028216","Brit College","15","0","0","0","0","15","0","0","0","0","15"
"10023464","Trinity College Bristol","150","0","0","0","0","155","0","5","10","0","160"
"10000961","Brunel University London","11,475","35","105","15","20","11,650","830","6,175","7,005","0","18,655"
"10000975","Buckinghamshire New University","18,620","40","85","40","10","18,800","520","1,255","1,775","0","20,570"
"10007787","The University of Buckingham","2,260","25","25","10","5","2,325","110","985","1,095","10","3,430"
"10010308","Cambridge Arts and Sciences Limited","45","0","0","0","0","50","15","60","70","0","120"
"10007788","The University of Cambridge","14,575","295","350","175","10","15,405","2,015","5,190","7,205","0","22,610"
"10032072","The Cambridge Theological Federation","140","0","0","0","0","145","0","0","5","0","145"
"10003324","The Institute of Cancer Research","320","0","0","0","0","325","15","20","40","0","365"
"10001143","Canterbury Christ Church University","23,730","15","65","40","15","23,865","315","480","795","0","24,660"
"10007814","Cardiff University","15,055","85","11,020","225","70","26,460","910","6,620","7,530","0","33,985"
"10007854","Cardiff Metropolitan University","3,450","15","6,195","35","15","9,710","160","2,750","2,910","0","12,620"
"10057213","CEG UFP Limited","5","0","0","0","0","5","0","795","795","0","805"
"10007141","The University of Central Lancashire","21,030","175","220","155","30","21,610","450","6,270","6,715","0","28,325"
"10024024","Central Film School London","100","0","0","0","0","100","10","15","25","0","125"
"10007848","University of Chester","9,685","65","1,780","100","65","11,695","135","2,495","2,630","0","14,325"
"10007137","The University of Chichester","5,575","25","85","15","35","5,735","85","165","250","0","5,985"
"10001386","Chicken Shed Theatre Company","85","0","0","0","0","85","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","170","0","5","0","0","180","0","5","5","0","185"
"10026921","Christ the Redeemer College","210","0","0","0","0","210","0","0","0","0","210"
"10010213","The City College","215","0","0","0","0","215","0","0","0","0","215"
"10001478","City, University of London","14,185","45","105","30","5","14,370","1,510","4,805","6,315","0","20,685"
"10007912","Cliff College","115","0","5","5","0","125","0","0","0","0","125"
"10066502","The College of Health Ltd","275","5","10","0","0","290","20","35","55","0","345"
"10023442","The College of Osteopaths","80","0","0","0","0","80","0","0","0","0","80"
"10001653","Conservatoire for Dance and Drama","680","40","30","10","0","760","155","190","345","0","1,105"
"10081618","The Council of the Inns of Court","150","0","5","0","0","155","5","5","5","0","165"
"10007761","Courtauld Institute of Art","365","5","5","5","0","380","75","140","220","0","600"
"10034324","Court Theatre Training Company Ltd","35","0","0","0","0","35","0","0","0","0","35"
"10001726","Coventry University","22,260","50","250","50","10","22,625","2,355","13,210","15,565","0","38,190"
"10007822","Cranfield University","2,560","65","70","15","5","2,715","545","2,135","2,685","0","5,400"
"10006427","University for the Creative Arts","6,530","70","120","30","10","6,760","360","2,310","2,670","0","9,430"
"10007842","University of Cumbria","8,825","235","100","245","25","9,425","140","135","280","0","9,705"
"10026767","Dartington Hall Trust (The)","85","5","0","0","0","90","15","25","40","0","130"
"10015688","David Game College Ltd","405","0","0","0","0","405","0","0","0","0","405"
"10001883","De Montfort University","19,820","50","305","50","35","20,260","1,575","6,500","8,075","0","28,335"
"10007851","University of Derby","17,680","90","215","85","5","18,085","545","2,325","2,870","0","20,955"
"10007852","The University of Dundee","2,075","11,280","70","550","10","13,990","905","3,205","4,110","0","18,100"
"10007143","University of Durham","14,540","265","305","240","120","15,475","780","5,980","6,755","0","22,230"
"10067355","Dyson Technical Training Limited","40","0","0","0","0","40","0","0","0","0","40"
"10007789","The University of East Anglia","15,770","50","135","60","20","16,035","535","2,565","3,095","0","19,130"
"10007144","The University of East London","12,625","60","100","40","10","12,830","345","6,375","6,715","0","19,550"
"10032282","The Queen's Foundation for Ecumenical Theological Education","325","5","0","0","0","335","0","5","5","0","340"
"10007823","Edge Hill University","13,465","25","355","265","100","14,210","75","420","495","0","14,705"
"10007772","Edinburgh Napier University","800","10,890","25","175","10","11,895","1,005","2,630","3,635","0","15,530"
"10007790","The University of Edinburgh","10,970","11,300","310","545","75","23,200","3,570","14,480","18,050","0","41,250"
"10022047","Empire College London Limited","180","0","0","0","0","180","0","0","0","0","180"
"10042570","Escape Studios","885","5","0","0","0","890","40","10","50","0","940"
"10007791","The University of Essex","11,980","45","80","65","35","12,205","1,615","4,290","5,905","0","18,110"
"10008173","University College of Estate Management","2,880","40","80","10","0","3,010","0","0","0","0","3,010"
"10002313","ESCP Europe Business School","0","0","0","0","0","0","490","115","605","0","605"
"10007792","The University of Exeter","22,715","235","1,135","125","125","24,330","1,275","6,860","8,135","0","32,465"
"10008640","Falmouth University","5,870","40","215","35","30","6,190","305","140","445","0","6,635"
"10045476","Met Film School Limited","230","5","0","0","0","240","105","185","290","0","530"
"10004511","The National Film and Television School","390","25","5","5","0","425","65","65","130","0","555"
"10038763","ForMission Ltd","35","5","0","0","0","40","0","0","0","0","40"
"10022087","Futureworks","370","0","10","5","0","390","15","0","15","0","400"
"10042500","Global Banking School Limited","1,895","0","0","0","0","1,895","0","0","0","0","1,895"
"10007762","Glasgow Caledonian University","730","15,605","35","105","5","16,480","665","2,905","3,570","0","20,050"
"10002681","Glasgow School of Art","445","1,090","15","35","0","1,580","220","640","860","0","2,440"
"10007794","The University of Glasgow","4,230","20,520","150","665","25","25,595","2,595","14,795","17,390","0","42,980"
"10007145","University of Gloucestershire","7,080","15","510","15","5","7,625","100","485","585","0","8,210"
"10002718","Goldsmiths College","6,465","50","85","15","5","6,620","600","2,655","3,260","0","9,880"
"10030408","Gower College Swansea","0","0","50","0","0","50","0","0","0","0","50"
"10007146","The University of Greenwich","16,350","70","75","35","40","16,575","1,475","8,560","10,035","0","26,610"
"10007825","Guildhall School of Music and Drama","705","30","20","5","5","760","155","185","340","0","1,105"
"10040812","Harper Adams University","4,290","235","335","165","15","5,045","100","130","230","0","5,275"
"10080811","Hartpury University","1,920","25","220","20","10","2,185","80","90","170","0","2,355"
"10007764","Heriot-Watt University","1,255","5,930","40","305","15","7,545","685","3,450","4,135","0","11,680"
"10007147","University of Hertfordshire","18,445","90","115","45","15","18,710","785","12,445","13,230","0","31,940"
"10007148","The University of Huddersfield","16,480","20","110","30","25","16,655","350","3,855","4,205","20","20,885"
"10007149","The University of Hull","11,355","30","65","20","15","11,490","345","3,235","3,580","0","15,075"
"10003239","ICON College of Technology and Management","1,365","0","0","0","0","1,365","0","0","0","0","1,365"
"10003270","Imperial College of Science, Technology and Medicine","9,675","185","230","55","5","10,150","2,720","8,600","11,320","0","21,470"
