﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,305","350","1,655"
"10007849","Abertay University","210","5","215"
"10007856","Aberystwyth University","620","115","735"
"10067853","ACM Guildford Limited","125","0","125"
"10000163","AECC University College","80","0","80"
"10000291","Anglia Ruskin University","1,105","0","1,105"
"10005451","Arden University","470","0","470"
"10007759","Aston University","960","0","960"
"10038772","British Academy of Jewellery Limited","20","0","20"
"10007857","Bangor University","935","165","1,095"
"10000571","Bath Spa University","660","0","660"
"10007850","The University of Bath","1,430","135","1,570"
"10007152","University of Bedfordshire","540","0","540"
"10005343","Queen's University Belfast","1,240","790","2,030"
"10037544","BIMM University","205","0","205"
"10007760","Birkbeck College","855","110","960"
"10007140","Birmingham City University","1,925","95","2,025"
"10006840","The University of Birmingham","4,050","210","4,260"
"10000712","University College Birmingham","260","0","260"
"10007832","Birmingham Newman University","135","0","135"
"10007811","Bishop Grosseteste University","105","5","115"
"10004061","Bloomsbury Institute","50","0","50"
"10006841","The University of Bolton","515","10","530"
"10000385","The Arts University Bournemouth","420","5","425"
"10000824","Bournemouth University","1,020","25","1,045"
"10007785","The University of Bradford","595","20","610"
"10000886","The University of Brighton","1,395","45","1,440"
"10000936","The University College of Osteopathy","60","0","65"
"10007786","The University of Bristol","2,165","1,510","3,675"
"10000961","Brunel University London","1,360","20","1,380"
"10000975","Buckinghamshire New University","560","5","570"
"10007788","The University of Cambridge","1,580","4,360","5,940"
"10003324","The Institute of Cancer Research","205","485","690"
"10001143","Canterbury Christ Church University","700","40","740"
"10007814","Cardiff University","2,260","1,150","3,410"
"10007854","Cardiff Metropolitan University","860","25","885"
"10001264","Central School of Ballet","15","0","15"
"10007141","The University of Central Lancashire","1,720","60","1,780"
"10024024","Central Film School London","5","0","5"
"10007848","University of Chester","710","0","710"
"10007137","The University of Chichester","550","15","565"
"10001386","Chicken Shed Theatre Company","25","0","25"
"10001478","City, University of London","1,795","35","1,830"
"10007912","Cliff College","10","0","10"
"10066502","The College of Health Ltd","10","0","10"
"10007761","Courtauld Institute of Art","90","0","90"
"10034324","Court Theatre Training Company Ltd","10","0","10"
"10001726","Coventry University","3,005","0","3,005"
"10007822","Cranfield University","755","0","755"
"10006427","University for the Creative Arts","460","0","460"
"10007842","University of Cumbria","575","0","575"
"10015688","David Game College Ltd","30","0","30"
"10001883","De Montfort University","1,495","20","1,510"
"10007851","University of Derby","565","920","1,490"
"10007852","The University of Dundee","835","605","1,440"
"10007143","University of Durham","2,135","395","2,530"
"10007789","The University of East Anglia","1,660","345","2,005"
"10007144","The University of East London","1,050","5","1,055"
"10032282","The Queen's Foundation for Ecumenical Theological Education","15","0","15"
"10007823","Edge Hill University","970","0","970"
"10007772","Edinburgh Napier University","940","0","940"
"10007790","The University of Edinburgh","5,705","2,165","7,870"
"10042570","Escape Studios","35","0","35"
"10007791","The University of Essex","1,365","180","1,540"
"10008173","University College of Estate Management","110","0","110"
"10007792","The University of Exeter","2,895","865","3,760"
