﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2023/24"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts"
"10008071","AA School of Architecture","2020-07-31","","","1,390","2,953","4,343","13,029","17,372","0","0","0","17,372"
"10007783","The University of Aberdeen","2020-07-31","15,109","8,358","23,467","5,240","28,707","41,482","70,189","225","2,160","0","72,574"
"10007849","Abertay University","2020-07-31","5,522","1,053","6,575","1,586","8,161","1,537","9,698","0","12","79","9,789"
"10007856","Aberystwyth University","2020-07-31","15,515","25,971","41,486","6,513","47,999","4,835","52,834","0","680","0","53,514"
"10067853","ACM Guildford Limited","2019-08-31","","","3,974","272","4,246","57","4,303","0","0","724","5,027"
"10000248","Academy of Live and Recorded Arts","2019-08-31","","","2,393","60","2,453","30","2,483","0","313","0","2,796"
"10000163","AECC University College","2020-07-31","","","3,462","1,114","4,576","1,840","6,416","0","258","18","6,692"
"10032036","Amity Global Education","2020-03-31","","","330","14","344","69","413","0","0","0","413"
"10000291","Anglia Ruskin University","2020-07-31","","","164,185","13,688","177,873","23,539","201,412","0","1,021","342","202,775"
"10041898","Apex College","2019-12-31","","","293","4","297","87","384","0","0","0","384"
"10062759","Applied Business Academy Limited","2019-12-31","","","335","0","335","0","335","0","0","0","335"
"10005451","Arden University","2019-10-31","","","18,067","2,185","20,252","2,582","22,834","0","0","0","22,834"
"10000381","Arts Educational Schools","2019-08-31","","","3,618","256","3,874","75","3,949","0","4,936","0","8,885"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2019-12-31","","","1,592","270","1,862","258","2,120","0","25,853","0","27,973"
"10003212","Hult International Business School Ltd","2019-09-30","","","1,468","18,550","20,018","18,863","38,881","0","0","0","38,881"
"10007759","Aston University","2020-07-31","","","87,079","3,086","90,165","25,490","115,655","827","667","0","117,149"
"10038772","British Academy of Jewellery Limited","2020-06-30","","","0","0","0","0","0","0","0","275","275"
"10007857","Bangor University","2020-07-31","27,069","31,002","58,071","3,230","61,301","19,188","80,489","899","1,030","0","82,418"
"10000571","Bath Spa University","2020-07-31","","","56,339","4,869","61,208","3,825","65,033","0","237","0","65,270"
"10007850","The University of Bath","2020-07-31","","","90,584","13,569","104,153","59,328","163,481","8,739","2,395","0","174,615"
"10000911","BCNO Limited","2019-08-31","","","0","0","0","0","0","0","0","0","0"
"10007152","University of Bedfordshire","2020-07-31","","","79,266","16,259","95,525","22,274","117,799","0","1,477","0","119,276"
"10005343","Queen's University Belfast","2020-07-31","69,071","8,427","77,498","2,907","80,405","44,040","124,445","1,940","266","0","126,651"
"10037544","BIMM University","2019-08-31","","","28,535","9,937","38,472","1,975","40,447","0","0","2,439","42,886"
"10007760","Birkbeck College","2020-07-31","","","57,281","4,496","61,777","9,419","71,196","1,195","32","0","72,423"
"10007140","Birmingham City University","2020-07-31","","","171,839","5,692","177,531","31,147","208,678","252","3,531","48","212,509"
"10006840","The University of Birmingham","2020-07-31","","","192,584","10,295","202,879","171,314","374,193","51","4,922","0","379,166"
"10000712","University College Birmingham","2020-07-31","","","21,558","10,137","31,695","4,594","36,289","441","0","437","37,167"
"10007832","Birmingham Newman University","2020-07-31","","","20,245","15","20,260","0","20,260","0","6","0","20,266"
"10000894","Bristol Baptist College","2020-06-30","","","199","6","205","8","213","0","32","0","245"
"10007811","Bishop Grosseteste University","2020-07-31","","","16,832","25","16,857","87","16,944","0","0","0","16,944"
"10004061","Bloomsbury Institute","2020-07-31","","","7,220","126","7,346","18","7,364","0","0","0","7,364"
"10006841","The University of Bolton","2020-07-31","","","47,543","1,805","49,348","6,477","55,825","0","46","2,800","58,671"
"10000385","The Arts University Bournemouth","2020-07-31","","","24,458","2,341","26,799","5,198","31,997","0","607","873","33,477"
"10000824","Bournemouth University","2020-07-31","","","102,971","5,610","108,581","22,210","130,791","0","2,183","0","132,974"
"10031982","BPP University","2019-08-31","","","52,885","4,571","57,456","27,787","85,243","0","0","0","85,243"
"10007785","The University of Bradford","2020-07-31","","","60,744","3,383","64,127","20,426","84,553","0","0","0","84,553"
"10000886","The University of Brighton","2020-07-31","","","109,817","9,411","119,228","19,009","138,237","1,600","800","0","140,637"
