﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE Provider","Abertawe - Swansea","Blaenau Gwent - Blaenau Gwent","Bro Morgannwg - The Vale of Glamorgan","Caerdydd - Cardiff","Caerffili - Caerphilly","Casnewydd - Newport","Castell-Nedd Port Talbot - Neath Port Talbot","Conwy - Conwy","Gwynedd - Gwynedd","Merthyr Tudful - Merthyr Tydfil","Pen-Y-Bont Ar Ogwr - Bridgend","Powys - Powys","Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","Sir Benfro - Pembrokeshire","Sir Ceredigion - Ceredigion","Sir Ddinbych - Denbighshire","Sir Fynwy - Monmouthshire","Sir Gaerfyrddin - Carmarthenshire","Sir Y Fflint - Flintshire","Sir Ynys Môn - Isle of Anglesey","Tor-Faen - Torfaen","Wrecsam - Wrexham","Wales (unitary authority unknown)","Total Wales","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","90"
"10007783","The University of Aberdeen","5","0","0","10","0","0","0","0","0","0","0","5","0","0","0","0","0","5","5","0","0","5","0","50","10,040"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3,675"
"10007856","Aberystwyth University","75","25","50","70","85","40","60","60","155","15","55","395","125","150","770","50","70","205","105","30","40","90","0","2,720","6,320"
"10067853","ACM Guildford Limited","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","20","955"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","245"
"10000163","AECC University College","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","445"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10000291","Anglia Ruskin University","10","0","5","15","0","5","5","5","0","0","5","5","5","0","5","0","5","5","0","0","0","0","0","80","22,040"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"10005451","Arden University","5","0","0","10","5","5","5","0","5","0","0","0","5","5","0","5","0","0","5","0","0","0","0","60","6,220"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","245"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"10007759","Aston University","15","0","5","35","10","20","5","15","5","0","5","10","5","5","0","5","5","10","5","5","5","10","0","190","13,025"
"10007857","Bangor University","20","5","10","35","20","15","15","665","1,125","0","10","75","15","15","45","365","10","40","335","740","10","285","0","3,860","7,710"
"10000571","Bath Spa University","30","15","35","70","40","70","25","5","10","5","45","15","45","40","15","0","40","35","5","5","15","10","0","580","8,080"
"10007850","The University of Bath","65","5","80","160","40","60","25","15","15","10","30","30","45","40","30","15","60","45","15","5","10","35","0","830","13,140"
"10007152","University of Bedfordshire","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","30","11,250"
"10005343","Queen's University Belfast","5","0","0","10","0","0","0","0","10","0","5","0","0","5","0","0","5","5","5","5","0","0","0","70","20,715"
"10037544","BIMM University","25","5","15","15","10","10","5","5","10","0","5","10","10","10","10","5","5","10","10","0","0","10","0","185","4,370"
"10007760","Birkbeck College","5","0","0","10","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","35","10,000"
"10007140","Birmingham City University","10","0","15","60","10","25","10","5","15","5","15","45","20","15","20","10","10","10","10","5","10","20","0","340","22,905"
"10006840","The University of Birmingham","45","10","80","215","25","55","15","20","20","5","30","60","35","20","25","25","70","45","40","10","15","40","0","910","25,735"
"10000712","University College Birmingham","5","0","0","10","5","5","0","0","0","0","5","10","0","0","0","5","0","5","0","0","0","0","0","50","3,355"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","15","2,775"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","50"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2,260"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,265"
"10006841","The University of Bolton","0","0","0","5","0","0","5","5","5","0","0","5","0","0","5","5","0","0","10","5","0","10","0","75","7,325"
"10000385","The Arts University Bournemouth","5","0","5","10","5","0","0","0","0","0","5","0","5","5","5","0","5","5","0","0","0","0","0","65","2,855"
"10000824","Bournemouth University","10","0","15","20","10","10","0","0","5","5","10","10","10","10","5","0","10","15","5","0","5","5","0","165","14,765"
"10031982","BPP University","10","0","10","10","0","5","0","5","0","0","5","5","5","5","0","5","10","0","0","0","0","5","0","85","7,540"
"10007785","The University of Bradford","0","0","0","5","5","0","0","0","5","0","0","0","0","0","0","5","0","0","5","5","0","0","0","40","8,165"
"10000886","The University of Brighton","10","0","10","30","10","10","5","5","5","0","5","10","5","10","0","0","10","15","0","0","0","0","0","155","16,465"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","420"
"10007786","The University of Bristol","165","10","115","270","45","85","30","15","15","15","65","50","60","50","40","10","110","70","20","10","40","15","0","1,300","20,210"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","155"
"10000961","Brunel University London","15","0","10","30","0","5","5","0","0","0","5","5","5","10","0","5","5","10","5","0","0","0","0","115","10,940"
"10000975","Buckinghamshire New University","10","0","5","5","5","5","0","10","5","0","5","0","5","5","0","5","5","5","10","5","0","0","0","95","13,175"
"10007787","The University of Buckingham","5","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","25","2,215"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"10007788","The University of Cambridge","35","0","20","55","5","10","5","15","15","5","20","15","10","10","10","15","30","15","15","5","0","10","0","325","13,790"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","245"
"10001143","Canterbury Christ Church University","5","0","0","5","0","5","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","30","12,700"
"10007814","Cardiff University","650","175","755","3,385","645","665","310","105","200","165","515","230","895","300","160","80","375","565","95","65","325","85","50","10,800","24,785"
"10007854","Cardiff Metropolitan University","230","110","405","1,940","405","355","185","50","80","110","335","135","445","165","115","30","195","220","30","35","180","30","5","5,775","9,010"
"10007141","The University of Central Lancashire","5","0","0","20","5","5","5","20","20","0","5","15","10","5","0","25","10","5","45","10","0","10","0","220","20,605"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10007848","University of Chester","15","0","5","5","5","10","10","185","95","0","5","105","10","15","20","240","10","10","580","75","5","360","0","1,765","12,400"
"10007137","The University of Chichester","5","5","5","10","10","5","0","0","0","0","0","0","5","0","0","0","0","5","0","0","5","0","0","70","5,310"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"10001546","The College of Integrated Chinese Medicine","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","165"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"10026921","Christ the Redeemer College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
"10001478","City, University of London","5","0","5","15","0","0","0","5","0","0","0","5","5","0","0","0","5","5","0","0","0","0","0","60","12,760"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","140"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","25","670"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","300"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10001726","Coventry University","25","0","15","35","10","15","5","5","10","5","20","20","5","5","5","10","10","15","10","0","10","5","0","260","24,985"
"10007822","Cranfield University","0","0","5","10","5","10","0","0","0","0","0","0","5","0","0","0","15","0","10","0","5","5","0","70","2,680"
"10006427","University for the Creative Arts","10","0","10","10","10","0","5","5","0","0","5","0","10","10","5","0","5","10","5","5","5","5","0","115","5,110"
"10007842","University of Cumbria","0","0","0","0","0","0","5","5","5","0","0","5","5","5","0","5","0","10","5","5","0","5","0","70","7,640"
"10001883","De Montfort University","10","5","10","30","5","10","15","10","10","0","10","15","10","5","10","10","10","10","10","5","5","5","5","210","22,060"
"10007851","University of Derby","20","0","15","20","10","10","10","15","10","5","15","15","10","5","5","15","5","10","20","5","0","15","0","225","17,735"
"10007852","The University of Dundee","15","0","5","10","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","55","13,270"
"10007143","University of Durham","10","0","15","40","5","5","5","20","5","0","10","15","5","10","10","15","30","15","30","15","0","15","0","275","13,260"
"10007789","The University of East Anglia","5","0","5","15","0","5","0","5","0","0","5","5","5","5","5","5","5","5","5","0","0","5","0","85","14,540"
