﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2020/21 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2021-07-31","3,894","5,680","9,574","0","6,846","393","57","16,870"
"10007783","The University of Aberdeen","2021-07-31","89,536","57,420","146,956","0","59,306","16,855","5,840","228,957"
"10007849","Abertay University","2021-07-31","12,070","15,645","27,715","0","7,300","2,671","416","38,102"
"10007856","Aberystwyth University","2021-07-31","40,212","25,975","66,187","184","38,544","11,946","4,003","120,864"
"10067853","ACM Guildford Limited","2020-08-31","2,981","2,972","5,953","0","3,559","101","18","9,631"
"10000248","Academy of Live and Recorded Arts","2020-08-31","926","581","1,507","0","1,541","85","0","3,133"
"10000163","AECC University College","2021-07-31","3,593","2,566","6,159","33","2,496","509","90","9,287"
"10032036","Amity Global Education","2021-03-31","176","258","434","0","642","1","0","1,077"
"10000291","Anglia Ruskin University","2021-07-31","50,326","59,042","109,368","0","142,863","13,279","4,721","270,231"
"10041898","Apex College","2020-12-31","66","271","337","0","265","0","0","602"
"10062759","Applied Business Academy Limited","2020-12-31","335","134","469","0","185","32","0","686"
"10005451","Arden University","2020-10-31","6,456","10,338","16,794","0","17,646","1,142","0","35,582"
"10000381","Arts Educational Schools","2020-08-31","5,133","624","5,757","43","2,728","424","0","8,952"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2020-12-31","4,182","1,552","5,734","0","3,621","0","-9","9,346"
"10003212","Hult International Business School Ltd","2020-09-30","3,049","1,850","4,899","0","6,207","992","238","12,336"
"10003212","Hult International Business School Ltd","2021-07-31","2,883","1,562","4,445","0","5,312","919","137","10,813"
"10007759","Aston University","2021-07-31","58,023","41,609","99,632","0","49,397","12,156","1,840","163,025"
"10038772","British Academy of Jewellery Limited","2021-06-30","623","509","1,132","0","508","34","2","1,676"
"10007857","Bangor University","2021-07-31","49,112","36,112","85,224","2,322","47,884","14,282","5,205","154,917"
"10000571","Bath Spa University","2021-07-31","25,335","23,412","48,747","0","25,025","4,973","3,149","81,894"
"10007850","The University of Bath","2021-07-31","92,245","77,910","170,155","0","88,866","53,656","8,811","321,488"
"10000911","BCNO Limited","2020-08-31","474","404","878","0","514","73","24","1,489"
"10007152","University of Bedfordshire","2021-07-31","36,459","33,479","69,938","0","63,719","8,402","2,105","144,164"
"10005343","Queen's University Belfast","2021-07-31","134,262","98,412","232,674","0","116,058","22,570","1,733","373,035"
"10037544","BIMM University","2020-08-31","4,921","8,186","13,107","0","19,324","4,617","61","37,109"
"10007760","Birkbeck College","2021-07-31","42,819","32,522","75,341","534","27,354","3,399","155","106,783"
"10007140","Birmingham City University","2021-07-31","66,749","88,340","155,089","0","82,366","29,225","4,138","270,818"
"10006840","The University of Birmingham","2021-07-31","358,132","70,743","428,875","0","246,208","65,632","11,987","752,702"
"10000712","University College Birmingham","2021-07-31","19,428","11,471","30,899","0","17,140","4,485","566","53,090"
"10007832","Birmingham Newman University","2021-07-31","7,991","6,233","14,224","0","6,457","1,272","132","22,085"
"10000894","Bristol Baptist College","2021-06-30","161","94","255","0","233","0","23","511"
"10007811","Bishop Grosseteste University","2021-07-31","8,626","7,712","16,338","0","9,008","1,265","187","26,798"
"10004061","Bloomsbury Institute","2021-07-31","842","1,736","2,578","0","2,889","116","119","5,702"
"10006841","The University of Bolton","2021-07-31","30,415","28,072","58,487","115","43,175","6,648","2,197","110,622"
"10000385","The Arts University Bournemouth","2021-07-31","11,094","11,070","22,164","110","15,525","5,717","1,842","45,358"
"10000824","Bournemouth University","2021-07-31","50,580","44,628","95,208","1,018","54,076","13,040","3,799","167,141"
"10031982","BPP University","2020-08-31","20,380","16,510","36,890","319","38,812","248","13","76,282"
"10007785","The University of Bradford","2021-07-31","38,633","32,764","71,397","15","37,966","7,660","2,282","119,320"
"10000886","The University of Brighton","2021-07-31","69,138","61,317","130,455","493","57,624","6,799","6,031","201,402"
"10000936","The University College of Osteopathy","2021-07-31","1,666","1,450","3,116","97","1,474","290","148","5,125"
"10007786","The University of Bristol","2021-07-31","220,148","186,167","406,315","0","233,127","49,697","21,478","710,617"
"10028216","Brit College","2020-12-31","109","175","284","0","501","24","17","826"
"10023464","Trinity College Bristol","2020-08-31","390","851","1,241","0","1,049","108","60","2,458"
"10000961","Brunel University London","2021-07-31","67,327","75,531","142,858","721","89,939","17,872","5,411","256,801"
"10000975","Buckinghamshire New University","2021-07-31","15,805","19,965","35,770","215","103,232","6,058","2,746","148,021"
"10010308","Cambridge Arts and Sciences Limited","2020-08-31","3,970","2,986","6,956","0","18,643","246","0","25,845"
"10007788","The University of Cambridge","2021-07-31","356,086","634,480","990,566","0","893,146","133,951","55,637","2,073,300"
"10032072","The Cambridge Theological Federation","2020-08-31","0","225","225","0","842","16","0","1,083"
"10003324","The Institute of Cancer Research","2021-07-31","51,746","19,461","71,207","0","46,366","6,415","596","124,584"
"10001143","Canterbury Christ Church University","2021-07-31","41,745","32,506","74,251","936","55,683","8,108","2,218","141,196"
"10007814","Cardiff University","2021-07-31","200,061","131,664","331,725","482","187,852","40,644","12,498","573,201"
"10007854","Cardiff Metropolitan University","2021-07-31","37,483","42,703","80,186","0","31,954","4,339","2,949","119,428"
"10057213","CEG UFP Limited","2020-08-31","6,730","599","7,329","0","44,499","33","7","51,868"
"10007141","The University of Central Lancashire","2021-07-31","73,794","90,172","163,966","0","78,497","9,249","4,518","256,230"
"10024024","Central Film School London","2020-09-30","208","425","633","40","845","33","0","1,551"
"10007848","University of Chester","2021-07-31","40,708","41,522","82,230","0","38,819","5,039","2,265","128,353"
"10007137","The University of Chichester","2021-07-31","17,479","16,372","33,851","215","18,917","4,381","2,398","59,762"
"10001386","Chicken Shed Theatre Company","2021-03-31","734","1,336","2,070","0","704","139","4","2,917"
