﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008071","AA School of Architecture","5","0","150","0","35","190","185","0","0","0","25","210","400"
"10007783","The University of Aberdeen","190","10","1,760","320","370","2,660","2,160","0","0","0","325","2,490","5,145"
"10007849","Abertay University","10","5","165","0","50","230","960","0","0","0","180","1,140","1,370"
"10007856","Aberystwyth University","55","10","345","80","105","590","1,545","15","0","20","140","1,725","2,315"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","220","0","0","0","65","290","290"
"10000163","AECC University College","0","0","50","0","20","70","140","0","0","0","5","140","210"
"10032036","Amity Global Education","0","0","0","0","0","0","25","0","0","0","0","25","25"
"10000291","Anglia Ruskin University","75","0","2,975","0","1,300","4,355","4,800","270","0","0","670","5,735","10,090"
"10041898","Apex College","0","0","0","0","0","0","0","0","50","0","0","50","50"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","470","470","470"
"10005451","Arden University","0","0","150","0","70","220","760","0","0","0","240","1,000","1,220"
"10000381","Arts Educational Schools","0","0","35","0","0","35","80","0","0","0","60","135","170"
"10008899","The Ashridge (Bonar Law Memorial) Trust","5","0","45","0","30","75","0","0","0","0","0","5","80"
"10003212","Hult International Business School Ltd","0","0","420","0","0","420","290","0","0","0","0","290","710"
"10007759","Aston University","60","0","1,280","0","345","1,690","2,740","40","0","0","240","3,020","4,710"
"10007857","Bangor University","100","35","865","145","135","1,285","1,840","0","0","0","125","1,970","3,255"
"10000571","Bath Spa University","25","0","405","400","315","1,145","1,555","40","0","0","220","1,815","2,965"
"10007850","The University of Bath","250","5","1,615","0","345","2,220","3,220","40","0","0","125","3,385","5,605"
"10007152","University of Bedfordshire","25","10","1,615","200","425","2,275","2,065","105","0","60","625","2,855","5,130"
"10005343","Queen's University Belfast","390","25","2,745","120","1,195","4,480","4,120","0","0","0","830","4,945","9,425"
"10037544","BIMM University","0","0","80","0","10","95","1,280","0","0","0","470","1,755","1,845"
"10007760","Birkbeck College","110","0","1,925","0","415","2,450","1,085","15","0","0","580","1,680","4,130"
"10007140","Birmingham City University","70","10","2,500","590","690","3,860","4,975","215","60","0","940","6,190","10,050"
"10006840","The University of Birmingham","615","115","4,760","310","855","6,655","6,020","180","0","0","445","6,640","13,295"
"10000712","University College Birmingham","0","0","205","50","45","295","885","470","0","0","260","1,615","1,910"
"10007832","Birmingham Newman University","0","0","75","225","35","335","470","40","0","20","95","625","960"
"10000894","Bristol Baptist College","0","0","5","0","0","10","5","0","0","0","10","15","20"
"10007811","Bishop Grosseteste University","0","0","45","290","55","395","415","90","0","5","60","565","960"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","345","0","0","0","80","425","425"
"10006841","The University of Bolton","15","0","600","215","220","1,050","1,045","95","60","5","410","1,620","2,665"
"10000385","The Arts University Bournemouth","0","0","110","0","20","125","1,020","0","0","0","115","1,135","1,260"
"10000824","Bournemouth University","80","20","1,505","0","285","1,890","3,475","20","15","0","535","4,045","5,935"
"10031982","BPP University","0","0","4,295","10","1,620","5,925","235","30","0","0","285","550","6,475"
"10007785","The University of Bradford","55","0","975","0","520","1,545","1,740","35","0","0","155","1,930","3,475"
"10000886","The University of Brighton","50","0","860","270","430","1,610","3,425","90","0","90","340","3,945","5,555"
"10000936","The University College of Osteopathy","0","0","0","0","35","35","85","0","0","0","20","105","145"
"10007786","The University of Bristol","495","105","3,730","150","405","4,885","5,655","0","0","0","320","5,975","10,860"
"10023464","Trinity College Bristol","0","0","10","0","0","10","15","0","0","0","35","50","60"
"10000961","Brunel University London","105","0","2,110","190","230","2,640","2,855","10","0","0","460","3,325","5,960"
"10000975","Buckinghamshire New University","0","0","360","30","250","640","2,375","95","0","0","455","2,925","3,565"
"10007787","The University of Buckingham","10","30","280","845","55","1,225","370","0","0","0","55","425","1,650"
"10010308","Cambridge Arts and Sciences Limited","0","0","15","0","0","15","25","0","0","0","30","55","70"
"10007788","The University of Cambridge","1,130","220","3,060","250","425","5,085","3,315","0","0","0","440","3,760","8,840"
"10032072","The Cambridge Theological Federation","0","0","10","0","15","25","30","0","0","0","20","50","70"
"10003324","The Institute of Cancer Research","35","0","5","0","30","70","0","0","0","0","0","0","70"
"10001143","Canterbury Christ Church University","95","25","440","345","280","1,190","2,220","200","0","140","495","3,055","4,240"
"10007814","Cardiff University","490","15","3,855","0","1,060","5,420","5,815","0","0","0","565","6,380","11,800"
"10007854","Cardiff Metropolitan University","40","5","1,305","495","250","2,095","1,955","30","5","15","240","2,240","4,335"
"10057213","CEG UFP Limited","0","0","0","0","0","0","0","0","0","0","395","395","395"
"10007141","The University of Central Lancashire","60","25","1,600","0","1,005","2,690","3,910","115","0","0","890","4,915","7,605"
"10024024","Central Film School London","0","0","5","0","0","5","15","0","0","0","0","15","25"
"10007848","University of Chester","50","35","1,415","365","920","2,785","2,030","90","0","0","525","2,640","5,425"
"10007137","The University of Chichester","5","0","300","150","115","575","1,300","30","0","45","195","1,565","2,145"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","30","25","0","0","0","50","50"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","40","0","0","0","0","40","40"
"10026921","Christ the Redeemer College","0","0","5","0","0","5","10","0","30","0","10","55","60"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","45","45","45"
"10001478","City, University of London","100","0","2,765","0","895","3,760","3,305","15","0","0","590","3,910","7,670"
"10007912","Cliff College","0","0","15","0","5","20","15","0","0","0","5","15","40"
"10066502","The College of Health Ltd","0","0","5","0","0","10","40","0","0","0","15","55","65"
"10001653","Conservatoire for Dance and Drama","0","0","160","0","20","180","235","90","0","0","45","365","545"
"10081618","The Council of the Inns of Court","0","0","0","0","95","95","0","0","0","0","0","0","95"
"10007761","Courtauld Institute of Art","15","0","205","0","40","260","85","0","0","0","0","85","345"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","20","0","0","0","0","20","20"
"10001726","Coventry University","125","0","3,770","300","840","5,030","8,505","110","185","0","810","9,610","14,640"
"10007822","Cranfield University","165","20","2,045","0","250","2,480","0","0","0","0","0","0","2,480"
"10006427","University for the Creative Arts","5","0","695","0","85","785","1,260","0","0","0","270","1,530","2,315"
"10007842","University of Cumbria","5","0","300","525","450","1,280","1,480","105","0","15","300","1,900","3,180"
"10026767","Dartington Hall Trust (The)","0","0","55","0","10","65","0","0","0","0","0","0","65"
"10015688","David Game College Ltd","0","0","0","0","0","0","0","0","80","0","20","100","100"
"10001883","De Montfort University","70","10","1,485","0","835","2,395","5,860","60","15","0","1,235","7,170","9,570"
"10007851","University of Derby","35","0","1,250","295","825","2,410","3,605","285","5","0","325","4,215","6,625"
"10007852","The University of Dundee","115","20","1,175","190","655","2,160","2,575","0","0","0","190","2,765","4,925"
"10007143","University of Durham","315","50","2,125","160","165","2,820","4,240","0","0","0","295","4,535","7,355"
"10007789","The University of East Anglia","220","15","1,575","200","495","2,500","3,755","35","0","0","525","4,315","6,820"
"10007144","The University of East London","35","5","2,995","365","565","3,960","2,100","25","0","5","1,475","3,600","7,560"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","20","0","5","25","25","0","0","0","85","110","135"
"10007823","Edge Hill University","30","0","445","610","625","1,710","2,595","65","0","25","425","3,110","4,820"
"10007772","Edinburgh Napier University","45","5","1,585","50","175","1,865","2,650","0","0","0","485","3,140","5,000"
"10007790","The University of Edinburgh","825","280","5,930","255","975","8,265","5,370","0","0","0","415","5,785","14,050"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","75","0","25","95","95"
"10042570","Escape Studios","0","0","55","0","0","55","225","0","0","0","40","265","325"
"10007791","The University of Essex","155","15","1,800","0","355","2,330","3,565","30","0","0","660","4,250","6,580"
"10008173","University College of Estate Management","0","0","295","0","15","310","340","0","0","0","50","390","705"
"10002313","ESCP Europe Business School","0","0","105","0","75","180","0","0","0","0","0","0","180"
"10007792","The University of Exeter","345","40","3,215","380","765","4,745","5,805","0","0","0","785","6,590","11,340"
"10008640","Falmouth University","5","0","400","0","85","490","1,385","5","0","0","115","1,505","1,995"
"10045476","Met Film School Limited","0","0","145","0","5","155","85","0","0","0","20","105","260"
