﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008071","AA School of Architecture","5","0","145","0","0","150","210","0","0","0","0","210","365"
"10007783","The University of Aberdeen","205","15","1,585","300","295","2,395","2,600","0","0","0","360","2,965","5,360"
"10007849","Abertay University","20","5","115","0","80","215","730","0","0","0","120","855","1,070"
"10007856","Aberystwyth University","65","10","325","60","75","530","1,485","30","0","15","120","1,645","2,180"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","285","0","0","0","30","315","315"
"10000248","Academy of Live and Recorded Arts","0","0","30","0","0","30","60","0","0","0","0","60","95"
"10000163","AECC University College","0","0","15","0","25","40","85","0","0","0","5","90","130"
"10032036","Amity Global Education","0","0","30","0","0","30","0","0","0","0","0","0","30"
"10000291","Anglia Ruskin University","80","10","1,325","0","465","1,880","4,040","270","0","0","675","4,980","6,860"
"10041898","Apex College","0","0","0","0","0","0","0","0","30","0","0","30","30"
"10005451","Arden University","0","0","75","0","20","95","275","0","40","0","90","400","495"
"10000381","Arts Educational Schools","0","0","30","0","0","30","75","0","0","0","0","75","105"
"10003212","Hult International Business School Ltd","0","0","335","0","0","335","215","0","0","0","0","215","550"
"10007759","Aston University","70","5","880","0","300","1,255","2,685","65","0","0","165","2,915","4,170"
"10007857","Bangor University","160","45","915","125","120","1,370","2,250","0","0","0","70","2,315","3,685"
"10000571","Bath Spa University","10","5","345","405","195","965","1,430","50","0","0","105","1,585","2,550"
"10007850","The University of Bath","260","5","1,750","0","260","2,275","3,215","60","0","0","60","3,340","5,610"
"10007152","University of Bedfordshire","40","15","685","175","255","1,170","1,760","95","0","10","375","2,240","3,405"
"10005343","Queen's University Belfast","340","35","1,845","120","810","3,150","4,025","0","0","0","535","4,555","7,710"
"10037544","BIMM University","0","0","5","0","25","30","1,040","0","0","0","370","1,410","1,440"
"10007760","Birkbeck College","105","5","1,710","0","285","2,105","945","25","0","0","625","1,590","3,695"
"10007140","Birmingham City University","55","0","1,580","520","715","2,865","5,090","115","110","0","460","5,775","8,640"
"10006840","The University of Birmingham","615","180","4,750","350","930","6,825","6,170","190","0","0","145","6,510","13,330"
"10000712","University College Birmingham","0","0","220","30","40","290","1,025","420","0","0","110","1,560","1,850"
"10007832","Birmingham Newman University","0","0","60","250","20","330","510","60","0","10","90","665","995"
"10000894","Bristol Baptist College","0","0","0","0","0","5","5","0","0","0","0","5","10"
"10007811","Bishop Grosseteste University","0","0","50","240","65","355","440","70","0","5","25","540","900"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","155","0","0","0","5","165","165"
"10006841","The University of Bolton","30","0","250","75","125","475","1,030","240","20","80","305","1,675","2,150"
"10000385","The Arts University Bournemouth","0","0","80","0","15","95","1,000","0","0","0","115","1,115","1,210"
"10000824","Bournemouth University","75","20","950","0","240","1,285","3,725","30","20","0","370","4,145","5,430"
"10031982","BPP University","0","0","1,100","20","1,175","2,295","240","0","0","0","1,160","1,400","3,695"
"10007785","The University of Bradford","75","5","610","0","410","1,100","1,830","35","0","0","220","2,090","3,190"
"10000886","The University of Brighton","60","0","650","235","285","1,230","4,025","80","0","80","205","4,390","5,620"
"10000936","The University College of Osteopathy","0","0","0","0","40","40","85","0","0","0","10","90","135"
"10007786","The University of Bristol","480","95","3,405","150","285","4,410","5,120","0","0","5","100","5,225","9,640"
"10028216","Brit College","0","0","0","0","0","0","0","0","90","0","0","90","90"
"10023464","Trinity College Bristol","0","0","15","0","0","15","15","0","0","0","25","40","55"
"10000961","Brunel University London","145","0","1,510","170","210","2,040","2,610","15","0","0","110","2,735","4,775"
"10000975","Buckinghamshire New University","5","0","175","40","200","420","2,035","100","0","0","275","2,405","2,825"
"10007787","The University of Buckingham","15","50","265","580","30","945","440","0","0","0","25","465","1,410"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","15","0","10","0","20","45","45"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","45","0","0","45","45"
"10010308","Cambridge Arts and Sciences Limited","0","0","10","0","0","10","20","0","0","0","110","130","140"
"10007788","The University of Cambridge","1,055","530","2,265","255","230","4,335","3,300","0","0","0","220","3,515","7,855"
"10032072","The Cambridge Theological Federation","0","0","10","0","10","20","10","0","0","0","5","15","35"
"10003324","The Institute of Cancer Research","20","0","5","0","45","75","0","0","0","0","0","0","75"
"10001143","Canterbury Christ Church University","85","30","355","315","300","1,090","2,430","200","0","165","770","3,565","4,655"
