﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","290","465","700","0","1,460"
"10007849","Abertay University","25","10","185","0","220"
"10007856","Aberystwyth University","270","180","340","0","795"
"10000291","Anglia Ruskin University","105","20","745","5","875"
"10007759","Aston University","180","155","400","0","730"
"10007857","Bangor University","400","200","375","20","1,000"
"10000571","Bath Spa University","235","5","355","10","605"
"10007850","The University of Bath","315","345","710","0","1,370"
"10007152","University of Bedfordshire","70","5","505","5","590"
"10005343","Queen's University Belfast","210","580","870","0","1,665"
"10007760","Birkbeck College","575","120","430","0","1,125"
"10007140","Birmingham City University","90","20","1,755","5","1,875"
"10006840","The University of Birmingham","955","1,220","1,445","5","3,625"
"10000712","University College Birmingham","300","0","0","0","300"
"10007832","Birmingham Newman University","0","0","150","10","165"
"10007811","Bishop Grosseteste University","0","5","90","5","95"
"10006841","The University of Bolton","25","5","300","10","345"
"10000385","The Arts University Bournemouth","230","5","125","5","365"
"10000824","Bournemouth University","225","35","690","5","960"
"10007785","The University of Bradford","30","35","520","5","590"
"10000886","The University of Brighton","85","175","1,460","20","1,740"
"10000936","The University College of Osteopathy","95","0","5","5","100"
"10007786","The University of Bristol","415","1,400","1,230","125","3,175"
"10000961","Brunel University London","395","160","575","5","1,135"
"10000975","Buckinghamshire New University","150","0","305","0","460"
"10007787","The University of Buckingham","105","10","35","15","165"
"10007788","The University of Cambridge","240","4,075","1,640","10","5,965"
"10003324","The Institute of Cancer Research","0","600","65","0","665"
"10001143","Canterbury Christ Church University","5","30","750","20","800"
"10007814","Cardiff University","1,070","990","1,220","180","3,465"
"10007854","Cardiff Metropolitan University","230","25","485","5","740"
"10007141","The University of Central Lancashire","240","105","1,060","0","1,405"
"10007848","University of Chester","0","15","615","0","630"
"10007137","The University of Chichester","290","10","255","5","560"
"10001478","City, University of London","1,280","135","685","0","2,105"
"10001653","Conservatoire for Dance and Drama","265","0","5","5","270"
"10007761","Courtauld Institute of Art","5","5","35","0","40"
"10001726","Coventry University","740","5","1,615","40","2,400"
"10007822","Cranfield University","0","195","445","40","680"
"10006427","University for the Creative Arts","115","0","250","10","380"
"10007842","University of Cumbria","20","5","480","10","515"
"10001883","De Montfort University","530","15","850","0","1,395"
"10007851","University of Derby","575","20","715","0","1,310"
"10007852","The University of Dundee","350","665","390","20","1,425"
"10007143","University of Durham","280","440","930","55","1,700"
"10007789","The University of East Anglia","755","390","655","0","1,800"
"10007144","The University of East London","235","40","640","5","920"
"10007823","Edge Hill University","415","10","595","0","1,020"
"10007772","Edinburgh Napier University","250","75","570","20","915"
"10007790","The University of Edinburgh","500","2,045","2,100","5","4,650"
"10007791","The University of Essex","600","120","470","0","1,195"
"10007792","The University of Exeter","345","700","1,010","0","2,055"
"10008640","Falmouth University","75","5","215","0","300"
"10004511","The National Film and Television School","20","0","0","0","20"
"10007762","Glasgow Caledonian University","35","90","655","10","790"
"10002681","Glasgow School of Art","5","30","180","5","215"
"10007794","The University of Glasgow","1,420","1,225","1,175","20","3,840"
"10007145","University of Gloucestershire","505","10","115","25","655"
"10002718","Goldsmiths College","520","45","465","0","1,030"
"10007146","The University of Greenwich","330","70","815","0","1,215"
"10007825","Guildhall School of Music and Drama","570","5","40","60","680"
"10040812","Harper Adams University","45","0","110","5","160"
"10007764","Heriot-Watt University","130","265","435","10","840"
"10007147","University of Hertfordshire","560","135","1,000","30","1,720"
"10007765","Heythrop College","20","5","35","0","60"
"10007148","The University of Huddersfield","5","135","755","0","895"
"10007149","The University of Hull","305","140","580","10","1,035"
"10003270","Imperial College of Science, Technology and Medicine","285","2,605","1,440","0","4,330"
"10007767","Keele University","185","135","490","0","810"
"10007150","The University of Kent","450","195","775","5","1,425"
"10003645","King's College London","1,200","1,820","1,820","0","4,840"
"10003678","Kingston University","75","45","980","10","1,110"
"10007768","The University of Lancaster","620","370","925","20","1,930"
"10003854","Leeds Arts University","95","5","65","5","165"
"10003861","Leeds Beckett University","465","10","960","0","1,435"
"10007795","The University of Leeds","710","1,055","1,725","0","3,485"
"10003863","Leeds Trinity University","15","0","165","0","180"
