﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","01 Medicine and dentistry","02 Subjects allied to medicine","03 Biological and sport sciences","04 Psychology","05 Veterinary sciences","06 Agriculture, food and related studies","07 Physical sciences","09 Mathematical sciences","10 Engineering and technology","11 Computing","13 Architecture, building and planning","26 Geography, earth and environmental studies (natural sciences)","15 Social sciences","16 Law","17 Business and management","19 Language and area studies","20 Historical, philosophical and religious studies","22 Education and teaching","23 Combined and general studies","24 Media, journalism and communications","25 Design, and creative and performing arts","26 Geography, earth and environmental studies (social sciences)","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","1,000","0","0","0","0","0","0","0","0","0","0","0","1,000"
"10007783","The University of Aberdeen","1,560","730","1,090","805","0","10","460","105","1,150","415","55","365","1,245","1,355","1,585","600","800","1,805","985","40","215","75","15,455"
"10007849","Abertay University","0","480","350","390","0","135","85","0","145","1,015","40","0","375","170","925","0","0","15","0","0","715","0","4,840"
"10007856","Aberystwyth University","0","125","785","470","0","490","245","140","115","680","0","285","720","330","640","880","395","940","0","540","515","110","8,415"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","920","0","1,020"
"10000163","AECC University College","5","1,095","40","30","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","1,185"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","105"
"10000291","Anglia Ruskin University","545","9,040","840","955","40","95","435","0","1,250","1,560","1,355","0","5,390","780","9,900","250","245","955","55","205","1,180","10","35,080"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","630","0","0","0","0","0","0","0","630"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","445","0","0","1,915","0","0","0","0","2,355"
"10005451","Arden University","0","220","0","2,755","0","0","20","0","40","1,645","0","0","3,285","895","11,555","0","0","75","0","10","195","0","20,700"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","345","0","345"
