﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10008071","AA School of Architecture","5","0","140","0","0","145","80","0","0","0","0","80","225"
"10007783","The University of Aberdeen","210","15","1,165","315","315","2,020","2,145","0","0","0","295","2,440","4,460"
"10019746","ABI College Limited","0","0","0","0","0","0","0","0","10","0","0","10","10"
"10007849","Abertay University","15","5","90","0","105","215","815","0","0","0","75","895","1,105"
"10007856","Aberystwyth University","80","10","275","40","65","475","1,630","35","0","5","190","1,865","2,335"
"10000080","Access to Music Limited","0","0","0","0","0","0","25","0","0","0","0","25","25"
"10000248","Academy of Live and Recorded Arts","0","0","30","0","0","30","50","0","0","0","0","50","85"
"10000163","AECC University College","0","0","25","0","25","50","20","0","0","0","10","30","75"
"10000291","Anglia Ruskin University","85","10","1,195","0","360","1,650","3,965","370","0","0","745","5,085","6,735"
"10041898","Apex College","0","0","0","0","0","0","0","0","30","0","0","30","30"
"10005451","Arden University","0","0","35","0","5","40","140","0","55","0","35","230","270"
"10000381","Arts Educational Schools","0","0","0","0","0","0","85","0","0","0","0","85","85"
"10007759","Aston University","85","5","945","0","225","1,260","2,125","100","0","0","195","2,420","3,680"
"10007857","Bangor University","105","25","905","160","95","1,285","2,400","15","5","0","50","2,470","3,755"
"10000571","Bath Spa University","20","5","370","480","125","1,000","1,795","115","0","15","120","2,045","3,045"
"10007850","The University of Bath","235","10","1,385","0","285","1,915","2,980","55","0","0","105","3,140","5,055"
"10007152","University of Bedfordshire","50","15","845","115","280","1,305","2,240","115","30","10","605","3,000","4,305"
"10005343","Queen's University Belfast","360","50","1,215","125","785","2,540","3,880","50","0","0","485","4,415","6,955"
"10037544","BIMM University","0","0","0","0","0","0","1,270","0","0","0","590","1,860","1,860"
"10007760","Birkbeck College","115","15","1,490","0","215","1,835","1,100","85","0","0","630","1,815","3,650"
"10007140","Birmingham City University","45","0","1,140","435","490","2,115","4,900","80","175","0","575","5,735","7,850"
"10006840","The University of Birmingham","675","195","4,575","310","1,020","6,775","5,875","190","0","0","345","6,410","13,185"
"10000712","University College Birmingham","0","0","165","45","30","245","1,245","395","5","0","145","1,785","2,030"
"10007832","Birmingham Newman University","0","0","45","140","40","225","510","55","0","10","65","635","865"
"10000894","Bristol Baptist College","5","0","0","0","0","5","5","0","0","0","5","10","15"
"10007811","Bishop Grosseteste University","5","0","55","295","5","360","535","85","0","10","5","635","995"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","145","0","15","0","0","165","165"
"10006841","The University of Bolton","20","0","160","70","130","385","965","170","60","75","380","1,650","2,035"
"10000385","The Arts University Bournemouth","0","0","45","0","20","65","1,095","0","0","0","155","1,250","1,315"
"10000824","Bournemouth University","80","10","1,020","0","310","1,425","3,465","60","65","0","750","4,345","5,765"
"10031982","BPP University","0","0","590","0","1,570","2,155","400","0","0","0","1,090","1,495","3,650"
"10007785","The University of Bradford","80","0","615","0","470","1,170","2,015","5","0","0","280","2,300","3,465"
"10000886","The University of Brighton","75","0","555","300","405","1,330","4,005","50","0","95","80","4,225","5,555"
"10000936","The University College of Osteopathy","0","0","5","0","45","50","85","0","0","0","0","85","140"
"10007786","The University of Bristol","505","85","2,365","160","265","3,380","4,720","0","0","15","115","4,850","8,230"
"10028216","Brit College","0","0","0","0","0","0","0","0","280","0","0","280","280"
"10023464","Trinity College Bristol","0","0","5","0","0","5","15","0","0","0","35","50","50"
"10000961","Brunel University London","205","5","1,270","145","130","1,750","2,585","0","0","0","190","2,780","4,525"
"10000975","Buckinghamshire New University","5","0","115","45","230","395","1,640","145","0","0","430","2,215","2,610"
"10007787","The University of Buckingham","10","65","170","640","60","945","305","0","0","0","20","325","1,270"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","25","0","285","0","0","305","305"
"10041974","London College of Business Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","15","0","0","15","15","0","0","0","95","110","120"
"10007788","The University of Cambridge","1,115","940","1,860","265","220","4,400","3,275","0","0","0","40","3,315","7,715"
"10032072","The Cambridge Theological Federation","0","0","10","0","10","20","0","0","0","0","60","60","85"
"10003324","The Institute of Cancer Research","35","0","5","0","45","85","0","0","0","0","0","0","85"
"10001143","Canterbury Christ Church University","70","35","250","370","405","1,130","2,880","310","0","195","655","4,040","5,165"
"10007814","Cardiff University","460","15","3,065","0","1,040","4,580","5,255","0","0","0","550","5,805","10,385"
"10007854","Cardiff Metropolitan University","60","0","535","315","245","1,155","2,275","20","55","0","215","2,565","3,720"
"10007141","The University of Central Lancashire","90","10","1,240","30","440","1,810","4,445","195","130","0","1,165","5,935","7,745"
"10007848","University of Chester","30","25","675","300","595","1,630","2,675","160","0","0","795","3,635","5,265"
"10007137","The University of Chichester","15","0","160","145","105","420","1,300","70","20","25","165","1,580","2,000"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","25","25","0","0","0","50","50"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","35","0","0","0","0","35","35"
"10001419","Christie's Education Limited","0","0","60","0","5","60","0","0","0","0","0","0","60"
"10010213","The City College","0","0","0","0","0","0","0","0","50","0","10","60","60"
"10001478","City, University of London","160","5","3,120","0","995","4,280","2,555","25","0","0","335","2,915","7,195"
"10007912","Cliff College","0","0","10","0","0","15","20","0","0","0","5","25","40"
"10013357","The Academy of Contemporary Music","0","0","0","0","0","0","340","0","0","0","45","385","385"
"10001653","Conservatoire for Dance and Drama","0","0","115","0","15","130","270","215","0","0","10","500","630"
"10007761","Courtauld Institute of Art","15","0","190","0","30","235","60","0","0","0","0","60","295"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","20","0","0","0","0","20","20"
"10001726","Coventry University","85","0","3,270","0","445","3,805","6,710","95","115","0","660","7,580","11,385"
"10007822","Cranfield University","185","30","1,715","0","285","2,215","0","0","0","0","0","0","2,215"
"10006427","University for the Creative Arts","5","0","165","0","25","195","1,225","0","0","0","215","1,435","1,635"
"10007842","University of Cumbria","15","0","200","520","305","1,040","1,425","115","0","35","665","2,240","3,280"
"10001883","De Montfort University","95","5","1,045","0","630","1,770","5,250","60","40","0","655","6,005","7,775"
"10007851","University of Derby","25","0","690","300","450","1,465","3,305","295","40","0","530","4,170","5,635"
"10007852","The University of Dundee","140","20","950","0","835","1,945","2,145","0","0","0","220","2,360","4,310"
"10007143","University of Durham","340","55","2,065","275","125","2,855","3,735","0","0","0","290","4,025","6,880"
"10007789","The University of East Anglia","220","5","1,670","270","375","2,535","3,350","45","0","0","545","3,945","6,480"
"10007144","The University of East London","55","20","825","285","350","1,535","2,290","20","0","5","660","2,975","4,510"
"10032282","The Queen's Foundation for Ecumenical Theological Education","5","0","0","0","0","5","15","0","0","0","100","115","120"
"10007823","Edge Hill University","20","0","400","640","640","1,695","3,130","95","0","25","440","3,685","5,380"
"10007772","Edinburgh Napier University","40","10","1,065","0","105","1,220","2,610","0","0","0","340","2,950","4,170"
"10007790","The University of Edinburgh","855","280","4,190","300","770","6,390","4,825","0","0","0","400","5,225","11,620"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","45","0","20","70","70"
"10042570","Escape Studios","0","0","10","0","0","15","75","0","0","0","10","80","95"
"10007791","The University of Essex","190","10","1,390","0","420","2,010","3,025","115","0","0","455","3,590","5,600"
"10002113","East End Computing and Business College Limited","0","0","0","0","0","0","0","0","10","0","0","10","10"
"10008173","University College of Estate Management","0","0","225","0","10","240","145","10","0","0","135","290","530"
"10007792","The University of Exeter","340","40","1,835","400","360","2,970","5,180","0","0","0","665","5,845","8,815"
"10008640","Falmouth University","10","0","125","0","20","155","1,425","10","0","0","45","1,480","1,630"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","15","0","85","0","0","105","105"
"10045476","Met Film School Limited","0","0","85","0","0","85","75","0","0","0","15","90","180"
"10004511","The National Film and Television School","0","0","120","0","0","120","0","0","0","0","0","0","120"
"10038763","ForMission Ltd","0","0","0","0","0","0","40","0","0","0","15","55","55"
"10022087","Futureworks","0","0","0","0","0","0","120","0","0","0","20","140","140"
"10007762","Glasgow Caledonian University","90","5","765","0","380","1,245","3,285","0","80","0","740","4,105","5,350"
"10002681","Glasgow School of Art","0","0","335","0","115","455","360","0","0","0","45","405","860"
"10007794","The University of Glasgow","520","60","3,400","375","730","5,090","3,940","0","0","0","345","4,285","9,375"
"10007145","University of Gloucestershire","20","5","310","110","275","720","1,875","110","0","40","335","2,360","3,080"
"10002718","Goldsmiths College","95","5","1,465","285","30","1,875","1,560","0","0","25","75","1,660","3,535"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","5","5","5"
"10007146","The University of Greenwich","75","15","940","125","395","1,545","4,185","120","75","110","345","4,830","6,375"
"10007937","GSM London","0","0","70","5","5","80","985","0","0","0","290","1,275","1,355"
"10007825","Guildhall School of Music and Drama","0","0","165","0","25","190","160","0","0","0","10","170","365"
"10040812","Harper Adams University","10","0","65","0","105","185","470","120","0","0","45","640","820"
"10007764","Heriot-Watt University","180","5","1,210","0","135","1,530","1,650","0","0","0","470","2,125","3,655"
"10007147","University of Hertfordshire","75","20","1,165","155","695","2,110","4,715","345","0","5","605","5,670","7,780"
"10007765","Heythrop College","10","5","175","0","20","205","20","0","0","0","0","20","230"
"10007148","The University of Huddersfield","170","80","820","190","365","1,625","4,170","0","0","145","450","4,770","6,395"
"10007149","The University of Hull","185","40","600","195","200","1,225","3,325","50","0","0","360","3,735","4,955"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","300","0","0","300","300"
"10003270","Imperial College of Science, Technology and Medicine","855","485","3,430","0","65","4,835","2,605","0","0","0","0","2,605","7,440"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","185","0","50","0","115","355","355"
"10029682","The Islamic College","0","0","0","0","0","0","5","0","0","0","5","10","10"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","0","0","20","0","0","0","65","85","85"
"10007767","Keele University","85","20","450","0","345","900","2,005","0","0","0","415","2,425","3,325"
"10003566","Kensington College of Business","0","0","0","0","0","0","30","0","50","0","5","85","85"
"10007150","The University of Kent","220","50","1,500","0","225","1,995","4,345","25","25","0","235","4,630","6,630"
"10003645","King's College London","665","15","5,335","160","930","7,105","4,690","0","0","0","610","5,300","12,405"
"10008325","KLC School of Design","0","0","0","0","0","0","5","10","0","0","55","70","70"
"10003678","Kingston University","60","10","1,810","160","365","2,410","3,710","360","25","0","820","4,915","7,325"
"10007768","The University of Lancaster","305","20","1,430","0","220","1,975","2,850","0","0","0","140","2,995","4,970"
"10066551","LCCM AU UK Limited","0","0","0","0","0","0","65","0","0","0","25","85","85"
"10003854","Leeds Arts University","0","0","15","0","0","15","460","0","0","0","35","500","515"
