﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007783","The University of Aberdeen","1,010","100","75","135","40","5","40","1,410"
"10007849","Abertay University","105","35","25","45","5","5","0","220"
"10007856","Aberystwyth University","465","60","100","95","25","25","5","770"
"10000163","AECC University College","10","0","25","5","0","0","5","50"
"10000291","Anglia Ruskin University","515","225","70","60","10","10","0","885"
"10007759","Aston University","605","70","55","45","5","5","0","785"
"10007857","Bangor University","560","225","60","100","15","10","5","975"
"10000571","Bath Spa University","230","190","80","80","10","5","65","655"
"10007850","The University of Bath","1,040","60","75","55","5","5","190","1,435"
"10007152","University of Bedfordshire","240","145","80","60","15","5","25","565"
"10005343","Queen's University Belfast","1,385","180","20","200","0","0","0","1,795"
"10007760","Birkbeck College","550","190","20","65","10","0","130","965"
"10007140","Birmingham City University","400","585","350","315","50","70","170","1,940"
"10006840","The University of Birmingham","2,440","680","225","370","75","90","0","3,880"
"10000712","University College Birmingham","15","95","50","50","45","20","0","280"
"10007832","Birmingham Newman University","75","35","20","25","5","0","0","165"
"10007811","Bishop Grosseteste University","45","40","10","5","0","0","0","105"
"10006841","The University of Bolton","115","110","60","55","5","5","0","345"
"10000385","The Arts University Bournemouth","30","155","35","120","25","15","0","380"
"10000824","Bournemouth University","555","200","90","90","20","15","0","970"
"10007785","The University of Bradford","365","130","20","40","10","0","10","575"
"10000886","The University of Brighton","750","475","180","185","25","5","50","1,670"
"10000936","The University College of Osteopathy","5","15","30","25","15","5","5","100"
"10007786","The University of Bristol","2,355","335","115","165","5","10","140","3,120"
"10000961","Brunel University London","665","245","35","75","20","10","40","1,090"
"10000975","Buckinghamshire New University","80","165","35","45","20","5","60","410"
"10007787","The University of Buckingham","65","30","5","35","0","0","25","155"
"10007788","The University of Cambridge","4,270","430","205","300","45","20","835","6,110"
"10003324","The Institute of Cancer Research","360","65","85","125","15","15","15","675"
"10001143","Canterbury Christ Church University","270","225","150","130","10","10","5","800"
"10007814","Cardiff University","2,280","655","155","215","55","70","90","3,520"
"10007854","Cardiff Metropolitan University","240","195","80","150","15","10","5","695"
"10007141","The University of Central Lancashire","480","380","185","210","20","20","210","1,505"
"10007848","University of Chester","330","210","55","15","5","0","0","620"
"10007137","The University of Chichester","155","150","120","85","40","20","0","565"
"10001478","City, University of London","885","555","355","195","50","35","25","2,100"
"10001653","Conservatoire for Dance and Drama","5","35","75","75","50","30","15","285"
"10007761","Courtauld Institute of Art","30","0","10","0","0","0","0","40"
"10001726","Coventry University","1,080","555","435","335","60","50","10","2,530"
"10007822","Cranfield University","440","105","90","45","10","20","5","710"
"10006427","University for the Creative Arts","40","120","95","75","15","25","5","375"
"10007842","University of Cumbria","105","180","90","70","10","10","0","465"
"10001883","De Montfort University","545","350","240","170","35","15","120","1,480"
"10007851","University of Derby","375","410","260","215","95","45","0","1,405"
"10007852","The University of Dundee","870","230","50","200","20","40","5","1,410"
"10007143","University of Durham","1,310","220","25","70","10","15","5","1,650"
"10007789","The University of East Anglia","1,115","455","120","270","15","15","45","2,035"
"10007144","The University of East London","340","250","120","95","15","10","35","860"
"10007823","Edge Hill University","320","365","200","120","15","5","5","1,030"
"10007772","Edinburgh Napier University","390","180","130","120","30","20","25","895"
"10007790","The University of Edinburgh","2,175","600","970","760","150","100","2,240","7,000"
"10007791","The University of Essex","660","365","90","60","15","15","105","1,310"
"10007792","The University of Exeter","1,695","180","130","115","10","25","110","2,260"
"10008640","Falmouth University","60","110","55","55","10","10","0","295"
"10004511","The National Film and Television School","0","5","5","5","0","0","5","25"
"10007762","Glasgow Caledonian University","415","180","60","105","10","10","0","780"
"10002681","Glasgow School of Art","45","65","25","95","5","0","0","235"
"10007794","The University of Glasgow","2,770","100","60","190","25","15","815","3,970"
"10007145","University of Gloucestershire","235","180","115","75","20","5","5","630"
"10002718","Goldsmiths College","485","315","105","85","20","5","90","1,110"
"10007146","The University of Greenwich","530","350","80","105","20","5","185","1,270"
"10007825","Guildhall School of Music and Drama","40","150","205","200","60","40","0","695"
