﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,190","350","1,545"
"10007849","Abertay University","200","10","210"
"10007856","Aberystwyth University","585","110","695"
"10067853","ACM Guildford Limited","110","0","110"
"10000163","AECC University College","55","0","55"
"10000291","Anglia Ruskin University","830","0","830"
"10005451","Arden University","85","0","85"
"10007759","Aston University","755","175","930"
"10038772","British Academy of Jewellery Limited","15","0","15"
"10007857","Bangor University","815","180","995"
"10000571","Bath Spa University","610","0","610"
"10007850","The University of Bath","1,265","285","1,550"
"10007152","University of Bedfordshire","530","0","530"
"10005343","Queen's University Belfast","1,225","790","2,020"
"10037544","BIMM University","645","0","645"
"10007760","Birkbeck College","975","100","1,075"
"10007140","Birmingham City University","1,840","145","1,985"
"10006840","The University of Birmingham","3,690","190","3,880"
"10000712","University College Birmingham","265","0","265"
"10007832","Birmingham Newman University","130","0","130"
"10007811","Bishop Grosseteste University","120","0","120"
"10004061","Bloomsbury Institute","5","0","5"
"10006841","The University of Bolton","410","10","425"
"10000385","The Arts University Bournemouth","370","0","370"
"10000824","Bournemouth University","905","20","920"
"10007785","The University of Bradford","500","40","540"
"10000886","The University of Brighton","1,355","65","1,420"
"10000936","The University College of Osteopathy","75","0","80"
"10007786","The University of Bristol","1,835","1,615","3,450"
"10000961","Brunel University London","1,110","50","1,160"
"10000975","Buckinghamshire New University","425","20","445"
"10007788","The University of Cambridge","1,560","4,600","6,160"
"10003324","The Institute of Cancer Research","115","580","695"
"10001143","Canterbury Christ Church University","685","55","740"
"10007814","Cardiff University","2,220","1,160","3,380"
"10007854","Cardiff Metropolitan University","730","15","740"
"10007141","The University of Central Lancashire","1,540","55","1,595"
"10024024","Central Film School London","5","0","5"
"10007848","University of Chester","655","0","655"
"10007137","The University of Chichester","465","15","475"
"10001386","Chicken Shed Theatre Company","25","0","25"
"10001478","City, University of London","2,460","55","2,515"
"10007912","Cliff College","10","0","10"
"10066502","The College of Health Ltd","0","0","0"
"10001653","Conservatoire for Dance and Drama","160","0","160"
"10007761","Courtauld Institute of Art","70","5","70"
"10034324","Court Theatre Training Company Ltd","10","0","10"
"10001726","Coventry University","2,835","0","2,835"
"10007822","Cranfield University","695","0","695"
"10006427","University for the Creative Arts","400","0","400"
"10007842","University of Cumbria","465","0","465"
