﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","645","765","0","1,410"
"10007849","Abertay University","85","130","0","220"
"10007856","Aberystwyth University","365","410","0","770"
"10000163","AECC University College","20","25","0","50"
"10000291","Anglia Ruskin University","490","395","0","885"
"10007759","Aston University","305","480","0","785"
"10007857","Bangor University","515","460","0","975"
"10000571","Bath Spa University","340","315","0","655"
"10007850","The University of Bath","520","910","0","1,435"
"10007152","University of Bedfordshire","325","235","0","565"
"10005343","Queen's University Belfast","760","1,035","0","1,795"
"10007760","Birkbeck College","465","500","0","965"
"10007140","Birmingham City University","960","975","0","1,940"
"10006840","The University of Birmingham","1,760","2,120","0","3,880"
"10000712","University College Birmingham","175","105","0","280"
"10007832","Birmingham Newman University","80","85","0","165"
"10007811","Bishop Grosseteste University","70","35","0","105"
"10006841","The University of Bolton","150","195","0","345"
"10000385","The Arts University Bournemouth","185","195","0","380"
"10000824","Bournemouth University","465","505","0","970"
"10007785","The University of Bradford","260","315","0","575"
"10000886","The University of Brighton","870","800","0","1,670"
"10000936","The University College of Osteopathy","40","60","0","100"
"10007786","The University of Bristol","1,375","1,745","0","3,120"
"10000961","Brunel University London","400","685","0","1,090"
"10000975","Buckinghamshire New University","215","200","0","410"
"10007787","The University of Buckingham","65","90","0","155"
"10007788","The University of Cambridge","2,530","3,580","0","6,110"
"10003324","The Institute of Cancer Research","390","290","0","675"
"10001143","Canterbury Christ Church University","475","325","0","800"
"10007814","Cardiff University","1,565","1,955","0","3,520"
"10007854","Cardiff Metropolitan University","375","320","0","695"
"10007141","The University of Central Lancashire","740","765","0","1,505"
"10007848","University of Chester","335","280","5","620"
"10007137","The University of Chichester","300","270","0","565"
"10001478","City, University of London","920","1,180","0","2,100"
"10001653","Conservatoire for Dance and Drama","160","125","0","285"
"10007761","Courtauld Institute of Art","30","15","0","40"
"10001726","Coventry University","1,155","1,375","0","2,530"
"10007822","Cranfield University","170","540","0","710"
"10006427","University for the Creative Arts","190","190","0","375"
"10007842","University of Cumbria","270","195","0","465"
"10001883","De Montfort University","705","775","0","1,480"
"10007851","University of Derby","700","705","0","1,405"
"10007852","The University of Dundee","660","750","0","1,410"
"10007143","University of Durham","605","1,045","0","1,650"
"10007789","The University of East Anglia","990","1,045","0","2,035"
"10007144","The University of East London","450","410","0","860"
"10007823","Edge Hill University","625","405","0","1,030"
"10007772","Edinburgh Napier University","420","470","0","895"
"10007790","The University of Edinburgh","3,150","3,850","5","7,000"
"10007791","The University of Essex","590","715","5","1,310"
"10007792","The University of Exeter","1,000","1,260","0","2,260"
"10008640","Falmouth University","125","175","0","295"
"10004511","The National Film and Television School","5","20","0","25"
"10007762","Glasgow Caledonian University","435","340","0","780"
"10002681","Glasgow School of Art","115","120","0","235"
"10007794","The University of Glasgow","1,805","2,165","0","3,970"
"10007145","University of Gloucestershire","290","340","0","630"
"10002718","Goldsmiths College","585","520","0","1,110"
"10007146","The University of Greenwich","625","645","0","1,270"
"10007825","Guildhall School of Music and Drama","275","420","0","695"
"10040812","Harper Adams University","80","95","0","180"
"10007764","Heriot-Watt University","255","585","0","840"
"10007147","University of Hertfordshire","1,035","895","0","1,925"
"10007765","Heythrop College","15","35","0","45"
"10007148","The University of Huddersfield","400","520","0","920"
"10007149","The University of Hull","445","580","0","1,025"
"10003270","Imperial College of Science, Technology and Medicine","1,425","2,850","5","4,275"
"10007767","Keele University","430","400","0","830"
"10007150","The University of Kent","650","825","0","1,470"
"10003645","King's College London","2,505","2,465","0","4,970"
"10003678","Kingston University","505","510","0","1,015"
"10007768","The University of Lancaster","890","1,215","0","2,105"
"10003854","Leeds Arts University","90","70","0","160"
"10003861","Leeds Beckett University","680","690","0","1,375"
"10007795","The University of Leeds","1,495","2,010","0","3,500"
"10003863","Leeds Trinity University","95","80","0","175"
"10007796","The University of Leicester","735","940","0","1,675"
"10007151","The University of Lincoln","550","705","0","1,260"
"10003956","Liverpool Hope University","170","150","0","320"
"10003957","Liverpool John Moores University","660","885","0","1,545"
"10003945","The Liverpool Institute for Performing Arts","20","55","0","80"
"10006842","The University of Liverpool","1,270","1,665","0","2,935"
"10003958","Liverpool School of Tropical Medicine","110","105","0","215"
"10007162","University of the Arts, London","1,210","1,020","0","2,230"
"10007769","London Business School","30","80","0","115"
"10007797","University of London (Institutes and activities)","45","50","0","95"
"10004048","London Metropolitan University","200","235","0","435"
"10004078","London South Bank University","580","540","0","1,115"
"10004063","London School of Economics and Political Science","715","1,010","0","1,725"
"10007771","London School of Hygiene and Tropical Medicine","450","305","0","755"
"10004113","Loughborough University","525","1,085","0","1,610"
"10004180","The Manchester Metropolitan University","1,345","1,215","0","2,560"
"10007798","The University of Manchester","2,140","2,980","0","5,120"
"10004351","Middlesex University","530","525","0","1,055"
"10007799","Newcastle University","1,290","1,690","0","2,980"
"10007138","The University of Northampton","435","390","0","825"
"10001282","University of Northumbria at Newcastle","660","760","0","1,420"
"10004775","Norwich University of the Arts","90","115","0","205"
"10007154","University of Nottingham","1,390","2,000","0","3,395"
