﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","775","845","0","1,620"
"10007849","Abertay University","100","125","0","225"
"10007856","Aberystwyth University","345","355","0","700"
"10067853","ACM Guildford Limited","25","85","0","110"
"10000163","AECC University College","30","25","0","60"
"10000291","Anglia Ruskin University","540","380","0","920"
"10005451","Arden University","170","165","0","335"
"10007759","Aston University","390","555","0","950"
"10038772","British Academy of Jewellery Limited","10","10","0","20"
"10007857","Bangor University","555","450","5","1,010"
"10000571","Bath Spa University","345","280","0","625"
"10007850","The University of Bath","585","940","0","1,525"
"10007152","University of Bedfordshire","330","210","0","540"
"10005343","Queen's University Belfast","930","1,115","0","2,045"
"10037544","BIMM University","310","505","5","820"
"10007760","Birkbeck College","535","480","30","1,040"
"10007140","Birmingham City University","1,035","985","5","2,025"
"10006840","The University of Birmingham","1,895","2,205","0","4,100"
"10000712","University College Birmingham","145","80","0","225"
"10007832","Birmingham Newman University","80","60","0","140"
"10007811","Bishop Grosseteste University","85","50","0","135"
"10004061","Bloomsbury Institute","15","20","0","35"
"10006841","The University of Bolton","250","215","0","465"
"10000385","The Arts University Bournemouth","205","190","0","395"
"10000824","Bournemouth University","465","465","5","930"
"10007785","The University of Bradford","265","300","0","565"
"10000886","The University of Brighton","860","645","5","1,510"
"10000936","The University College of Osteopathy","25","35","0","60"
"10007786","The University of Bristol","1,685","1,910","0","3,595"
"10000961","Brunel University London","570","750","0","1,315"
"10000975","Buckinghamshire New University","275","240","0","515"
"10007788","The University of Cambridge","2,595","3,530","5","6,130"
"10003324","The Institute of Cancer Research","385","295","0","680"
