﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10007783","The University of Aberdeen","10","25","25","5","10","5","15","5","10","30","10","0","150","11,780"
"10007849","Abertay University","5","5","5","0","5","0","5","0","5","5","10","0","45","4,420"
"10007856","Aberystwyth University","0","10","10","5","5","0","5","5","5","10","10","0","60","7,110"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","5","930"
"10000163","AECC University College","0","5","0","0","0","0","0","0","5","0","0","0","15","1,135"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10030497","Anglo Skills College","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10000291","Anglia Ruskin University","5","10","15","10","0","5","5","10","5","10","5","0","85","28,050"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","820"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","10","28,665"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","5","295"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","675"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","120"
"10007759","Aston University","0","0","5","0","0","5","0","0","0","0","5","0","20","14,185"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","1,255"
"10007857","Bangor University","0","15","10","5","5","5","5","5","5","10","5","0","65","7,865"
"10000571","Bath Spa University","5","5","5","0","0","5","0","5","5","5","5","0","45","23,495"
"10007850","The University of Bath","5","15","25","10","5","5","20","5","0","15","5","0","120","14,840"
"10007152","University of Bedfordshire","0","0","5","0","0","0","5","5","0","0","5","0","20","7,365"
"10005343","Queen's University Belfast","1,435","2,120","3,210","970","1,085","955","1,710","1,340","1,280","1,400","1,870","10","17,385","19,290"
"10037544","BIMM University","5","0","5","0","5","0","5","5","0","5","5","0","40","6,570"
"10007810","Birmingham Christian College","0","0","0","0","0","0","0","0","0","0","0","0","0","25"
"10007760","Birkbeck College","0","0","0","0","0","0","0","0","0","5","0","0","10","7,160"
"10007140","Birmingham City University","10","10","20","0","5","0","5","5","0","10","0","0","70","26,265"
"10006840","The University of Birmingham","10","10","25","5","10","5","5","5","10","10","5","0","100","26,780"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","0","0","0","10","3,930"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","5","4,070"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","5","2,330"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","215"
"10006841","The University of Bolton","5","5","5","0","5","0","0","0","5","5","5","0","35","9,880"
"10000385","The Arts University Bournemouth","5","5","5","0","0","5","0","0","0","5","5","0","25","3,390"
"10000824","Bournemouth University","0","10","5","5","5","0","0","5","5","5","5","0","45","14,945"
"10031982","BPP University","0","0","10","5","5","0","5","0","0","0","0","0","40","10,040"
"10007785","The University of Bradford","0","5","0","0","0","0","0","0","0","0","0","0","10","8,290"
"10000886","The University of Brighton","10","5","10","10","10","5","10","10","0","15","10","0","95","14,145"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","505"
"10007786","The University of Bristol","5","25","40","5","10","10","15","5","5","15","15","0","155","21,755"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","565"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","120"
"10000961","Brunel University London","0","0","5","0","0","0","0","0","0","0","0","0","15","8,960"
"10000975","Buckinghamshire New University","0","5","0","0","0","0","0","5","0","5","5","0","25","18,570"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0","0","0","0","5","2,065"
"10042737","UK Business College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","75"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","220"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
