﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10007783","The University of Aberdeen","2,565","505","470","0","3,540"
"10007849","Abertay University","380","45","45","5","475"
"10007856","Aberystwyth University","1,555","135","95","0","1,780"
"10067853","ACM Guildford Limited*","","","","",""
"10000163","AECC University College*","","","","",""
"10032036","Amity Global Education*","","","","",""
"10000291","Anglia Ruskin University","2,150","205","240","0","2,600"
"10005451","Arden University*","","","","",""
"10007759","Aston University","1,590","230","325","5","2,145"
"10038772","British Academy of Jewellery Limited*","","","","",""
"10007857","Bangor University","1,670","125","125","10","1,930"
"10000571","Bath Spa University","1,185","65","80","5","1,335"
"10007850","The University of Bath","2,930","515","430","0","3,870"
"10007152","University of Bedfordshire","945","120","130","0","1,200"
"10005343","Queen's University Belfast","2,750","1,430","495","30","4,710"
"10037544","BIMM University*","","","","",""
"10007760","Birkbeck College","1,000","300","245","10","1,550"
"10007140","Birmingham City University*","","","","",""
"10006840","The University of Birmingham*","","","","",""
"10000712","University College Birmingham","585","55","50","5","695"
"10007832","Birmingham Newman University","305","15","10","0","330"
"10007811","Bishop Grosseteste University","310","5","5","0","315"
"10004061","Bloomsbury Institute*","","","","",""
"10006841","The University of Bolton*","","","","",""
"10000385","The Arts University Bournemouth","560","45","35","0","645"
"10000824","Bournemouth University","1,560","175","205","0","1,945"
"10007785","The University of Bradford","1,440","65","165","0","1,680"
"10000886","The University of Brighton","2,410","220","175","0","2,810"
"10000936","The University College of Osteopathy*","","","","",""
"10007786","The University of Bristol","7,095","1,020","990","5","9,105"
"10000961","Brunel University London","1,965","375","475","10","2,820"
"10000975","Buckinghamshire New University*","","","","",""
"10007788","The University of Cambridge","8,410","2,285","2,400","100","13,195"
"10003324","The Institute of Cancer Research","755","235","175","0","1,165"
"10001143","Canterbury Christ Church University","1,720","130","110","5","1,965"
"10007814","Cardiff University","6,185","685","870","30","7,760"
"10086359","Caspian School of Academics*","","","","",""
"10007854","Cardiff Metropolitan University","1,640","100","150","5","1,895"
"10001264","Central School of Ballet*","","","","",""
"10007141","The University of Central Lancashire","2,845","160","235","75","3,320"
"10024024","Central Film School London*","","","","",""
"10007848","University of Chester","1,575","55","65","0","1,695"
"10007137","The University of Chichester*","","","","",""
"10001386","Chicken Shed Theatre Company*","","","","",""
"10001478","City, University of London","2,335","505","430","5","3,275"
"10007912","Cliff College*","","","","",""
"10066502","The College of Health Ltd*","","","","",""
"10007761","Courtauld Institute of Art*","","","","",""
"10034324","Court Theatre Training Company Ltd*","","","","",""
"10001726","Coventry University","3,750","385","665","0","4,800"
"10007822","Cranfield University","1,305","225","320","0","1,850"
"10006427","University for the Creative Arts*","","","","",""
"10007842","University of Cumbria","1,050","30","40","0","1,120"
"10015688","David Game College Ltd*","","","","",""
"10001883","De Montfort University","2,420","180","425","20","3,040"
"10007851","University of Derby","2,180","120","180","0","2,480"
"10007852","The University of Dundee","2,620","325","360","15","3,325"
"10007143","University of Durham","4,500","615","880","5","6,000"
"10007789","The University of East Anglia","3,390","385","380","0","4,150"
"10007144","The University of East London","1,580","225","345","55","2,205"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","","","","",""
"10007823","Edge Hill University*","","","","",""
