﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","219,471,000","107,977,000","78,696,000","21,315,000","207,988,000","226,949,000"
"10007849","Abertay University","33,558,000","27,247,000","2,608,000","2,624,000","32,479,000","33,331,000"
"10007856","Aberystwyth University","118,049,000","62,559,000","27,576,000","14,579,000","104,714,000","125,563,000"
"10000163","AECC University College","9,420,000","7,954,000","63,000","1,210,000","9,227,000","8,914,000"
"10000291","Anglia Ruskin University","207,937,000","185,068,000","7,497,000","7,534,000","200,099,000","205,860,000"
"10007759","Aston University","156,787,000","117,171,000","22,713,000","8,567,000","148,451,000","147,260,000"
"10007857","Bangor University","164,877,000","90,150,000","27,217,000","32,393,000","149,760,000","145,353,000"
"10000571","Bath Spa University","83,954,000","68,576,000","2,710,000","3,539,000","74,825,000","83,015,000"
"10007850","The University of Bath","288,142,000","178,381,000","54,654,000","22,947,000","255,982,000","282,682,000"
"10007152","University of Bedfordshire","107,726,000","93,687,000","5,627,000","6,362,000","105,676,000","106,920,000"
"10005343","Queen's University Belfast","358,197,000","174,749,000","125,549,000","45,373,000","345,671,000","338,239,000"
"10007760","Birkbeck College","108,984,000","75,395,000","22,241,000","10,030,000","107,666,000","106,155,000"
"10007140","Birmingham City University","230,989,000","203,498,000","4,988,000","13,163,000","221,649,000","216,801,000"
"10006840","The University of Birmingham","680,800,000","367,694,000","174,408,000","92,434,000","634,536,000","670,454,000"
"10000712","University College Birmingham","52,833,000","45,057,000","0","2,124,000","47,181,000","46,931,000"
"10007832","Birmingham Newman University","24,151,000","21,010,000","701,000","1,145,000","22,856,000","23,613,000"
"10007811","Bishop Grosseteste University","24,745,000","19,785,000","183,000","2,316,000","22,284,000","24,756,000"
"10006841","The University of Bolton","53,127,000","48,266,000","850,000","2,496,000","51,612,000","54,179,000"
"10000385","The Arts University Bournemouth","43,147,000","35,622,000","178,000","1,896,000","37,696,000","41,753,000"
"10000824","Bournemouth University","159,491,000","135,975,000","8,136,000","5,769,000","149,880,000","160,340,000"
"10007785","The University of Bradford","110,270,000","88,262,000","11,316,000","8,441,000","108,019,000","122,406,000"
"10000886","The University of Brighton","215,288,000","168,384,000","13,122,000","14,601,000","196,107,000","213,815,000"
"10000936","The University College of Osteopathy","5,467,000","4,724,000","0","743,000","5,467,000","5,080,000"
"10007786","The University of Bristol","657,853,000","307,279,000","215,490,000","92,189,000","614,958,000","650,822,000"
"10000961","Brunel University London","220,732,000","139,366,000","34,154,000","9,468,000","182,988,000","215,913,000"
"10000975","Buckinghamshire New University","57,335,000","47,355,000","986,000","2,193,000","50,534,000","61,248,000"
"10007788","The University of Cambridge","1,964,756,000","347,025,000","646,604,000","959,287,000","1,952,916,000","1,911,107,000"
"10003324","The Institute of Cancer Research","140,074,000","15,821,000","80,755,000","43,498,000","140,074,000","114,314,000"
"10001143","Canterbury Christ Church University","130,874,000","107,656,000","4,275,000","7,094,000","119,025,000","131,994,000"
"10007814","Cardiff University","517,689,000","281,000,000","139,873,000","69,307,000","490,180,000","540,488,000"
"10007854","Cardiff Metropolitan University","103,695,000","81,044,000","3,129,000","12,996,000","97,169,000","100,293,000"
"10007141","The University of Central Lancashire","226,888,000","182,533,000","11,078,000","24,144,000","217,755,000","228,264,000"
"10007848","University of Chester","128,436,000","107,284,000","3,889,000","7,431,000","118,604,000","118,312,000"
"10007137","The University of Chichester","56,429,000","43,992,000","2,012,000","3,516,000","49,520,000","59,009,000"
"10001478","City, University of London","241,235,000","202,582,000","22,261,000","13,805,000","238,648,000","228,763,000"
"10001653","Conservatoire for Dance and Drama","21,418,000","21,414,000","0","4,000","21,418,000","21,435,000"
"10007761","Courtauld Institute of Art","23,538,000","8,600,000","3,146,000","11,092,000","22,838,000","19,191,000"
"10001726","Coventry University","368,726,000","321,972,000","13,353,000","17,769,000","353,094,000","350,628,000"
"10007822","Cranfield University","168,737,000","79,938,000","46,859,000","29,549,000","156,346,000","179,252,000"
"10006427","University for the Creative Arts","62,415,000","52,719,000","455,000","3,164,000","56,338,000","62,888,000"
"10007842","University of Cumbria","59,133,000","50,735,000","806,000","4,558,000","56,099,000","60,927,000"
"10001883","De Montfort University","224,842,000","206,676,000","8,096,000","5,526,000","220,298,000","213,944,000"
"10007851","University of Derby","178,344,000","152,122,000","3,288,000","8,862,000","164,272,000","179,413,000"
"10007852","The University of Dundee","246,634,000","113,188,000","96,167,000","28,377,000","237,732,000","255,685,000"
"10007143","University of Durham","358,406,000","206,878,000","77,807,000","31,187,000","315,872,000","336,151,000"
"10007789","The University of East Anglia","327,043,000","170,127,000","61,798,000","67,254,000","299,179,000","277,936,000"
"10007144","The University of East London","136,083,000","113,770,000","4,208,000","7,619,000","125,597,000","136,632,000"
"10007823","Edge Hill University","126,231,000","108,298,000","2,200,000","4,508,000","115,006,000","112,222,000"
"10007772","Edinburgh Napier University","118,937,000","96,359,000","6,508,000","5,583,000","108,450,000","123,659,000"
"10007790","The University of Edinburgh","984,437,000","413,308,000","365,063,000","134,463,000","912,834,000","956,988,000"
"10007791","The University of Essex","221,913,000","136,761,000","38,810,000","16,120,000","191,691,000","215,847,000"
"10007792","The University of Exeter","415,489,000","254,264,000","99,669,000","38,176,000","392,109,000","414,251,000"
"10008640","Falmouth University","61,548,000","55,457,000","1,303,000","4,051,000","60,811,000","55,063,000"
"10004511","The National Film and Television School","15,233,000","11,662,000","0","3,571,000","15,233,000","14,794,000"
"10007762","Glasgow Caledonian University","119,821,000","99,251,000","9,437,000","4,842,000","113,530,000","127,376,000"
"10002681","Glasgow School of Art","40,580,000","27,869,000","4,066,000","7,085,000","39,020,000","66,992,000"
"10007794","The University of Glasgow","630,638,000","307,695,000","235,506,000","58,240,000","601,441,000","613,239,000"
"10007145","University of Gloucestershire","84,967,000","70,328,000","2,105,000","5,744,000","78,177,000","82,155,000"
"10002718","Goldsmiths College","125,937,000","98,429,000","9,969,000","8,313,000","116,711,000","126,691,000"
"10007146","The University of Greenwich","202,710,000","155,870,000","17,312,000","10,728,000","183,910,000","199,402,000"
"10007825","Guildhall School of Music and Drama","32,987,000","20,606,000","746,000","10,039,000","31,391,000","31,657,000"
