﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","13,858,615.326","150,033.874","16.132","27.168","31.004",""
"10007849","Abertay University","1,508,225.448","9,975.950","","1.859","2.005","35.000"
"10007856","Aberystwyth University","7,298,336.393","251,226.900","0.000","49.408","50.497","680.500"
"10000291","Anglia Ruskin University","4,567,742.849","73,792.290","8.773","14.512","14.832","417.777"
"10007759","Aston University","5,393,897.643","53,997.000","32.028","9.557","10.853","456.242"
"10007857","Bangor University","6,401,410.053","106,472.510","13.760","22.987","21.405","724.100"
"10000571","Bath Spa University","2,156,639.839","51,856.608","","9.628","10.483","388.676"
"10007850","The University of Bath","12,713,806.800","243,826.543","103.000","47.953","49.009","1,681.799"
"10007152","University of Bedfordshire","2,522,590.673","14,605.000","4.492","2.585","3.130","225.650"
"10005343","Queen's University Belfast","20,154,771.315","273,192.000","65.317","40.414","71.050","1,969.822"
"10007760","Birkbeck College","2,211,921.065","9,054.238","2.766","4.579","1.820","126.017"
"10007140","Birmingham City University","6,919,389.917","53,985.000","10.100","10.058","10.851","658.945"
"10006840","The University of Birmingham","40,149,832.324","584,353.000","49.000","102.641","117.455","6,276.879"
"10000712","University College Birmingham","2,945,949.921","18,105.700","12.628","3.917","3.639","593.408"
"10007811","Bishop Grosseteste University","750,903.018","21,901.200","532.790","4.080","4.411","74.333"
"10000385","The Arts University Bournemouth","1,067,061.624","17,292.900","4.942","3.061","3.476","232.199"
