﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"10007783","The University of Aberdeen","15","20","35","15","10","15","15","5","10","30","15","0","185","9,590"
"10019746","ABI College Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"10007849","Abertay University","5","0","10","5","5","0","0","0","0","5","5","0","30","3,420"
"10007856","Aberystwyth University","5","5","10","10","10","10","5","5","15","10","15","0","95","6,800"
"10000080","Access to Music Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","245"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","0","0","0","260"
"10000291","Anglia Ruskin University","5","15","10","10","5","5","10","5","5","10","5","0","85","20,415"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10005451","Arden University","0","0","5","0","0","0","0","0","0","0","0","0","5","3,690"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","5","260"
"10007759","Aston University","0","5","5","5","0","0","5","0","5","0","0","0","30","12,185"
"10007857","Bangor University","5","15","15","5","5","5","10","10","10","10","15","0","110","8,665"
"10000571","Bath Spa University","5","10","5","10","5","0","5","0","5","5","5","0","60","7,425"
"10007850","The University of Bath","10","15","30","5","10","10","25","5","10","25","15","0","155","12,325"
"10007152","University of Bedfordshire","5","5","5","0","5","0","0","0","5","5","10","0","45","10,350"
"10005343","Queen's University Belfast","1,355","2,155","4,175","1,025","1,190","995","1,960","1,440","1,245","1,685","2,060","30","19,315","20,880"
"10037544","BIMM University","0","5","5","0","5","5","0","0","5","0","5","0","35","4,515"
"10007760","Birkbeck College","0","0","5","0","0","0","0","0","0","0","0","0","10","10,580"
"10007140","Birmingham City University","5","10","10","5","5","5","5","5","5","5","10","0","80","21,650"
"10006840","The University of Birmingham","10","5","15","10","5","5","10","5","5","15","5","0","90","26,705"
"10000712","University College Birmingham","0","0","0","0","5","0","0","0","0","0","0","0","10","3,420"
"10007832","Birmingham Newman University","0","0","5","0","0","0","0","5","0","0","0","0","10","2,740"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"10007811","Bishop Grosseteste University","0","0","0","0","5","0","0","0","0","0","0","0","10","2,240"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","1,560"
"10006841","The University of Bolton","5","0","10","0","0","0","5","0","0","0","0","0","30","6,025"
"10000385","The Arts University Bournemouth","0","0","5","5","0","5","0","5","0","0","5","0","25","2,965"
"10000824","Bournemouth University","5","5","5","5","5","0","5","0","5","5","10","0","50","16,385"
"10031982","BPP University","0","0","0","0","5","5","0","0","5","0","5","0","25","6,700"
"10007785","The University of Bradford","5","0","5","0","5","0","0","0","0","5","0","0","30","8,610"
"10000886","The University of Brighton","5","10","15","5","15","5","10","10","15","15","5","0","110","18,800"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","440"
"10007786","The University of Bristol","10","15","45","25","10","10","20","5","15","10","15","0","180","18,980"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","560"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","170"
"10000961","Brunel University London","0","0","0","5","0","0","5","0","0","5","0","0","20","10,320"
"10000975","Buckinghamshire New University","5","10","10","10","5","5","5","0","5","10","10","0","75","8,305"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0","0","0","0","0","1,950"
"10022021","UK College of Business and Computing","0","0","0","0","0","0","0","0","0","0","0","0","0","750"
"10041974","London College of Business Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"10007788","The University of Cambridge","15","20","35","5","15","10","30","10","20","20","10","0","195","13,460"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","220"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","255"
"10001143","Canterbury Christ Church University","0","10","10","0","0","5","5","0","5","5","5","0","45","13,640"
"10007814","Cardiff University","10","10","25","15","25","15","20","10","15","25","20","0","190","23,960"
"10007854","Cardiff Metropolitan University","5","5","10","5","10","0","5","5","5","5","5","0","55","9,120"
"10007141","The University of Central Lancashire","15","20","35","15","20","15","10","15","10","15","20","0","185","20,725"
"10007848","University of Chester","5","20","15","15","15","10","15","5","10","10","20","0","145","14,505"
"10007137","The University of Chichester","0","0","0","0","0","0","0","0","0","0","0","0","10","5,345"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","125"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10026921","Christ the Redeemer College","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0","0","380"
"10001478","City, University of London","0","5","5","5","5","0","5","0","0","0","5","0","30","12,405"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","135"
"10013357","The Academy of Contemporary Music","0","0","0","0","0","0","0","0","0","0","0","0","5","995"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","930"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","330"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
