﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10007783","The University of Aberdeen","720","790","0","1,510"
"10007849","Abertay University","90","125","0","215"
"10007856","Aberystwyth University","340","365","0","710"
"10067853","ACM Guildford Limited","5","25","0","30"
"10000163","AECC University College","25","25","0","50"
"10000291","Anglia Ruskin University","470","365","0","835"
"10005451","Arden University","25","30","0","55"
"10007759","Aston University","365","545","0","905"
"10007857","Bangor University","545","455","5","1,010"
"10000571","Bath Spa University","305","265","0","575"
"10007850","The University of Bath","575","940","0","1,510"
"10007152","University of Bedfordshire","305","200","0","505"
"10005343","Queen's University Belfast","900","1,155","0","2,055"
"10037544","BIMM University","115","325","0","435"
"10007760","Birkbeck College","545","500","60","1,105"
"10007140","Birmingham City University","1,010","970","0","1,985"
"10006840","The University of Birmingham","1,805","2,340","0","4,145"
"10000712","University College Birmingham","190","105","0","295"
"10007832","Birmingham Newman University","75","65","0","140"
"10007811","Bishop Grosseteste University","75","35","0","115"
"10006841","The University of Bolton","195","210","0","405"
"10000385","The Arts University Bournemouth","200","190","0","390"
"10000824","Bournemouth University","450","450","5","900"
"10007785","The University of Bradford","230","290","0","525"
"10000886","The University of Brighton","880","705","0","1,580"
"10000936","The University College of Osteopathy","40","60","0","100"
"10007786","The University of Bristol","1,525","1,860","0","3,385"
"10000961","Brunel University London","495","720","0","1,215"
"10000975","Buckinghamshire New University","220","190","0","410"
"10007787","The University of Buckingham","80","95","0","175"
"10007788","The University of Cambridge","2,630","3,535","0","6,170"
"10003324","The Institute of Cancer Research","390","295","0","690"
"10001143","Canterbury Christ Church University","450","290","0","740"
"10007814","Cardiff University","1,570","1,780","0","3,350"
"10007854","Cardiff Metropolitan University","385","325","0","715"
"10007141","The University of Central Lancashire","895","800","0","1,695"
"10007848","University of Chester","360","290","5","650"
"10007137","The University of Chichester","240","230","0","470"
"10001386","Chicken Shed Theatre Company","15","15","0","25"
"10001478","City, University of London","1,110","1,260","5","2,375"
"10007912","Cliff College","0","5","0","10"
"10001653","Conservatoire for Dance and Drama","115","90","0","200"
"10007761","Courtauld Institute of Art","35","20","0","55"
"10034324","Court Theatre Training Company Ltd","5","5","0","10"
"10001726","Coventry University","1,315","1,490","5","2,810"
"10007822","Cranfield University","145","525","0","675"
"10006427","University for the Creative Arts","185","195","0","380"
"10007842","University of Cumbria","265","200","0","465"
"10001883","De Montfort University","830","815","0","1,650"
"10007851","University of Derby","755","720","0","1,480"
"10007852","The University of Dundee","690","745","0","1,435"
"10007143","University of Durham","730","1,100","0","1,830"
"10007789","The University of East Anglia","1,045","1,070","0","2,115"
"10007144","The University of East London","450","410","0","860"
"10032282","The Queen's Foundation for Ecumenical Theological Education","10","5","0","15"
"10007823","Edge Hill University","610","380","0","990"
"10007772","Edinburgh Napier University","385","430","0","815"
"10007790","The University of Edinburgh","3,365","4,125","0","7,490"
"10042570","Escape Studios","10","20","0","35"
"10007791","The University of Essex","675","775","0","1,450"
"10008173","University College of Estate Management","50","55","0","105"
"10007792","The University of Exeter","1,475","1,670","0","3,145"
"10008640","Falmouth University","140","185","0","325"
"10004511","The National Film and Television School","35","30","0","65"
"10022087","Futureworks","0","20","0","25"
"10007762","Glasgow Caledonian University","430","340","0","765"
"10002681","Glasgow School of Art","105","110","0","215"
"10007794","The University of Glasgow","2,185","2,490","0","4,680"
"10007145","University of Gloucestershire","285","315","0","600"
"10002718","Goldsmiths College","635","545","0","1,180"
"10007146","The University of Greenwich","440","455","0","895"
"10007825","Guildhall School of Music and Drama","320","440","0","755"
"10040812","Harper Adams University","110","100","0","205"
"10080811","Hartpury University","60","30","0","90"
"10007764","Heriot-Watt University","270","575","0","845"
"10007147","University of Hertfordshire","1,055","915","0","1,970"
"10007148","The University of Huddersfield","425","515","5","945"
"10007149","The University of Hull","460","545","0","1,005"
"10003270","Imperial College of Science, Technology and Medicine","1,530","2,905","5","4,435"
"10035638","Institute of Contemporary Music Performance","5","15","0","15"
"10007767","Keele University","410","370","0","785"
"10007150","The University of Kent","750","855","5","1,610"
"10003645","King's College London","2,750","2,535","195","5,485"
"10003678","Kingston University","485","490","0","980"
"10003758","LAMDA Limited","15","20","0","35"
"10007768","The University of Lancaster","900","1,275","0","2,175"
"10003854","Leeds Arts University","95","80","0","175"
"10003861","Leeds Beckett University","620","645","0","1,265"
"10034449","Leeds Conservatoire","65","150","0","210"
"10007795","The University of Leeds","1,650","2,165","0","3,815"
"10003863","Leeds Trinity University","80","70","0","150"
"10007796","The University of Leicester","750","945","5","1,695"
"10007151","The University of Lincoln","605","725","0","1,330"
"10003956","Liverpool Hope University","155","130","0","285"
"10003957","Liverpool John Moores University","690","875","0","1,570"
"10003945","The Liverpool Institute for Performing Arts","25","60","0","85"
"10006842","The University of Liverpool","1,385","1,775","0","3,155"
"10003958","Liverpool School of Tropical Medicine","125","110","0","235"
"10007162","University of the Arts, London","1,310","1,030","0","2,335"
"10007769","London Business School","40","85","0","120"
"10007797","University of London (Institutes and activities)","60","50","0","105"
"10004036","London Film School Limited","15","20","0","35"
"10004048","London Metropolitan University","210","235","0","445"
"10004078","London South Bank University","595","570","0","1,170"
"10004063","London School of Economics and Political Science","780","1,000","0","1,780"
"10007771","London School of Hygiene and Tropical Medicine","585","415","0","1,000"
"10022285","London School of Management Education","5","10","0","15"
"10004075","London School of Theology","10","15","0","25"
"10008289","The London Institute of Banking & Finance","5","15","0","20"
"10004113","Loughborough University","570","1,060","0","1,630"
"10009612","Luther King House Educational Trust","0","0","0","5"
"10004180","The Manchester Metropolitan University","1,370","1,230","0","2,600"
"10007798","The University of Manchester","2,140","3,010","0","5,150"
"10030776","St Mellitus College","15","25","0","40"
"10004320","The Metanoia Institute","55","20","0","75"
"10004351","Middlesex University","505","485","0","990"
"10023777","Mont Rose College of Management and Sciences","10","20","0","30"
"10023454","Moorlands College","5","5","0","10"
"10004538","Nazarene Theological College","5","10","0","20"
"10030129","Nelson College London Ltd","0","5","0","5"
"10007799","Newcastle University","1,395","1,725","0","3,115"
"10048199","Northeastern University London","25","35","0","65"
"10007138","The University of Northampton","465","375","0","835"
"10001282","University of Northumbria at Newcastle","735","825","0","1,555"
"10004775","Norwich University of the Arts","110","110","0","215"
"10007154","University of Nottingham","1,525","2,070","5","3,605"
"10004797","The Nottingham Trent University","1,160","1,180","0","2,340"
"10007773","The Open University","2,905","2,165","0","5,070"
"10004930","Oxford Brookes University","790","665","0","1,455"
"10007774","The University of Oxford","2,930","4,060","5","6,995"
"10005127","Arts University Plymouth","70","60","0","135"
"10007801","University of Plymouth","680","690","0","1,370"
"10007155","The University of Portsmouth","780","950","5","1,735"
"10005337","Queen Margaret University, Edinburgh","180","80","0","255"
"10007775","Queen Mary University of London","1,525","1,865","0","3,390"
"10009292","Royal Academy of Dramatic Art","35","35","0","70"
"10005389","Ravensbourne University London","100","130","0","235"
"10007802","The University of Reading","955","935","0","1,895"
"10005500","Robert Gordon University","305","285","0","590"
"10007776","Roehampton University","325","230","0","555"
"10005523","Rose Bruford College of Theatre and Performance","45","40","0","85"
"10007835","Royal Academy of Music","100","205","0","300"
"10005545","Royal Agricultural University","15","35","0","55"
"10007777","Royal College of Art","95","85","0","180"
"10007778","Royal College of Music","100","195","0","295"
"10005561","Royal Conservatoire of Scotland","160","170","0","330"
"10007816","The Royal Central School of Speech and Drama","50","35","0","85"
"10005553","Royal Holloway and Bedford New College","505","645","0","1,150"
"10007837","Royal Northern College of Music","135","190","0","325"
"10007779","The Royal Veterinary College","185","125","0","315"
"10007803","The University of St. Andrews","480","750","0","1,230"
"10007839","SAE Education Limited","10","35","0","45"
"10007782","St George's, University of London","295","200","0","495"
"10008026","St Mary's University College","35","30","0","65"
"10007843","St Mary's University, Twickenham","230","180","0","410"
"10007156","The University of Salford","520","570","0","1,090"
"10007780","SOAS University of London","335","300","0","635"
"10005700","SRUC","210","200","0","410"
"10005790","Sheffield Hallam University","1,070","1,015","0","2,085"
"10007157","The University of Sheffield","1,430","2,215","5","3,650"
"10006022","Solent University","230","405","0","635"
"10007158","The University of Southampton","1,080","1,635","0","2,715"
"10006093","Spurgeon's College","5","15","0","20"
"10006299","Staffordshire University","410","440","0","855"
"10007804","The University of Stirling","530","475","0","1,005"
"10037449","University of St Mark and St John","80","40","0","120"
"10008010","Stranmillis University College","35","20","0","55"
"10007805","The University of Strathclyde","610","1,160","0","1,770"
"10014001","University of Suffolk","125","110","0","235"
"10007159","The University of Sunderland","530","520","0","1,045"
"10007160","The University of Surrey","680","810","0","1,490"
"10007806","The University of Sussex","940","1,070","0","2,010"
"10007855","Swansea University","690","1,030","5","1,730"
"10007161","Teesside University","365","380","0","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","200","220","0","425"
"10007858","University of Wales Trinity Saint David","375","350","0","730"
"10007114","University of the Highlands and Islands","60","45","0","105"
"10007807","Ulster University","580","765","0","1,345"
"10039956","The University of Law","245","85","0","330"
"10007784","University College London","3,755","4,215","0","7,965"
"10007793","University of South Wales","755","960","0","1,720"
"10008574","The University of Wales (central functions)","5","5","0","15"
"10007163","The University of Warwick","1,240","1,925","0","3,160"
"10007164","University of the West of England, Bristol","1,020","955","0","1,975"
"10007800","The University of the West of Scotland","295","295","0","590"
"10006566","The University of West London","455","605","0","1,060"
"10007165","The University of Westminster","900","890","0","1,790"
"10003614","The University of Winchester","380","310","0","685"
"10007166","The University of Wolverhampton","510","455","0","965"
"10007139","University of Worcester","625","355","5","985"
"10007833","Wrexham University","105","90","0","195"
"10007657","Writtle University College","70","40","0","110"
"10007713","York St John University","195","195","0","390"
"10007167","The University of York","930","1,100","0","2,030"
"","Total","104,305","118,865","355","223,525"
