﻿Title:,"Table 28 - Non-UK permanent address students by HE provider and country of permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE Provider","Austria","Belgium","Bulgaria","Canary Islands","Croatia","Cyprus (European Union)","Cyprus not otherwise specified","Czech Republic","Denmark","Estonia","Finland","France","French Guiana","Germany","Gibraltar","Greece","Guadeloupe","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Martinique","Netherlands","Poland","Portugal","Romania","Réunion","Slovakia","Slovenia","Åland Islands","Spain","Sweden","European Union not otherwise specified","Total European Union","Total"
"10008071","AA School of Architecture","5","5","0","0","0","5","0","0","0","0","0","15","0","15","0","20","0","0","0","20","0","5","0","0","0","0","5","0","5","0","0","0","0","10","0","0","115","850"
"10007783","The University of Aberdeen","5","20","40","0","5","5","0","20","15","5","45","45","0","75","0","20","0","15","55","50","5","5","15","5","0","15","55","5","10","0","25","5","0","65","35","0","685","3,450"
"10007849","Abertay University","0","0","15","0","5","5","0","5","0","5","10","85","0","15","0","5","0","5","15","15","0","5","0","0","0","5","10","0","10","0","5","0","0","15","10","0","240","530"
"10007856","Aberystwyth University","0","10","0","0","0","0","0","5","0","0","5","20","0","20","0","10","0","5","25","10","0","5","0","0","0","5","70","5","5","0","5","0","0","25","5","0","245","1,210"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","15"
"10000163","AECC University College","0","5","0","0","0","0","0","0","0","0","5","5","0","25","0","0","0","0","15","5","0","0","0","0","0","15","0","0","0","0","0","0","0","0","5","0","95","285"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85"
"10000291","Anglia Ruskin University","0","10","5","0","0","15","0","5","5","0","5","25","0","25","10","20","0","5","75","60","0","10","0","0","0","15","25","170","45","0","5","0","0","85","5","0","635","7,825"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","40"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","35"
