﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2019/20 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","625","0","355","140","0","70","170","155","20","60","315","435","200","105","2,660"
"10007849","Abertay University","30","15","25","55","0","20","25","0","30","20","40","140","45","10","440"
"10007856","Aberystwyth University","25","80","260","50","0","25","120","55","45","60","55","415","35","145","1,375"
"10067853","ACM Guildford Limited*","","","","","","","","","","","","","","",""
"10000163","AECC University College*","","","","","","","","","","","","","","",""
"10032036","Amity Global Education*","","","","","","","","","","","","","","",""
"10000291","Anglia Ruskin University","415","0","95","85","30","250","135","45","75","75","40","560","60","30","1,900"
"10005451","Arden University*","","","","","","","","","","","","","","",""
"10007759","Aston University","265","0","110","325","35","330","60","65","0","0","80","430","125","45","1,870"
"10007857","Bangor University","265","65","210","65","0","55","50","75","10","95","160","330","130","80","1,590"
"10000571","Bath Spa University","25","0","15","5","0","35","60","45","135","90","70","240","95","15","835"
"10007850","The University of Bath","250","0","465","425","85","220","175","35","0","110","335","700","245","240","3,280"
"10007152","University of Bedfordshire","105","0","30","55","5","100","145","20","25","120","230","250","30","5","1,110"
"10005343","Queen's University Belfast","1,055","0","480","395","60","155","270","200","60","80","420","725","180","95","4,175"
"10037544","BIMM University*","","","","","","","","","","","","","","",""
"10007760","Birkbeck College","85","0","115","40","0","80","150","140","15","5","55","445","60","0","1,185"
"10007140","Birmingham City University*","","","","","","","","","","","","","","",""
"10006840","The University of Birmingham*","","","","","","","","","","","","","","",""
"10000712","University College Birmingham","70","0","0","0","0","205","0","0","0","10","140","65","30","50","575"
"10007832","Birmingham Newman University","40","0","0","0","0","5","5","15","5","65","85","70","5","15","310"
"10007811","Bishop Grosseteste University","25","0","0","0","0","5","5","15","5","65","55","100","20","0","295"
"10006841","The University of Bolton*","","","","","","","","","","","","","","",""
"10000385","The Arts University Bournemouth","0","0","0","0","10","5","80","0","160","0","65","75","15","0","405"
"10000824","Bournemouth University","215","0","45","165","0","195","195","30","20","25","285","370","75","15","1,635"
"10007785","The University of Bradford","240","0","85","110","0","60","65","25","0","0","90","430","125","0","1,235"
"10000886","The University of Brighton","385","0","120","115","55","115","155","80","145","175","185","505","170","85","2,290"
"10000936","The University College of Osteopathy*","","","","","","","","","","","","","","",""
"10007786","The University of Bristol","1,215","160","1,225","630","0","150","430","425","75","105","555","1,425","470","15","6,885"
"10000961","Brunel University London","120","0","120","470","0","145","185","55","35","60","165","595","45","80","2,070"
"10000975","Buckinghamshire New University*","","","","","","","","","","","","","","",""
"10007787","The University of Buckingham*","","","","","","","","","","","","","","",""
"10007788","The University of Cambridge","3,220","200","2,370","1,165","105","300","515","690","30","365","935","1,270","260","35","11,455"
"10003324","The Institute of Cancer Research","300","0","490","0","0","0","0","0","0","0","95","135","40","0","1,055"
"10001143","Canterbury Christ Church University","230","0","35","20","0","40","125","55","25","200","310","335","95","115","1,585"
"10007814","Cardiff University","1,725","0","780","435","125","230","560","405","30","75","705","690","240","165","6,165"
"10007854","Cardiff Metropolitan University","85","45","35","25","0","125","20","10","115","200","215","230","45","60","1,200"
"10007141","The University of Central Lancashire","525","0","130","110","25","130","245","90","100","120","580","470","225","10","2,760"
"10007848","University of Chester","180","0","110","65","0","90","130","95","65","140","285","395","105","70","1,730"
"10007137","The University of Chichester*","","","","","","","","","","","","","","",""
"10001386","Chicken Shed Theatre Company*","","","","","","","","","","","","","","",""
"10001478","City, University of London","310","0","25","230","0","370","330","25","15","0","360","390","120","0","2,170"
