﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,250","370","1,620"
"10007849","Abertay University","210","10","225"
"10007856","Aberystwyth University","590","110","700"
"10067853","ACM Guildford Limited","110","0","110"
"10000163","AECC University College","60","0","60"
"10000291","Anglia Ruskin University","920","0","920"
"10005451","Arden University","335","0","335"
"10007759","Aston University","770","180","950"
"10038772","British Academy of Jewellery Limited","20","0","20"
"10007857","Bangor University","830","180","1,010"
"10000571","Bath Spa University","625","0","625"
"10007850","The University of Bath","1,295","235","1,525"
"10007152","University of Bedfordshire","540","0","540"
"10005343","Queen's University Belfast","1,240","805","2,045"
"10037544","BIMM University","820","0","820"
"10007760","Birkbeck College","935","105","1,040"
"10007140","Birmingham City University","1,910","115","2,025"
"10006840","The University of Birmingham","3,885","210","4,100"
"10000712","University College Birmingham","225","0","225"
"10007832","Birmingham Newman University","140","0","140"
"10007811","Bishop Grosseteste University","125","5","135"
"10004061","Bloomsbury Institute","35","0","35"
"10006841","The University of Bolton","455","5","465"
"10000385","The Arts University Bournemouth","395","5","395"
"10000824","Bournemouth University","915","15","930"
"10007785","The University of Bradford","540","25","565"
"10000886","The University of Brighton","1,425","85","1,510"
"10000936","The University College of Osteopathy","60","0","60"
"10007786","The University of Bristol","2,040","1,555","3,595"
"10000961","Brunel University London","1,285","30","1,315"
"10000975","Buckinghamshire New University","500","15","515"
"10007788","The University of Cambridge","1,565","4,560","6,130"
"10003324","The Institute of Cancer Research","130","550","680"
"10001143","Canterbury Christ Church University","695","50","745"
"10007814","Cardiff University","2,225","1,170","3,400"
"10007854","Cardiff Metropolitan University","750","20","770"
"10007141","The University of Central Lancashire","1,650","60","1,710"
"10024024","Central Film School London","5","0","5"
