﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2015/16 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10007783","The University of Aberdeen","580","0","560","155","0","45","195","150","20","55","285","390","190","125","2,755"
"10007849","Abertay University","30","15","40","35","0","25","25","0","20","25","55","140","50","15","475"
"10007856","Aberystwyth University","15","90","330","45","0","40","155","85","65","80","110","360","50","165","1,590"
"10000291","Anglia Ruskin University","400","5","105","70","50","195","145","45","65","85","155","510","45","35","1,900"
"10007759","Aston University","205","0","85","295","25","145","40","60","0","0","75","305","110","60","1,405"
"10007857","Bangor University","235","80","225","55","0","60","80","85","15","115","185","375","130","105","1,740"
"10000571","Bath Spa University","20","0","15","0","0","25","50","35","185","90","65","235","30","15","765"
"10007850","The University of Bath","215","0","425","385","55","180","155","50","0","85","280","555","230","260","2,870"
"10007152","University of Bedfordshire","135","0","35","75","0","100","155","20","45","145","250","270","35","10","1,275"
"10005343","Queen's University Belfast","835","0","415","360","45","105","250","170","60","75","370","585","175","80","3,525"
"10007760","Birkbeck College","105","0","115","35","0","70","175","140","15","10","205","285","15","0","1,170"
"10007140","Birmingham City University","290","0","0","180","55","125","165","20","310","140","185","545","55","25","2,100"
"10006840","The University of Birmingham","1,640","0","635","585","0","250","430","435","55","210","845","700","385","320","6,490"
"10000712","University College Birmingham","65","0","0","0","0","210","0","0","0","20","15","175","35","45","555"
"10007832","Birmingham Newman University","35","0","0","5","0","5","0","20","5","80","70","60","5","20","310"
"10007811","Bishop Grosseteste University","15","0","0","0","0","0","0","15","5","85","30","80","30","0","255"
"10006841","The University of Bolton","60","0","15","85","10","50","20","10","35","45","55","135","50","10","570"
"10000385","The Arts University Bournemouth","0","0","0","0","5","5","75","0","145","0","40","70","10","0","350"
"10000824","Bournemouth University","250","0","55","175","0","250","160","20","15","35","265","320","70","0","1,625"
"10007785","The University of Bradford","290","0","165","185","0","125","130","0","0","0","160","335","185","0","1,575"
"10000886","The University of Brighton","365","0","160","160","70","160","170","110","170","225","175","450","170","115","2,500"
"10007786","The University of Bristol","1,060","150","1,055","495","0","60","300","310","45","80","330","1,060","400","240","5,585"
"10000961","Brunel University London","145","0","105","440","0","125","155","60","35","65","170","470","50","110","1,925"
"10000975","Buckinghamshire New University","120","0","0","35","0","65","55","0","55","30","20","260","10","35","680"
"10007787","The University of Buckingham","40","0","10","15","0","35","50","30","0","25","10","85","35","25","360"
"10007788","The University of Cambridge","2,615","170","2,480","1,155","95","220","480","645","35","300","845","970","205","75","10,290"
"10003324","The Institute of Cancer Research","345","0","405","0","0","0","0","0","0","0","75","125","40","0","990"
"10001143","Canterbury Christ Church University","240","0","25","15","0","50","145","85","55","325","225","305","145","55","1,670"
"10007814","Cardiff University","1,710","0","640","345","110","195","475","315","30","135","665","780","90","180","5,665"
"10007854","Cardiff Metropolitan University","90","35","45","15","0","120","25","15","115","210","225","215","50","60","1,215"
"10007141","The University of Central Lancashire","340","0","150","100","35","110","200","75","95","100","495","435","190","45","2,370"
"10007848","University of Chester","210","5","105","65","0","100","120","115","65","145","260","390","115","80","1,770"
"10007137","The University of Chichester","25","0","0","0","0","30","25","35","105","140","55","145","45","15","620"
"10001478","City, University of London","245","0","45","195","0","295","235","5","10","30","215","510","120","0","1,900"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","375","0","0","0","0","0","375"
"10007761","Courtauld Institute of Art","0","0","5","0","0","0","0","40","5","0","10","60","5","0","120"
"10001726","Coventry University","315","15","145","400","35","495","270","85","85","25","85","1,045","130","40","3,170"
"10007822","Cranfield University","0","45","0","655","0","150","85","0","0","15","0","430","55","40","1,470"
"10006427","University for the Creative Arts","0","0","0","0","15","0","95","0","260","0","75","200","35","20","700"
"10007842","University of Cumbria","150","10","10","5","0","20","25","5","40","145","70","345","60","15","900"
"10001883","De Montfort University","235","0","65","220","40","130","185","55","140","35","335","410","160","0","2,000"
"10007851","University of Derby","185","0","65","155","10","170","110","25","75","170","285","550","195","5","2,015"
"10007852","The University of Dundee","785","0","750","145","40","45","160","80","125","65","230","365","175","10","2,980"
"10007143","University of Durham","165","0","715","125","0","140","450","430","25","190","280","600","95","725","3,940"
"10007789","The University of East Anglia","515","0","485","55","0","105","280","180","45","70","200","705","255","180","3,075"
"10007144","The University of East London","145","0","50","80","30","55","165","15","85","125","95","545","45","5","1,440"
"10007823","Edge Hill University","240","0","35","45","0","40","130","50","45","460","175","270","65","80","1,630"
"10007772","Edinburgh Napier University","150","0","70","170","60","140","55","30","70","30","30","460","115","30","1,410"
"10007790","The University of Edinburgh","1,785","615","1,635","565","50","200","505","505","230","295","620","1,025","720","455","9,215"
"10007791","The University of Essex","175","0","140","95","0","135","295","165","60","0","160","535","170","0","1,935"
"10007792","The University of Exeter","550","0","580","235","0","175","420","370","25","125","175","755","280","200","3,895"
"10008640","Falmouth University","0","0","0","0","0","15","95","15","175","0","15","120","20","0","460"
"10004511","The National Film and Television School","0","0","0","0","0","0","20","0","0","0","0","75","5","0","100"
"10007762","Glasgow Caledonian University","340","0","65","165","75","205","85","5","15","0","200","185","140","0","1,485"
"10002681","Glasgow School of Art","0","0","0","0","30","0","0","0","100","5","10","210","15","0","380"
"10007794","The University of Glasgow","1,170","280","910","425","35","150","315","350","85","180","170","1,060","490","125","5,740"
"10007145","University of Gloucestershire","20","0","10","20","10","45","80","25","60","125","65","345","60","0","865"
"10002718","Goldsmiths College","100","0","0","135","0","20","200","70","200","55","100","195","60","20","1,155"
"10007146","The University of Greenwich","165","45","140","135","50","150","120","40","5","85","0","795","0","0","1,730"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","205","0","5","25","15","0","250"
"10040812","Harper Adams University","0","200","0","30","0","0","0","0","0","0","30","105","55","50","470"
"10007764","Heriot-Watt University","20","0","335","370","90","155","10","40","40","5","90","385","100","140","1,780"
"10007147","University of Hertfordshire","415","15","150","205","5","235","140","80","90","105","310","650","50","95","2,545"
"10007765","Heythrop College","0","0","0","0","0","0","0","40","0","0","0","40","0","0","80"
"10007148","The University of Huddersfield","200","0","80","150","30","155","80","55","120","50","255","510","125","30","1,835"
"10007149","The University of Hull","280","0","230","120","0","110","170","135","50","120","100","620","175","105","2,215"
"10003270","Imperial College of Science, Technology and Medicine","2,615","0","1,400","1,465","0","265","0","0","0","60","385","860","300","240","7,585"
"10007767","Keele University","510","0","185","55","0","45","155","70","15","30","150","260","140","175","1,780"
"10007150","The University of Kent","165","0","370","190","60","135","470","340","120","50","195","620","230","270","3,215"
"10003645","King's College London","3,085","0","455","130","0","85","545","440","45","65","405","825","155","105","6,345"
"10003678","Kingston University","235","0","150","175","40","150","170","70","200","75","125","440","10","0","1,835"
"10007768","The University of Lancaster","200","0","510","185","0","285","190","180","50","25","265","475","265","70","2,700"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","125","0","25","35","15","0","200"
"10003861","Leeds Beckett University","215","0","40","85","75","175","95","65","110","285","275","835","115","70","2,435"
"10007795","The University of Leeds","1,530","50","960","580","0","290","380","455","175","90","1,005","815","365","200","6,885"
"10003863","Leeds Trinity University","20","0","0","0","0","10","30","25","0","100","70","80","20","25","375"
"10007796","The University of Leicester","680","0","610","120","0","155","360","210","10","80","140","660","285","190","3,500"
"10007151","The University of Lincoln","160","30","130","95","20","125","180","55","130","55","140","260","35","30","1,445"
"10003956","Liverpool Hope University","40","0","15","10","0","20","35","35","50","105","50","195","40","40","640"
"10003957","Liverpool John Moores University","280","0","180","250","70","150","185","60","80","235","290","235","190","30","2,230"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","5","0","5","0","0","35","0","20","40","20","5","130"
"10006842","The University of Liverpool","1,280","405","730","310","95","150","260","215","25","20","415","540","280","230","4,960"
"10003958","Liverpool School of Tropical Medicine","395","0","0","0","0","0","0","0","0","0","0","0","0","0","395"
"10007162","University of the Arts, London","5","0","10","25","20","30","65","65","1,360","40","120","730","155","45","2,665"
"10007769","London Business School","0","0","0","0","0","100","0","0","0","0","30","590","15","0","740"
"10007797","University of London (Institutes and activities)","0","0","0","0","0","0","50","90","0","0","80","545","20","30","810"
"10004048","London Metropolitan University","60","0","75","60","50","110","135","35","75","55","105","330","65","0","1,155"
"10004078","London South Bank University","290","5","35","155","70","100","85","0","50","40","35","435","35","15","1,340"
"10004063","London School of Economics and Political Science","25","0","90","0","0","215","985","100","0","0","145","600","160","150","2,475"
"10007771","London School of Hygiene and Tropical Medicine","570","0","140","0","0","0","0","0","0","0","250","230","10","5","1,210"
"10004113","Loughborough University","40","0","200","830","55","210","155","45","80","130","135","560","300","220","2,960"
"10004180","The Manchester Metropolitan University","190","0","230","205","55","430","365","180","330","320","405","465","295","135","3,605"
"10007798","The University of Manchester","2,115","0","2,090","1,185","40","545","635","495","90","135","840","785","645","180","9,780"
"10004351","Middlesex University","210","0","80","145","0","185","185","15","190","100","395","210","50","5","1,765"
"10007799","Newcastle University","1,460","120","485","705","90","170","255","215","55","70","460","555","375","225","5,240"
"10007138","The University of Northampton","145","0","25","55","0","115","90","40","70","100","230","205","0","5","1,080"
"10001282","University of Northumbria at Newcastle","250","0","145","165","75","160","255","95","165","95","530","515","205","60","2,720"
"10004775","Norwich University of the Arts","0","0","0","0","5","0","40","0","75","0","40","35","20","5","220"
"10007154","University of Nottingham","1,255","195","1,155","880","65","215","355","420","15","130","410","980","435","330","6,840"
"10004797","The Nottingham Trent University","100","90","220","85","120","310","320","130","375","155","285","595","310","60","3,160"
"10007773","The Open University","390","0","505","480","0","310","435","420","40","360","695","1,585","120","0","5,340"
