﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","116","81.854","40.847","21.203","264,933.014","1,528","861"
"10007849","Abertay University","1","10","2.600","1.100","0.000","47,784.000","225","86"
"10007856","Aberystwyth University","15","688","1,709.000","56.000","23.000","260,123.430","2,329","362"
"10000291","Anglia Ruskin University","3","184","22.801","9.140","8.000","129,492.470","676","2,096"
"10007759","Aston University","2","20","31.544","22.317","6.075","106,921.513","753","126"
"10007857","Bangor University","16","168","359.480","353.000","15.200","234,102.195","1,819","685"
"10000571","Bath Spa University","6","71","64.400","54.346","5.270","74,875.000","1,057","340"
"10007850","The University of Bath","1","102","95.563","31.000","24.000","283,927.230","2,191","865"
"10007152","University of Bedfordshire","5","40","36.238","27.217","5.683","99,075.000","485","197"
"10005343","Queen's University Belfast","7","237","59.900","40.230","27.920","397,670.000","1,290","1,426"
"10007760","Birkbeck College","2","20","4.049","0.000","0.000","40,784.890","0","30"
"10007140","Birmingham City University","3","24","28.190","10.090","18.100","216,435.424","",""
"10007811","Bishop Grosseteste University","1","24","8.100","4.300","4.200","22,386.850","368","102"
"10000385","The Arts University Bournemouth","1","13","3.800","3.800","0.000","35,090.950","224","180"
"10000824","Bournemouth University","4","29","18.550","10.700","3.580","97,392.000","1,348","755"
"10007785","The University of Bradford","6","24","19.980","19.980","1.076","109,895.170","931","194"
"10000886","The University of Brighton","6","125","48.665","38.260","9.300","204,907.350","1,517","1,351"
"10007786","The University of Bristol","6","337","295.463","281.463","17.430","525,594.220","1,835","3,525"
"10000961","Brunel University London","1","134","78.350","78.350","19.620","246,858.404","2,106","787"
"10000975","Buckinghamshire New University","5","26","8.500","8.500","0.000","65,954.390","530","378"
"10007788","The University of Cambridge","16","378","616.410","","","743,872.852","3,560","11,120"
"10003324","The Institute of Cancer Research","2","10","5.576","2.360","0.000","33,773.460","362","100"
"10007814","Cardiff University","6","288","69.480","25.970","13.770","492,229.000","1,970","3,554"
"10007854","Cardiff Metropolitan University","3","53","27.000","15.000","6.000","97,041.000","1,640","530"
"10007141","The University of Central Lancashire","6","74","56.917","19.572","24.909","188,498.610","2,033","692"
"10007848","University of Chester","3","211","78.100","43.400","17.900","204,159.420","2,417","272"
"10007137","The University of Chichester","2","111","","28.577","","82,623.072","876","575"
"10001478","City, University of London","3","20","12.010","0.000","0.000","120,143.960","28","270"
"10001726","Coventry University","9","109","56.150","36.670","8.700","276,020.300","2,095","1,456"
"10007822","Cranfield University","3","254","254.400","238.310","5.630","169,005.460","2,044","522"
"10006427","University for the Creative Arts","5","60","8.000","8.000","0.000","81,982.000","666","169"
"10007842","University of Cumbria","6","82","33.890","26.700","3.500","69,089.640","1,052","329"
"10001883","De Montfort University","2","59","23.140","8.420","9.030","180,232.420","1,086","780"
"10007851","University of Derby","8","49","48.620","41.810","7.900","173,913.880","1,818","420"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","765","647"
"10007143","University of Durham","3","389","256.890","57.920","36.930","388,205.100","3,015","1,846"
"10007789","The University of East Anglia","1","98","146.000","130.000","14.000","283,831.580","1,972","4,100"
