﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","75"
"10007783","The University of Aberdeen","5","5","10","0","9,775"
"10019746","ABI College Limited","0","0","0","0","70"
"10007849","Abertay University","0","0","0","0","3,505"
"10007856","Aberystwyth University","5","10","10","0","7,565"
"10000080","Access to Music Limited","0","0","0","0","70"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","180"
"10000291","Anglia Ruskin University","5","0","10","5","17,955"
"10041898","Apex College","0","0","0","0","50"
"10005451","Arden University","0","0","0","0","1,825"
"10000381","Arts Educational Schools","5","0","5","0","230"
"10007759","Aston University","5","5","10","0","10,115"
"10007857","Bangor University","10","25","40","5","8,415"
"10000571","Bath Spa University","25","5","25","0","6,835"
"10007850","The University of Bath","60","15","80","5","11,455"
"10007152","University of Bedfordshire","10","0","15","0","11,800"
"10005343","Queen's University Belfast","5","15","20","0","21,065"
"10037544","BIMM University","15","5","20","0","3,765"
"10007760","Birkbeck College","0","0","5","0","10,975"
"10007140","Birmingham City University","5","0","10","0","21,240"
"10006840","The University of Birmingham","30","15","180","135","26,110"
"10000712","University College Birmingham","5","0","5","0","3,790"
"10007832","Birmingham Newman University","0","0","0","0","2,795"
"10000894","Bristol Baptist College","0","0","0","0","30"
"10007811","Bishop Grosseteste University","0","0","0","0","2,230"
"10004061","Bloomsbury Institute","0","0","0","0","1,305"
"10006841","The University of Bolton","0","0","0","0","5,815"
"10000385","The Arts University Bournemouth","40","5","45","0","2,765"
"10000824","Bournemouth University","65","0","70","0","16,390"
"10031982","BPP University","5","0","10","0","4,430"
"10007785","The University of Bradford","0","5","5","0","9,575"
"10000886","The University of Brighton","140","5","145","0","18,235"
"10007786","The University of Bristol","35","15","50","0","17,185"
"10028216","Brit College","0","0","0","0","495"
"10023464","Trinity College Bristol","0","0","0","0","80"
"10000961","Brunel University London","10","5","15","0","9,600"
"10000975","Buckinghamshire New University","5","5","5","0","7,820"
"10007787","The University of Buckingham","5","0","5","0","1,480"
"10022021","UK College of Business and Computing","0","0","0","0","945"
"10041974","London College of Business Sciences","0","0","0","0","55"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","20"
"10007788","The University of Cambridge","15","5","20","0","13,135"
"10032072","The Cambridge Theological Federation","0","0","0","0","155"
