﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10008071","AA School of Architecture","0","0","0","0","100"
"10007783","The University of Aberdeen","5","0","10","0","11,870"
"10007849","Abertay University","0","0","0","0","4,190"
"10007856","Aberystwyth University","10","5","15","0","6,495"
"10067853","ACM Guildford Limited","5","0","5","0","920"
"10000163","AECC University College","10","0","10","0","715"
"10032036","Amity Global Education","0","0","0","0","55"
"10000291","Anglia Ruskin University","5","0","10","0","28,025"
"10041898","Apex College","0","0","5","5","430"
"10062759","Applied Business Academy Limited","0","0","0","0","920"
"10005451","Arden University","0","0","0","0","15,050"
"10000381","Arts Educational Schools","0","0","0","0","300"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","935"
"10003212","Hult International Business School Ltd","0","0","0","0","145"
"10007759","Aston University","0","0","5","0","14,530"
"10038772","British Academy of Jewellery Limited","0","0","0","0","205"
"10007857","Bangor University","10","15","25","0","8,180"
"10000571","Bath Spa University","25","5","30","0","12,695"
"10007850","The University of Bath","65","15","80","0","14,120"
"10007152","University of Bedfordshire","0","0","5","0","10,395"
"10005343","Queen's University Belfast","5","15","20","0","20,120"
"10037544","BIMM University","30","5","40","0","6,265"
"10007760","Birkbeck College","0","0","5","0","9,245"
"10007140","Birmingham City University","10","10","15","0","25,445"
"10006840","The University of Birmingham","30","15","60","20","28,430"
"10000712","University College Birmingham","0","5","5","0","3,955"
"10007832","Birmingham Newman University","0","0","0","0","2,745"
"10000894","Bristol Baptist College","0","0","0","0","65"
"10007811","Bishop Grosseteste University","0","0","0","0","2,315"
"10004061","Bloomsbury Institute","0","0","0","0","780"
"10006841","The University of Bolton","0","0","5","5","9,255"
"10000385","The Arts University Bournemouth","55","0","60","0","3,145"
"10000824","Bournemouth University","65","5","65","0","15,180"
"10031982","BPP University","10","0","10","0","7,385"
"10007785","The University of Bradford","0","5","5","0","8,530"
"10000886","The University of Brighton","95","5","100","0","15,440"
"10000936","The University College of Osteopathy","0","0","0","0","430"
"10007786","The University of Bristol","40","5","50","0","22,510"
"10028216","Brit College","0","0","0","0","15"
"10023464","Trinity College Bristol","0","0","0","0","155"
"10000961","Brunel University London","10","5","20","10","11,650"
"10000975","Buckinghamshire New University","5","5","10","0","18,800"
"10007787","The University of Buckingham","5","0","5","0","2,325"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","50"
"10007788","The University of Cambridge","10","5","10","0","15,405"
"10032072","The Cambridge Theological Federation","0","0","0","0","145"
"10003324","The Institute of Cancer Research","0","0","0","0","325"
"10001143","Canterbury Christ Church University","10","0","15","5","23,865"
"10007814","Cardiff University","55","15","70","0","26,460"
"10007854","Cardiff Metropolitan University","15","0","15","0","9,710"
"10057213","CEG UFP Limited","0","0","0","0","5"
"10007141","The University of Central Lancashire","10","20","30","0","21,610"
"10024024","Central Film School London","0","0","0","0","100"
"10007848","University of Chester","10","45","65","10","11,695"
"10007137","The University of Chichester","30","0","35","0","5,735"
"10001386","Chicken Shed Theatre Company","0","0","0","0","85"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","180"
