﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,030","400","1,430"
"10007849","Abertay University","210","5","215"
"10007856","Aberystwyth University","640","110","750"
"10000163","AECC University College","55","0","55"
"10000291","Anglia Ruskin University","900","0","900"
"10007759","Aston University","730","115","845"
"10007857","Bangor University","860","160","1,020"
"10000571","Bath Spa University","675","0","675"
"10007850","The University of Bath","1,330","135","1,465"
"10007152","University of Bedfordshire","525","0","530"
"10005343","Queen's University Belfast","1,125","780","1,905"
"10007760","Birkbeck College","1,200","0","1,200"
"10007140","Birmingham City University","1,740","170","1,910"
"10006840","The University of Birmingham","3,645","370","4,020"
"10000712","University College Birmingham","295","0","295"
"10007832","Birmingham Newman University","145","0","145"
"10007811","Bishop Grosseteste University","110","0","110"
"10006841","The University of Bolton","345","20","365"
"10000385","The Arts University Bournemouth","380","0","380"
"10000824","Bournemouth University","920","15","935"
"10007785","The University of Bradford","485","60","545"
"10000886","The University of Brighton","1,590","70","1,665"
"10000936","The University College of Osteopathy","100","0","100"
"10007786","The University of Bristol","1,690","1,590","3,285"
"10000961","Brunel University London","1,015","130","1,145"
"10000975","Buckinghamshire New University","375","20","395"
"10007787","The University of Buckingham","175","0","175"
"10007788","The University of Cambridge","1,550","4,665","6,215"
"10003324","The Institute of Cancer Research","95","565","665"
"10001143","Canterbury Christ Church University","705","50","755"
"10007814","Cardiff University","2,540","790","3,330"
"10007854","Cardiff Metropolitan University","695","15","715"
"10007141","The University of Central Lancashire","1,565","40","1,610"
"10007848","University of Chester","665","0","665"
"10007137","The University of Chichester","495","25","520"
"10001478","City, University of London","2,020","105","2,125"
"10001653","Conservatoire for Dance and Drama","310","0","310"
"10007761","Courtauld Institute of Art","35","5","40"
"10001726","Coventry University","2,630","0","2,630"
"10007822","Cranfield University","680","0","680"
"10006427","University for the Creative Arts","365","0","365"
"10007842","University of Cumbria","485","0","485"
"10001883","De Montfort University","1,540","0","1,540"
"10007851","University of Derby","415","1,045","1,460"
"10007852","The University of Dundee","800","600","1,405"
"10007143","University of Durham","1,310","410","1,720"
"10007789","The University of East Anglia","1,650","345","1,995"
"10007144","The University of East London","820","15","830"
"10007823","Edge Hill University","1,040","0","1,040"
"10007772","Edinburgh Napier University","840","0","840"
"10007790","The University of Edinburgh","4,775","2,535","7,310"
