﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","26,174,476.405","107,615.072","16.601","62.620","76.191",""
"10007849","Abertay University","1,630,591.595","11,920.600","","4.316","8.440","54.000"
"10007856","Aberystwyth University","8,321,994.102","167,031.780","","77.026","118.259","487.710"
"10000291","Anglia Ruskin University","4,832,112.414","91,699.895","7.564","33.205","64.924","358.504"
"10007759","Aston University","5,418,958.415","71,467.000","8.400","24.585","50.599","413.130"
"10007857","Bangor University","6,886,024.553","107,145.000","115.600","40.665","75.887","608.010"
"10000571","Bath Spa University","2,302,308.955","67,174.000","","24.323","47.772","350.700"
"10007850","The University of Bath","13,169,497.633","201,249.229","","76.922","142.484","2,181.100"
"10007152","University of Bedfordshire","3,360,276.800","30,753.000","3.873","11.754","23.536","195.080"
"10005343","Queen's University Belfast","21,061,799.004","179,219.000","81.658","64.896","179.495","20,818.791"
"10007760","Birkbeck College","1,647,096.719","6,873.979","2.605","6.757","4.867","122.200"
"10007140","Birmingham City University","8,028,928.068","60,265.000","7.234","20.732","42.668","14,438.530"
"10007811","Bishop Grosseteste University","828,379.290","14,093.260","532.790","5.104","10.324","293.501"
"10000385","The Arts University Bournemouth","955,797.727","11,152.050","3.954","4.038","7.896","185.403"
"10000824","Bournemouth University","2,963,485.576","33,555.000","","12.151","23.972","864.780"
"10007785","The University of Bradford","6,526,227.261","53,723.000","4.900","19.454","38.284","333.966"
"10000886","The University of Brighton","6,201,197.987","85,201.000","10.496","32.087","","3,476.804"
"10007786","The University of Bristol","28,477,821.168","269,314.550","0.000","97.520","201.366","2,778.681"
"10000961","Brunel University London","11,164,428.338","433,040.000","64.100","148.965","307.265","2,798.813"
"10000975","Buckinghamshire New University","2,184,702.941","39,883.000","0.000","14.700","28.237","395.910"
"10007788","The University of Cambridge","53,923,630.237","384,258.000","68.570","146.872","275.801","6,138.017"
"10003324","The Institute of Cancer Research","5,563,459.959","4,699.300","3.292","16.166","3.327","243.100"
"10007814","Cardiff University","23,230,328.411","339,825.000","","131.023","241.304","3,632.899"
"10007854","Cardiff Metropolitan University","2,847,911.074","60,430.000","11.280","21.882","43.128","534.420"
"10007141","The University of Central Lancashire","7,313,741.063","55,033.731","11,512.468","22.064","39.977","18,645.399"
"10007848","University of Chester","11,347,233.292","80,240.000","14.120","27.603","81.172","697.224"
"10007137","The University of Chichester","2,113,300.326","50,372.610","","18.240","35.664","485.431"
"10001478","City, University of London","4,989,924.405","13,291.000","13,707.000","4.759","9.410","643.000"
"10001726","Coventry University","11,956,432.446","115,741.280","31.990","39.815","83.531","17,731.200"
"10007822","Cranfield University","9,964,452.606","6,725.800","17.480","52.685","4.762","993.289"
"10006427","University for the Creative Arts","2,879,924.813","54,542.000","5.769","19.136","38.616","274.696"
"10007842","University of Cumbria","2,769,077.021","19,134.000","13.570","6.422","13.547","314.966"
"10001883","De Montfort University","5,544,258.151","68,213.000","578.569","23.465","48.632","634.976"
"10007851","University of Derby","6,396,807.920","139,723.000","","48.064","","689.780"
"10007852","The University of Dundee","17,772,675.329","","24.000","64.881","","514.000"
"10007143","University of Durham","21,299,137.805","288,260.000","49.310","99.161","205.548","2,176.450"
"10007789","The University of East Anglia","16,604,638.594","204,234.000","47.000","78.063","144.645","1,269.880"
"10007144","The University of East London","3,907,647.333","173,795.000","","59.786","123.047","454.450"
"10007823","Edge Hill University","5,430,891.492","128,262.000","","50.372","90.809","462.660"
"10007772","Edinburgh Napier University","3,294,330.699","14,990.000","329.700","5.428","10.613","1,925.650"
"10007790","The University of Edinburgh","63,016,465.778","388,639.000","155.200","151.782","275.156","4,974.940"
"10007791","The University of Essex","10,321,636.352","140,881.900","13.995","56.592","99.801","1,722.124"
"10007792","The University of Exeter","13,494,928.698","351,030.409","735.369","113.096","248.769","1,138.700"
"10008640","Falmouth University","2,843,979.436","44,032.000","6.275","16.375","31.175","299.122"
"10004511","The National Film and Television School","524,063.729","4,538.000","","0.979","3.213","118.000"
"10007762","Glasgow Caledonian University","6,031,537.663","29,826.200","12.550","","21.117","376.939"
"10002681","Glasgow School of Art","1,696,181.052","","1.470","5.915","","73.000"
"10007794","The University of Glasgow","31,050,108.979","278,865.000","","104.314","197.436",""
"10002718","Goldsmiths College","2,916,432.336","44,317.000","","15.245","31.376","352.510"
"10007146","The University of Greenwich","5,951,080.045","68,391.450","12.280","24.765","48.421","779.290"
"10007825","Guildhall School of Music and Drama","1,222,909.230","15,498.000","1.741","5.923","10.973","84.430"
"10007764","Heriot-Watt University","11,147,610.409","201,010.000","54.406","72.787","151.792","871.969"
"10007147","University of Hertfordshire","13,487,663.293","307,664.000","","117.762","217.826","621.650"
"10007148","The University of Huddersfield","5,153,595.429","29,092.000","","10.534","20.597","282.172"
"10007149","The University of Hull","8,408,446.697","135,417.750","12.568","49.035","95.876","700.458"
"10003270","Imperial College of Science, Technology and Medicine","55,590,473.844","720,125.320","72.888","261.763","509.849","3,372.239"
"10007767","Keele University","7,220,836.069","200,180.000","1,420.120","68.862","141.751","888.410"
"10007150","The University of Kent","10,478,905.201","208,854.966","21.604","75.627","147.869","1,041.322"
"10003645","King's College London","24,506,467.088","646,705.000","42.610","222.466","458.425","3,383.722"
