﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","01-01-01 Medical sciences (non-specific)","01-01-02 Medicine (non-specific)","01-01-03 Medicine by specialism","01-01-04 Dentistry","01 Medicine and dentistry"
"10008071","AA School of Architecture","0","0","0","0","0"
"10007783","The University of Aberdeen","75","1,500","0","110","1,685"
"10007849","Abertay University","0","0","0","0","0"
"10007856","Aberystwyth University","0","0","0","0","0"
"10067853","ACM Guildford Limited","0","0","0","0","0"
"10000163","AECC University College","0","0","10","0","10"
"10032036","Amity Global Education","0","0","0","0","0"
"10030497","Anglo Skills College","0","0","0","0","0"
"10000291","Anglia Ruskin University","15","535","0","0","545"
"10041898","Apex College","0","0","0","0","0"
"10005451","Arden University","0","0","0","0","0"
"10000381","Arts Educational Schools","0","0","0","0","0"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0"
"10003212","Hult International Business School Ltd","0","0","0","0","0"
"10007759","Aston University","0","640","5","15","660"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0"
"10007857","Bangor University","110","35","0","25","170"
"10000571","Bath Spa University","0","0","0","0","0"
"10007850","The University of Bath","0","90","0","0","90"
"10007152","University of Bedfordshire","50","0","0","0","50"
"10005343","Queen's University Belfast","285","1,460","0","305","2,045"
"10037544","BIMM University","0","0","0","0","0"
"10007810","Birmingham Christian College","0","0","0","0","0"
"10007760","Birkbeck College","0","0","0","0","0"
"10007140","Birmingham City University","0","0","0","0","0"
"10006840","The University of Birmingham","100","2,235","165","550","3,050"
"10000712","University College Birmingham","0","0","0","0","0"
"10007832","Birmingham Newman University","0","0","0","0","0"
"10000894","Bristol Baptist College","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","0","0","0","0"
"10004061","Bloomsbury Institute","0","0","0","0","0"
"10006841","The University of Bolton","0","0","5","0","5"
"10000385","The Arts University Bournemouth","0","0","0","0","0"
"10000824","Bournemouth University","5","0","10","0","15"
"10031982","BPP University","0","0","0","0","0"
"10007785","The University of Bradford","0","0","0","0","0"
"10000886","The University of Brighton","0","660","55","5","720"
"10000936","The University College of Osteopathy","0","0","0","0","0"
"10007786","The University of Bristol","10","1,655","0","545","2,210"
"10028216","Brit College","0","0","0","0","0"
"10023464","Trinity College Bristol","0","0","0","0","0"
"10000961","Brunel University London","10","210","10","0","225"
"10000975","Buckinghamshire New University","0","25","10","0","35"
"10007787","The University of Buckingham","0","845","0","0","845"
"10042737","UK Business College Ltd","0","0","0","0","0"
"10019368","London College of Business Studies","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0"
"10007788","The University of Cambridge","25","1,740","40","0","1,805"
"10032072","The Cambridge Theological Federation","0","0","0","0","0"
"10003324","The Institute of Cancer Research","0","345","0","0","345"
"10001143","Canterbury Christ Church University","10","215","25","0","250"
"10007814","Cardiff University","10","2,025","160","420","2,615"
"10034450","Cardiff and Vale College","0","0","0","0","0"
"10086359","Caspian School of Academics","0","0","0","0","0"
"10007854","Cardiff Metropolitan University","0","0","0","0","0"
"10057213","CEG UFP Limited","0","0","0","0","0"
"10001264","Central School of Ballet","0","0","0","0","0"
"10021550","Centre for Alternative Technology","0","0","0","0","0"
"10007141","The University of Central Lancashire","0","2,140","0","320","2,460"
"10024024","Central Film School London","0","0","0","0","0"
"10007848","University of Chester","50","105","165","205","520"
"10007137","The University of Chichester","0","0","0","0","0"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0"
"10026921","Christ the Redeemer College","0","0","0","0","0"
"10010213","The City College","0","0","0","0","0"
"10001478","City, University of London","0","0","0","0","0"
"10007912","Cliff College","0","0","0","0","0"
"10066502","The College of Health Ltd","0","0","0","0","0"
"10041295","College Cambria","0","0","0","0","0"
"10008912","Coleg Gwent","0","0","0","0","0"
"10023442","The College of Osteopaths","0","0","0","0","0"
"10020038","Commonwealth College of Excellence","0","0","0","0","0"
"10081618","The Council of the Inns of Court","0","0","0","0","0"
"10007761","Courtauld Institute of Art","0","0","0","0","0"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0"
"10001726","Coventry University","0","0","0","0","0"
"10007822","Cranfield University","0","0","0","0","0"
"10006427","University for the Creative Arts","0","0","0","0","0"
"10007842","University of Cumbria","0","0","0","0","0"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0"
"10015688","David Game College Ltd","0","0","0","0","0"
"10001883","De Montfort University","0","0","0","0","0"
"10007851","University of Derby","0","0","0","0","0"
"10007852","The University of Dundee","0","1,770","35","395","2,205"
"10007143","University of Durham","0","0","0","0","0"
"10067355","Dyson Technical Training Limited","0","0","0","0","0"
"10007789","The University of East Anglia","10","1,185","40","0","1,230"
"10007144","The University of East London","0","0","0","0","0"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0"
"10007823","Edge Hill University","0","210","0","0","215"
"10007772","Edinburgh Napier University","0","0","0","0","0"
"10007790","The University of Edinburgh","160","2,280","45","40","2,520"
"10022047","Empire College London Limited","0","0","0","0","0"
"10042570","Escape Studios","0","0","0","0","0"
"10007791","The University of Essex","0","0","0","5","5"
"10008173","University College of Estate Management","0","0","0","0","0"
"10002313","ESCP Europe Business School","0","0","0","0","0"
"10007792","The University of Exeter","350","1,275","0","0","1,620"
