﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE Provider","Abertawe - Swansea","Blaenau Gwent - Blaenau Gwent","Bro Morgannwg - The Vale of Glamorgan","Caerdydd - Cardiff","Caerffili - Caerphilly","Casnewydd - Newport","Castell-Nedd Port Talbot - Neath Port Talbot","Conwy - Conwy","Gwynedd - Gwynedd","Merthyr Tudful - Merthyr Tydfil","Pen-Y-Bont Ar Ogwr - Bridgend","Powys - Powys","Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","Sir Benfro - Pembrokeshire","Sir Ceredigion - Ceredigion","Sir Ddinbych - Denbighshire","Sir Fynwy - Monmouthshire","Sir Gaerfyrddin - Carmarthenshire","Sir Y Fflint - Flintshire","Sir Ynys Môn - Isle of Anglesey","Tor-Faen - Torfaen","Wrecsam - Wrexham","Wales (unitary authority unknown)","Total Wales","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"10007783","The University of Aberdeen","5","0","5","15","0","0","0","5","0","0","5","5","5","5","0","0","0","5","5","0","0","5","0","80","11,870"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4,190"
"10007856","Aberystwyth University","90","25","45","100","85","35","65","70","200","15","55","310","140","145","775","50","60","220","100","55","30","80","0","2,745","6,495"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","920"
"10000163","AECC University College","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","20","715"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"10000291","Anglia Ruskin University","5","0","5","15","5","10","5","10","0","0","5","5","5","5","0","0","5","5","5","0","5","0","0","100","28,025"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","430"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","920"
"10005451","Arden University","10","0","5","25","5","10","5","5","5","5","10","5","5","10","0","5","5","0","15","0","5","15","0","155","15,050"
"10000381","Arts Educational Schools","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","20","300"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","935"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"10007759","Aston University","15","0","5","50","10","25","5","5","0","0","10","5","5","5","0","5","10","10","5","0","0","10","0","190","14,530"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","205"
"10007857","Bangor University","20","5","10","45","20","10","10","820","1,155","5","25","70","25","20","35","425","10","50","365","710","20","325","10","4,205","8,180"
"10000571","Bath Spa University","40","10","50","80","40","60","25","5","15","10","35","25","35","45","10","0","40","45","10","5","30","10","0","615","12,695"
"10007850","The University of Bath","75","5","85","180","35","60","30","15","10","10","35","25","50","40","25","10","60","50","20","5","10","20","0","860","14,120"
"10007152","University of Bedfordshire","5","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","10,395"
"10005343","Queen's University Belfast","5","0","5","15","0","5","0","0","5","0","0","0","5","0","0","5","5","10","5","5","5","0","0","85","20,120"
"10037544","BIMM University","20","10","15","30","15","15","5","15","5","5","15","10","20","15","10","5","15","20","10","5","10","10","0","270","6,265"
"10007760","Birkbeck College","5","0","0","10","0","5","0","5","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","45","9,245"
"10007140","Birmingham City University","15","5","10","55","15","25","10","10","10","5","15","35","15","5","20","15","15","20","10","5","10","20","0","345","25,445"
"10006840","The University of Birmingham","50","5","80","195","30","55","25","15","15","5","45","55","40","25","20","20","75","40","35","15","25","45","5","920","28,430"
"10000712","University College Birmingham","5","0","5","15","5","0","5","0","0","0","5","5","5","0","0","0","0","5","0","5","0","0","0","60","3,955"
"10007832","Birmingham Newman University","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2,745"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","65"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2,315"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","780"
"10006841","The University of Bolton","0","0","5","5","0","0","5","5","5","0","0","5","5","0","0","5","0","0","10","5","0","5","0","65","9,255"
