﻿Title:,"Table 8 - Expenditure - breakdown by activity and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2016/17 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007783","The University of Aberdeen","82,510","52,010","134,520","0","72,209","18,566","3,955","229,250"
"10007849","Abertay University","10,836","13,127","23,963","0","8,102","1,661","530","34,256"
"10007856","Aberystwyth University","35,425","35,307","70,732","636","40,988","10,764","4,033","127,153"
"10000291","Anglia Ruskin University","50,913","55,419","106,332","387","81,214","12,595","6,007","206,535"
"10007759","Aston University","43,751","37,060","80,811","0","56,530","9,447","2,015","148,803"
"10007857","Bangor University","46,151","37,804","83,955","3,968","46,507","11,651","6,063","152,144"
"10000571","Bath Spa University","18,783","21,884","40,667","0","28,834","5,190","3,096","77,787"
"10007850","The University of Bath","74,761","68,049","142,810","0","96,166","24,134","4,992","268,102"
"10007152","University of Bedfordshire","34,478","28,160","62,638","0","37,440","9,727","1,782","111,587"
"10005343","Queen's University Belfast","103,685","77,917","181,602","0","115,707","25,777","3,150","326,236"
"10007760","Birkbeck College","39,088","27,101","66,189","0","31,593","2,196","194","100,172"
"10007140","Birmingham City University","63,428","58,864","122,292","0","66,128","10,251","4,401","203,072"
"10006840","The University of Birmingham","189,899","130,765","320,664","0","219,639","57,505","6,177","603,985"
"10000712","University College Birmingham","18,635","7,784","26,419","0","15,602","3,077","511","45,609"
"10007832","Birmingham Newman University","9,154","5,321","14,475","0","7,390","910","14","22,789"
"10007811","Bishop Grosseteste University","5,783","6,797","12,580","0","7,315","1,360","177","21,432"
"10006841","The University of Bolton","17,693","11,181","28,874","418","17,719","2,882","632","50,525"
"10000385","The Arts University Bournemouth","8,112","8,628","16,740","57","13,987","4,882","1,586","37,252"
"10000824","Bournemouth University","45,768","35,300","81,068","0","58,220","10,850","3,356","153,494"
"10007785","The University of Bradford","34,050","37,926","71,976","1,409","35,788","7,857","1,881","118,911"
"10000886","The University of Brighton","71,260","58,644","129,904","0","63,549","6,951","6,685","207,089"
"10000936","The University College of Osteopathy","1,852","1,311","3,163","0","1,265","259","200","4,887"
"10007786","The University of Bristol","174,307","123,887","298,194","0","196,747","46,168","19,690","560,799"
"10000961","Brunel University London","57,872","51,698","109,570","0","68,423","15,811","6,253","200,057"
"10000975","Buckinghamshire New University","17,666","15,486","33,152","1,552","24,338","4,436","2,607","66,085"
"10007787","The University of Buckingham","9,368","6,831","16,199","0","13,773","1,481","487","31,940"
"10007788","The University of Cambridge","320,553","478,249","798,802","0","886,359","89,823","31,520","1,806,504"
"10003324","The Institute of Cancer Research","42,528","18,726","61,254","0","40,151","6,869","1,163","109,437"
"10001143","Canterbury Christ Church University","44,773","30,678","75,451","0","46,504","6,519","1,752","130,226"
"10007814","Cardiff University","178,627","115,865","294,492","0","174,982","32,060","12,305","513,839"
"10007854","Cardiff Metropolitan University","32,539","33,057","65,596","1,131","26,793","3,364","2,933","99,817"
"10007141","The University of Central Lancashire","59,832","64,334","124,166","0","66,238","8,131","2,757","201,292"
"10007848","University of Chester","32,751","35,471","68,222","0","35,743","7,111","2,577","113,653"
"10007137","The University of Chichester","16,219","16,073","32,292","0","18,226","3,838","942","55,298"
"10001478","City, University of London","74,024","56,603","130,627","643","72,040","14,827","3,003","221,140"
"10001653","Conservatoire for Dance and Drama","0","507","507","0","19,782","3","0","20,292"
"10007761","Courtauld Institute of Art","2,935","5,361","8,296","0","8,498","598","30","17,422"
"10001726","Coventry University","82,320","87,363","169,683","0","117,649","15,741","11,593","314,666"
"10007822","Cranfield University","40,854","44,908","85,762","0","73,260","11,490","2,523","173,035"
"10006427","University for the Creative Arts","12,796","22,129","34,925","0","22,294","2,691","1,117","61,027"
"10007842","University of Cumbria","20,974","19,706","40,680","2,907","16,930","2,858","1,372","64,747"
"10001883","De Montfort University","54,167","51,892","106,059","586","65,007","11,673","7,598","190,923"
"10007851","University of Derby","43,804","50,431","94,235","691","53,052","14,131","3,306","165,415"
"10007852","The University of Dundee","80,514","61,842","142,356","103","87,448","19,417","2,552","251,876"
