﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007783","The University of Aberdeen","980","130","95","145","35","10","35","1,430"
"10007849","Abertay University","95","35","25","45","5","5","5","215"
"10007856","Aberystwyth University","445","60","95","100","20","20","0","750"
"10000163","AECC University College","15","0","35","5","0","0","0","55"
"10000291","Anglia Ruskin University","495","245","60","75","10","10","0","900"
"10007759","Aston University","660","75","60","40","5","5","0","845"
"10007857","Bangor University","555","250","70","115","15","10","5","1,020"
"10000571","Bath Spa University","235","200","85","80","10","5","60","675"
"10007850","The University of Bath","1,090","60","75","55","5","5","175","1,465"
"10007152","University of Bedfordshire","230","130","80","55","15","0","20","530"
"10005343","Queen's University Belfast","1,490","200","20","190","0","0","5","1,905"
"10007760","Birkbeck College","590","225","20","70","10","0","285","1,200"
"10007140","Birmingham City University","400","575","345","305","50","65","170","1,910"
"10006840","The University of Birmingham","2,565","735","240","350","70","55","5","4,020"
"10000712","University College Birmingham","15","100","55","55","50","20","0","295"
"10007832","Birmingham Newman University","65","35","15","20","5","0","0","145"
"10007811","Bishop Grosseteste University","55","35","10","10","0","0","5","110"
"10006841","The University of Bolton","115","120","75","45","10","5","0","365"
"10000385","The Arts University Bournemouth","30","165","30","120","20","15","0","380"
"10000824","Bournemouth University","555","185","90","70","20","15","0","935"
"10007785","The University of Bradford","335","125","20","40","5","0","20","545"
"10000886","The University of Brighton","730","490","200","175","20","5","40","1,665"
"10000936","The University College of Osteopathy","10","10","30","30","15","5","5","100"
"10007786","The University of Bristol","2,420","350","110","170","5","10","215","3,285"
"10000961","Brunel University London","660","240","50","85","30","10","70","1,145"
"10000975","Buckinghamshire New University","80","165","40","55","25","5","30","395"
"10007787","The University of Buckingham","75","40","5","30","0","0","25","175"
"10007788","The University of Cambridge","4,435","580","220","310","45","20","600","6,215"
"10003324","The Institute of Cancer Research","330","65","95","120","20","15","20","665"
"10001143","Canterbury Christ Church University","260","220","145","115","10","10","0","755"
"10007814","Cardiff University","2,270","560","95","195","35","55","120","3,330"
"10007854","Cardiff Metropolitan University","265","225","80","120","10","10","0","715"
"10007141","The University of Central Lancashire","495","390","175","215","20","30","280","1,610"
"10007848","University of Chester","365","225","50","20","5","0","0","665"
"10007137","The University of Chichester","145","140","100","75","40","20","0","520"
"10001478","City, University of London","920","615","280","175","50","35","45","2,125"
"10001653","Conservatoire for Dance and Drama","5","35","70","90","55","30","25","310"
"10007761","Courtauld Institute of Art","30","0","5","0","0","0","0","40"
"10001726","Coventry University","1,155","525","475","350","70","55","0","2,630"
"10007822","Cranfield University","420","85","105","40","5","20","5","680"
"10006427","University for the Creative Arts","40","115","95","65","15","20","15","365"
"10007842","University of Cumbria","125","185","95","70","10","5","0","485"
"10001883","De Montfort University","590","375","280","175","30","20","70","1,540"
"10007851","University of Derby","440","490","255","160","80","35","0","1,460"
"10007852","The University of Dundee","850","235","45","195","20","35","15","1,405"
"10007143","University of Durham","1,360","250","20","70","5","15","5","1,720"
"10007789","The University of East Anglia","1,105","460","135","230","10","30","30","1,995"
"10007144","The University of East London","330","235","115","95","15","10","35","830"
"10007823","Edge Hill University","335","350","205","125","15","5","5","1,040"
"10007772","Edinburgh Napier University","405","150","135","110","20","5","15","840"
"10007790","The University of Edinburgh","2,225","560","1,040","780","185","95","2,430","7,310"
"10007791","The University of Essex","645","280","85","50","10","10","240","1,320"
"10007792","The University of Exeter","1,860","180","155","125","10","30","450","2,810"
"10008640","Falmouth University","60","115","65","50","10","10","0","310"
"10004511","The National Film and Television School","0","5","10","10","0","0","5","35"
"10007762","Glasgow Caledonian University","405","155","60","100","10","5","5","745"
"10002681","Glasgow School of Art","40","60","25","90","5","0","0","225"
"10007794","The University of Glasgow","2,790","100","70","270","15","840","185","4,275"
"10007145","University of Gloucestershire","235","180","110","60","15","5","5","610"
"10002718","Goldsmiths College","500","350","110","90","20","5","85","1,160"
"10007146","The University of Greenwich","520","355","80","120","15","5","180","1,275"
"10007825","Guildhall School of Music and Drama","45","190","205","220","60","45","0","765"
"10040812","Harper Adams University","80","25","20","35","10","5","10","190"
