﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","01 Medicine and dentistry","02 Subjects allied to medicine","03 Biological and sport sciences","04 Psychology","05 Veterinary sciences","06 Agriculture, food and related studies","07 Physical sciences","09 Mathematical sciences","10 Engineering and technology","11 Computing","13 Architecture, building and planning","26 Geography, earth and environmental studies (natural sciences)","15 Social sciences","16 Law","17 Business and management","19 Language and area studies","20 Historical, philosophical and religious studies","22 Education and teaching","23 Combined and general studies","24 Media, journalism and communications","25 Design, and creative and performing arts","26 Geography, earth and environmental studies (social sciences)","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","1,010","0","0","0","0","0","0","0","0","0","0","0","1,010"
"10007783","The University of Aberdeen","1,480","875","1,160","815","0","10","470","130","1,280","405","50","395","1,340","1,310","1,755","655","855","1,930","1,300","40","225","70","16,565"
"10007849","Abertay University","0","485","360","400","0","165","90","0","120","970","55","0","420","210","750","0","0","35","0","0","730","0","4,790"
"10007856","Aberystwyth University","0","60","775","420","0","430","270","145","105","710","0","265","630","310","535","840","335","1,020","0","420","450","130","7,845"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","920","0","960"
"10000163","AECC University College","0","975","35","10","0","0","0","0","0","0","0","0","5","0","0","0","0","0","5","0","0","0","1,035"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","60"
"10000291","Anglia Ruskin University","445","8,660","825","855","75","105","390","0","1,125","1,195","1,255","0","4,735","710","12,055","265","235","770","60","275","1,165","0","35,195"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","430","0","0","0","0","0","0","0","430"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","920","0","0","0","0","920"
"10005451","Arden University","0","75","0","1,960","0","0","0","0","5","1,280","0","0","2,745","820","7,995","0","0","30","0","0","210","0","15,120"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","345","0","345"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","145","0","0","0","0","0","0","0","0","0","0","850","0","0","0","0","0","0","0","995"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,660","0","0","0","0","0","0","0","1,660"
"10007759","Aston University","435","2,775","235","890","0","0","195","275","2,180","1,990","185","0","1,425","760","5,495","355","40","260","90","15","0","0","17,595"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","0","0","205"
"10007857","Bangor University","145","1,870","1,490","1,375","0","325","10","0","225","270","0","355","755","540","1,230","585","350","495","0","170","225","95","10,505"
"10000571","Bath Spa University","0","185","110","515","0","0","120","0","110","255","1,280","165","500","70","4,020","550","200","2,100","0","595","2,465","0","13,240"
"10007850","The University of Bath","60","1,290","1,625","1,105","0","0","1,240","1,125","3,140","1,555","640","0","3,095","0","3,095","420","0","455","40","0","0","0","18,890"
"10007152","University of Bedfordshire","0","1,775","515","440","0","105","75","0","470","1,605","45","25","3,045","255","6,080","190","0","1,100","10","180","510","0","16,430"
"10005343","Queen's University Belfast","2,130","4,750","860","1,010","0","350","700","500","2,045","2,360","660","305","2,250","1,415","2,745","920","635","675","45","250","560","125","25,295"
"10037544","BIMM University","0","0","0","0","0","0","0","0","210","0","0","0","0","0","410","0","0","50","0","35","6,345","0","7,045"
"10007760","Birkbeck College","0","405","340","1,675","0","0","90","265","0","930","0","230","1,430","740","1,555","1,005","1,065","165","65","400","140","160","10,660"
"10007140","Birmingham City University","0","8,445","410","1,280","0","20","0","25","1,340","2,010","1,255","0","2,250","1,680","5,045","270","5","2,075","140","840","3,200","0","30,285"
"10006840","The University of Birmingham","3,000","2,980","2,035","1,260","0","80","1,430","845","3,685","1,815","190","1,000","5,140","1,840","5,225","2,245","2,050","2,045","355","60","635","80","37,990"
"10000712","University College Birmingham","0","520","475","0","0","825","0","0","0","35","485","0","570","0","1,585","0","0","135","0","0","540","0","5,170"
"10007832","Birmingham Newman University","0","315","100","225","0","0","0","20","0","30","0","0","425","55","100","90","305","1,070","5","0","30","0","2,760"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","70"
"10007811","Bishop Grosseteste University","0","70","60","110","0","0","0","5","0","0","0","0","200","0","130","75","135","1,500","30","0","50","0","2,370"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","150","945","0","0","0","0","0","0","0","1,095"
"10006841","The University of Bolton","0","2,575","240","415","0","0","0","10","875","805","105","10","1,555","185","2,620","65","0","650","5","25","855","0","10,995"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","165","0","0","0","115","100","0","0","0","0","3,350","0","3,725"
"10000824","Bournemouth University","5","3,870","920","1,155","0","0","445","0","365","1,910","0","190","1,290","570","4,310","185","565","40","40","900","1,130","60","17,960"
"10031982","BPP University","0","710","0","290","0","0","0","0","0","465","0","0","360","7,025","6,955","0","0","45","60","0","0","0","15,910"
"10007785","The University of Bradford","0","4,875","370","360","0","0","265","0","905","860","0","0","1,220","475","2,455","0","5","0","0","65","25","0","11,885"
"10000886","The University of Brighton","665","4,120","765","695","0","0","60","95","780","610","565","235","1,605","410","1,995","430","220","1,455","245","835","2,010","45","17,835"
"10000936","The University College of Osteopathy","0","475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","475"
"10007786","The University of Bristol","2,075","1,590","1,520","925","1,210","55","1,690","1,455","3,290","1,180","0","1,140","4,135","1,915","3,265","1,930","1,855","1,300","210","0","725","25","31,485"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","15"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","0","0","0","0","0","160"
"10000961","Brunel University London","5","1,360","1,510","1,325","0","0","0","285","3,330","2,085","0","190","1,605","1,160","4,195","250","120","615","85","220","310","5","18,655"
"10000975","Buckinghamshire New University","25","3,100","545","300","0","0","5","0","135","485","10","0","1,965","640","11,995","0","0","505","0","270","600","0","20,570"
"10007787","The University of Buckingham","685","55","0","155","0","0","0","0","0","245","0","0","120","290","320","90","130","1,305","5","10","15","0","3,430"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","100","0","120"
"10007788","The University of Cambridge","1,810","750","1,135","345","390","10","1,380","1,180","2,690","645","540","895","2,325","1,080","955","2,310","2,545","1,260","0","65","250","60","22,610"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145","0","0","0","0","0","145"
"10003324","The Institute of Cancer Research","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365"
"10001143","Canterbury Christ Church University","140","3,495","595","725","0","75","175","40","150","395","0","15","1,235","645","12,195","290","325","2,930","295","280","655","0","24,660"
