﻿Title:,"Table 8 - HE academic staff by HE provider and highest qualification held"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE Provider","Doctorate","Other higher degree","Other postgraduate qualification","First degree","Other undergraduate qualification","Other","Unknown","Total academic staff"
"10007783","The University of Aberdeen","1,030","250","95","185","25","15","25","1,620"
"10007849","Abertay University","95","30","30","50","5","5","10","225"
"10007856","Aberystwyth University","425","65","95","75","15","20","5","700"
"10067853","ACM Guildford Limited","10","10","35","40","10","10","0","110"
"10000163","AECC University College","15","5","35","5","0","0","0","60"
"10000291","Anglia Ruskin University","510","250","80","65","10","10","0","920"
"10005451","Arden University","100","180","20","35","0","0","0","335"
"10007759","Aston University","695","105","75","55","10","5","0","950"
"10038772","British Academy of Jewellery Limited","0","0","10","5","0","0","0","20"
"10007857","Bangor University","515","220","70","175","10","10","0","1,010"
"10000571","Bath Spa University","215","180","75","70","5","5","70","625"
"10007850","The University of Bath","1,100","55","105","70","5","10","180","1,525"
"10007152","University of Bedfordshire","205","135","100","55","10","0","25","540"
"10005343","Queen's University Belfast","1,655","210","30","140","0","0","5","2,045"
"10037544","BIMM University","30","165","185","175","70","45","155","820"
"10007760","Birkbeck College","620","230","75","55","15","0","50","1,040"
"10007140","Birmingham City University","485","545","440","275","50","70","160","2,025"
"10006840","The University of Birmingham","2,455","495","165","285","40","40","620","4,100"
"10000712","University College Birmingham","10","75","55","40","35","10","0","225"
"10007832","Birmingham Newman University","60","40","25","20","5","0","0","140"
"10007811","Bishop Grosseteste University","75","30","15","10","0","0","5","135"
"10004061","Bloomsbury Institute","10","10","10","0","0","0","5","35"
"10006841","The University of Bolton","130","150","80","90","15","5","0","465"
"10000385","The Arts University Bournemouth","45","180","25","120","15","15","0","395"
"10000824","Bournemouth University","570","170","70","80","25","15","0","930"
"10007785","The University of Bradford","325","130","25","55","15","10","10","565"
"10000886","The University of Brighton","735","390","200","135","15","5","35","1,510"
"10000936","The University College of Osteopathy","10","5","20","10","5","0","5","60"
"10007786","The University of Bristol","2,585","405","190","175","10","10","225","3,595"
"10000961","Brunel University London","880","270","40","90","20","10","10","1,315"
"10000975","Buckinghamshire New University","115","230","75","60","15","10","10","515"
"10007788","The University of Cambridge","4,575","775","180","290","30","25","260","6,130"
"10003324","The Institute of Cancer Research","370","75","95","105","10","10","15","680"
"10001143","Canterbury Christ Church University","285","160","140","130","10","10","10","745"
"10007814","Cardiff University","2,310","475","195","215","30","45","125","3,400"
"10007854","Cardiff Metropolitan University","310","235","85","115","10","10","5","770"
"10007141","The University of Central Lancashire","430","340","115","195","5","20","605","1,710"
"10024024","Central Film School London","0","0","0","0","0","0","0","5"
"10007848","University of Chester","345","200","55","40","5","0","0","645"
"10007137","The University of Chichester","145","135","95","80","40","20","0","510"
"10001386","Chicken Shed Theatre Company","0","0","0","20","0","5","0","25"
"10001478","City, University of London","835","540","185","120","30","20","20","1,750"
"10007912","Cliff College","10","0","0","0","0","0","0","10"
"10066502","The College of Health Ltd","0","0","5","0","0","0","0","5"
"10001653","Conservatoire for Dance and Drama","5","25","35","30","20","10","5","130"
"10007761","Courtauld Institute of Art","45","15","20","0","0","0","0","80"
"10034324","Court Theatre Training Company Ltd","0","5","0","0","5","0","0","10"
"10001726","Coventry University","1,220","430","690","380","80","90","0","2,890"
"10007822","Cranfield University","500","65","105","35","5","15","5","730"
"10006427","University for the Creative Arts","70","130","100","85","15","15","25","440"
"10007842","University of Cumbria","115","185","100","100","15","5","0","520"
"10001883","De Montfort University","645","425","250","180","35","15","85","1,635"
"10007851","University of Derby","470","460","225","145","45","30","30","1,410"
"10007852","The University of Dundee","940","250","40","160","15","25","15","1,445"
"10007143","University of Durham","1,550","355","50","200","15","35","105","2,310"
"10007789","The University of East Anglia","1,105","455","145","215","10","25","25","1,980"
"10007144","The University of East London","355","225","170","95","20","10","55","930"
"10032282","The Queen's Foundation for Ecumenical Theological Education","10","0","0","0","0","0","0","15"
"10007823","Edge Hill University","355","305","160","85","10","5","30","945"
"10007772","Edinburgh Napier University","530","120","130","90","15","5","5","890"
"10007790","The University of Edinburgh","2,585","505","1,245","750","125","140","2,370","7,725"
"10042570","Escape Studios","10","15","10","5","0","0","0","40"
"10007791","The University of Essex","810","340","90","40","15","10","195","1,500"
"10008173","University College of Estate Management","25","40","30","5","0","0","0","105"
"10007792","The University of Exeter","2,085","225","240","690","20","25","295","3,585"
"10008640","Falmouth University","70","140","65","70","10","15","15","380"
"10004511","The National Film and Television School","5","10","15","25","5","5","0","70"
"10022087","Futureworks","0","5","10","5","5","0","0","25"
