﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007783","The University of Aberdeen","375","410","645","0","1,430"
"10007849","Abertay University","15","15","185","0","215"
"10007856","Aberystwyth University","295","170","285","0","750"
"10000163","AECC University College","0","0","50","0","55"
"10000291","Anglia Ruskin University","175","25","705","0","900"
"10007759","Aston University","240","150","455","0","845"
"10007857","Bangor University","465","215","320","20","1,020"
"10000571","Bath Spa University","250","5","415","5","675"
"10007850","The University of Bath","350","345","775","0","1,465"
"10007152","University of Bedfordshire","55","10","445","15","530"
"10005343","Queen's University Belfast","275","685","945","0","1,905"
"10007760","Birkbeck College","620","125","450","0","1,200"
"10007140","Birmingham City University","105","30","1,770","5","1,910"
"10006840","The University of Birmingham","1,030","1,385","1,590","10","4,020"
"10000712","University College Birmingham","295","0","0","0","295"
"10007832","Birmingham Newman University","0","0","130","10","145"
"10007811","Bishop Grosseteste University","5","5","95","5","110"
"10006841","The University of Bolton","30","5","320","10","365"
"10000385","The Arts University Bournemouth","240","5","135","5","380"
"10000824","Bournemouth University","160","35","735","5","935"
"10007785","The University of Bradford","30","50","460","5","545"
"10000886","The University of Brighton","125","145","1,390","0","1,665"
"10000936","The University College of Osteopathy","90","0","5","5","100"
"10007786","The University of Bristol","515","1,430","1,330","10","3,285"
"10000961","Brunel University London","400","160","580","0","1,145"
"10000975","Buckinghamshire New University","140","0","250","0","395"
"10007787","The University of Buckingham","70","10","85","15","175"
"10007788","The University of Cambridge","245","4,295","1,670","10","6,215"
"10003324","The Institute of Cancer Research","0","600","65","0","665"
"10001143","Canterbury Christ Church University","20","25","690","20","755"
"10007814","Cardiff University","1,015","1,065","1,250","5","3,330"
"10007854","Cardiff Metropolitan University","255","15","440","5","715"
"10007141","The University of Central Lancashire","170","115","1,315","5","1,610"
"10007848","University of Chester","5","25","630","10","665"
"10007137","The University of Chichester","245","15","255","5","520"
"10001478","City, University of London","1,280","135","705","0","2,125"
"10001653","Conservatoire for Dance and Drama","300","0","5","5","310"
"10007761","Courtauld Institute of Art","5","5","30","0","40"
"10001726","Coventry University","750","10","1,850","20","2,630"
"10007822","Cranfield University","90","230","325","35","680"
"10006427","University for the Creative Arts","120","0","235","10","365"
"10007842","University of Cumbria","20","0","455","10","485"
"10001883","De Montfort University","550","10","980","0","1,540"
"10007851","University of Derby","605","20","835","0","1,460"
"10007852","The University of Dundee","405","615","360","25","1,405"
"10007143","University of Durham","280","440","940","60","1,720"
"10007789","The University of East Anglia","910","355","730","0","1,995"
"10007144","The University of East London","205","25","595","5","830"
"10007823","Edge Hill University","410","30","600","0","1,040"
"10007772","Edinburgh Napier University","215","60","550","10","840"
"10007790","The University of Edinburgh","3,055","2,040","2,210","5","7,310"
"10007791","The University of Essex","620","145","555","0","1,320"
"10007792","The University of Exeter","805","885","1,115","0","2,810"
"10008640","Falmouth University","75","15","220","0","310"
"10004511","The National Film and Television School","35","0","0","0","35"
"10007762","Glasgow Caledonian University","40","100","600","5","745"
"10002681","Glasgow School of Art","0","30","185","5","225"
"10007794","The University of Glasgow","1,725","1,285","1,250","10","4,275"
"10007145","University of Gloucestershire","455","10","135","5","610"
"10002718","Goldsmiths College","605","70","485","0","1,160"
"10007146","The University of Greenwich","470","65","740","0","1,275"
"10007825","Guildhall School of Music and Drama","680","5","20","60","765"
"10040812","Harper Adams University","130","5","50","5","190"
"10080811","Hartpury University","75","5","0","0","80"
"10007764","Heriot-Watt University","125","270","420","5","820"
"10007147","University of Hertfordshire","730","45","1,165","20","1,960"
"10007148","The University of Huddersfield","5","150","770","0","925"
"10007149","The University of Hull","495","155","365","10","1,025"
"10003270","Imperial College of Science, Technology and Medicine","360","2,520","1,510","0","4,390"
"10007767","Keele University","200","110","495","0","805"
"10007150","The University of Kent","550","205","760","5","1,520"
"10003645","King's College London","1,420","1,910","1,890","0","5,220"
"10003678","Kingston University","60","60","900","0","1,020"
"10007768","The University of Lancaster","720","390","970","20","2,100"
"10003854","Leeds Arts University","85","5","80","5","170"
"10003861","Leeds Beckett University","360","0","940","0","1,300"
"10034449","Leeds Conservatoire","160","0","0","25","180"
"10007795","The University of Leeds","825","1,170","1,790","0","3,785"
"10003863","Leeds Trinity University","10","0","155","0","170"
"10007796","The University of Leicester","430","495","775","5","1,705"
"10007151","The University of Lincoln","835","80","420","0","1,335"
"10003956","Liverpool Hope University","80","0","220","5","305"
"10003957","Liverpool John Moores University","405","105","1,045","0","1,550"
"10003945","The Liverpool Institute for Performing Arts","85","0","0","0","85"
"10006842","The University of Liverpool","890","910","1,195","10","3,005"
"10003958","Liverpool School of Tropical Medicine","15","120","75","15","225"
"10007162","University of the Arts, London","1,820","0","395","0","2,215"
"10007769","London Business School","0","5","105","10","120"
"10007797","University of London (Institutes and activities)","15","35","40","15","100"
"10004048","London Metropolitan University","355","0","45","20","420"
"10004078","London South Bank University","780","45","295","5","1,125"
"10004063","London School of Economics and Political Science","645","440","640","0","1,725"
"10007771","London School of Hygiene and Tropical Medicine","15","410","540","0","965"
"10004113","Loughborough University","450","325","875","0","1,650"
"10004180","The Manchester Metropolitan University","1,045","100","1,525","55","2,725"
"10007798","The University of Manchester","945","2,125","2,010","0","5,080"
"10004351","Middlesex University","60","55","915","0","1,030"
"10007799","Newcastle University","600","1,095","1,310","0","3,010"
"10007138","The University of Northampton","240","10","585","5","835"
"10001282","University of Northumbria at Newcastle","100","95","1,285","0","1,480"
"10004775","Norwich University of the Arts","140","0","70","0","210"
"10007154","University of Nottingham","700","1,210","1,580","0","3,495"
"10004797","The Nottingham Trent University","1,675","0","505","0","2,185"
"10007773","The Open University","3,950","150","870","30","5,005"
"10004930","Oxford Brookes University","575","50","755","0","1,380"
"10007774","The University of Oxford","145","4,860","1,880","20","6,905"
"10005127","Arts University Plymouth","60","0","70","5","135"
"10007801","University of Plymouth","525","180","525","20","1,250"
"10007155","The University of Portsmouth","505","15","1,180","5","1,705"
"10005337","Queen Margaret University, Edinburgh","5","25","230","5","260"
"10007775","Queen Mary University of London","1,310","860","1,065","5","3,235"
"10005389","Ravensbourne University London","230","0","15","0","245"
"10007802","The University of Reading","800","420","705","0","1,925"
"10005500","Robert Gordon University","120","45","485","5","655"
"10007776","Roehampton University","270","10","280","5","570"
"10005523","Rose Bruford College of Theatre and Performance","0","0","70","0","70"
"10007835","Royal Academy of Music","270","0","30","0","305"
"10005545","Royal Agricultural University","10","0","50","0","60"
"10007777","Royal College of Art","10","30","130","5","175"
"10007778","Royal College of Music","240","5","35","0","280"
"10005561","Royal Conservatoire of Scotland","220","5","110","0","340"
"10007816","The Royal Central School of Speech and Drama","5","5","80","0","85"
"10005553","Royal Holloway and Bedford New College","480","130","535","5","1,150"
"10007837","Royal Northern College of Music","295","0","25","0","325"
"10007779","The Royal Veterinary College","65","90","160","0","315"
"10007803","The University of St. Andrews","180","370","670","0","1,225"
"10007782","St George's, University of London","315","140","110","0","565"
"10008026","St Mary's University College","25","0","40","0","65"
"10007843","St Mary's University, Twickenham","145","0","245","5","395"
"10007156","The University of Salford","155","30","840","5","1,035"
"10007780","SOAS University of London","365","55","280","5","700"
"10005700","SRUC","190","115","5","90","405"
"10005790","Sheffield Hallam University","475","175","1,485","0","2,130"
"10007157","The University of Sheffield","600","1,520","1,370","0","3,495"
"10006022","Solent University","225","30","425","0","685"
"10007158","The University of Southampton","470","1,015","1,245","0","2,735"
"10006299","Staffordshire University","565","5","205","0","775"
"10007804","The University of Stirling","460","150","435","0","1,045"
"10037449","University of St Mark and St John","10","0","80","0","90"
"10008010","Stranmillis University College","10","0","40","0","55"
"10007805","The University of Strathclyde","280","570","700","145","1,695"
"10014001","University of Suffolk","5","5","210","5","225"
"10007159","The University of Sunderland","490","10","435","5","940"
"10007160","The University of Surrey","525","305","635","0","1,470"
"10007806","The University of Sussex","720","415","855","5","2,000"
"10007855","Swansea University","605","510","615","5","1,730"
"10007161","Teesside University","30","50","635","0","720"
"10008017","Trinity Laban Conservatoire of Music and Dance","400","0","20","0","425"
"10007858","University of Wales Trinity Saint David","230","10","495","15","750"
"10007114","University of the Highlands and Islands","20","35","20","20","95"
"10007807","Ulster University","465","195","630","5","1,300"
"10007784","University College London","1,250","3,680","2,770","5","7,700"
"10007793","University of South Wales","940","55","725","10","1,730"
"10008574","The University of Wales (central functions)","0","15","0","15","30"
"10007163","The University of Warwick","635","855","1,140","5","2,635"
"10007164","University of the West of England, Bristol","430","5","1,445","10","1,895"
"10007800","The University of the West of Scotland","45","20","535","5","605"
"10006566","The University of West London","910","0","105","0","1,015"
"10007165","The University of Westminster","765","70","805","5","1,645"
"10003614","The University of Winchester","510","20","165","20","710"
"10007166","The University of Wolverhampton","60","40","810","0","910"
"10007139","University of Worcester","560","20","370","10","965"
"10007833","Wrexham University","15","5","170","15","205"
"10007657","Writtle University College","95","0","5","5","105"
"10007713","York St John University","40","0","340","0","380"
"10007167","The University of York","415","645","880","0","1,935"
"","Total","66,355","50,855","98,600","1,255","217,065"
