﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE Provider","Antrim and Newtownabbey","Armagh, Banbridge and Craigavon","Belfast","Causeway Coast and Glens","Derry and Strabane","Fermanagh and Omagh","Lisburn and Castlereagh","Mid Ulster","Mid and East Antrim","North Down and Ards","Newry, Mourne and Down","Northern Ireland (district council area unknown)","Total Northern Ireland","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"10007783","The University of Aberdeen","15","30","25","10","10","10","15","10","10","30","10","0","180","11,870"
"10007849","Abertay University","0","5","5","0","0","0","5","0","5","5","5","0","25","4,190"
"10007856","Aberystwyth University","5","5","10","0","5","5","5","0","5","5","10","0","55","6,495"
"10067853","ACM Guildford Limited","0","0","0","0","0","0","0","0","0","0","0","0","5","920"
"10000163","AECC University College","0","0","0","0","0","0","0","5","0","0","0","0","15","715"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","55"
"10000291","Anglia Ruskin University","5","5","15","0","5","5","5","5","0","10","5","0","70","28,025"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","430"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","920"
"10005451","Arden University","0","0","0","0","0","0","0","0","0","0","0","0","5","15,050"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","300"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","935"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"10007759","Aston University","0","5","5","0","5","0","0","0","0","0","5","0","25","14,530"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","205"
"10007857","Bangor University","0","10","10","5","0","5","0","5","5","15","5","0","65","8,180"
"10000571","Bath Spa University","5","5","0","0","5","0","5","0","0","5","5","0","35","12,695"
"10007850","The University of Bath","5","10","25","5","0","5","20","5","5","15","10","0","115","14,120"
"10007152","University of Bedfordshire","5","0","0","0","0","0","5","5","0","0","5","0","25","10,395"
"10005343","Queen's University Belfast","1,480","2,320","3,300","1,005","1,200","1,100","1,810","1,450","1,300","1,455","2,025","20","18,460","20,120"
"10037544","BIMM University","5","0","5","0","5","0","5","5","0","0","5","0","30","6,265"
"10007760","Birkbeck College","0","0","0","0","0","0","0","0","0","0","0","0","5","9,245"
"10007140","Birmingham City University","10","10","15","5","5","5","5","5","10","10","5","0","80","25,445"
"10006840","The University of Birmingham","10","10","25","10","5","5","10","5","5","5","10","0","100","28,430"
"10000712","University College Birmingham","0","0","0","0","5","0","0","5","0","0","0","0","15","3,955"
"10007832","Birmingham Newman University","0","0","0","0","0","0","0","0","0","0","0","0","5","2,745"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","65"
"10007811","Bishop Grosseteste University","0","0","0","0","0","5","0","0","0","0","0","0","5","2,315"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","780"
"10006841","The University of Bolton","5","5","0","0","5","0","0","0","0","5","0","0","25","9,255"
"10000385","The Arts University Bournemouth","0","0","5","0","0","5","5","0","0","5","0","0","25","3,145"
"10000824","Bournemouth University","0","5","5","5","5","0","5","0","5","10","0","0","40","15,180"
"10031982","BPP University","5","0","10","5","0","0","0","0","5","0","5","0","30","7,385"
"10007785","The University of Bradford","0","5","5","0","0","0","0","0","0","5","0","0","15","8,530"
"10000886","The University of Brighton","10","5","15","5","5","5","10","5","10","15","10","0","95","15,440"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","430"
"10007786","The University of Bristol","10","15","45","10","10","15","20","5","10","20","20","0","180","22,510"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","155"
"10000961","Brunel University London","0","0","5","0","0","0","5","0","0","0","0","0","15","11,650"
"10000975","Buckinghamshire New University","5","5","10","0","5","0","10","0","5","5","0","0","40","18,800"
"10007787","The University of Buckingham","0","0","5","0","0","0","0","0","0","0","0","0","10","2,325"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
"10007788","The University of Cambridge","10","10","50","10","15","10","20","5","5","20","15","0","175","15,405"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","145"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0","0","325"
"10001143","Canterbury Christ Church University","0","5","5","5","0","0","5","5","5","5","5","0","40","23,865"
