﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007783","The University of Aberdeen","1,000","455","1,460"
"10007849","Abertay University","215","0","220"
"10007856","Aberystwyth University","670","120","795"
"10000291","Anglia Ruskin University","875","0","875"
"10007759","Aston University","620","110","730"
"10007857","Bangor University","845","155","1,000"
"10000571","Bath Spa University","605","0","605"
"10007850","The University of Bath","1,105","260","1,370"
"10007152","University of Bedfordshire","590","0","590"
"10005343","Queen's University Belfast","985","680","1,665"
"10007760","Birkbeck College","1,125","0","1,125"
"10007140","Birmingham City University","1,710","160","1,875"
"10006840","The University of Birmingham","2,320","1,305","3,625"
"10000712","University College Birmingham","300","0","300"
"10007832","Birmingham Newman University","155","10","165"
"10007811","Bishop Grosseteste University","95","0","95"
"10006841","The University of Bolton","330","15","345"
"10000385","The Arts University Bournemouth","365","0","365"
"10000824","Bournemouth University","945","10","960"
"10007785","The University of Bradford","540","50","590"
"10000886","The University of Brighton","1,665","80","1,740"
"10000936","The University College of Osteopathy","100","0","100"
"10007786","The University of Bristol","1,620","1,560","3,175"
"10000961","Brunel University London","1,025","110","1,135"
"10000975","Buckinghamshire New University","450","10","460"
"10007787","The University of Buckingham","165","0","165"
"10007788","The University of Cambridge","1,540","4,425","5,965"
"10003324","The Institute of Cancer Research","105","565","665"
"10001143","Canterbury Christ Church University","750","50","800"
"10007814","Cardiff University","2,710","750","3,465"
"10007854","Cardiff Metropolitan University","715","25","740"
"10007141","The University of Central Lancashire","1,365","40","1,405"
"10007848","University of Chester","630","0","630"
"10007137","The University of Chichester","555","5","560"
"10001478","City, University of London","2,000","105","2,105"
"10001653","Conservatoire for Dance and Drama","270","0","270"
"10007761","Courtauld Institute of Art","35","5","40"
"10001726","Coventry University","2,400","0","2,400"
"10007822","Cranfield University","680","0","680"
"10006427","University for the Creative Arts","380","0","380"
"10007842","University of Cumbria","515","0","515"
"10001883","De Montfort University","1,385","15","1,395"
"10007851","University of Derby","530","780","1,310"
"10007852","The University of Dundee","760","665","1,425"
"10007143","University of Durham","1,270","435","1,700"
"10007789","The University of East Anglia","1,410","385","1,800"
"10007144","The University of East London","915","5","920"
"10007823","Edge Hill University","1,020","0","1,020"
"10007772","Edinburgh Napier University","915","0","915"
"10007790","The University of Edinburgh","2,200","2,450","4,650"
"10007791","The University of Essex","1,140","50","1,195"
"10007792","The University of Exeter","1,470","585","2,055"
"10008640","Falmouth University","285","15","300"
"10004511","The National Film and Television School","20","0","20"
"10007762","Glasgow Caledonian University","715","75","790"
