﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE Provider","Abertawe - Swansea","Blaenau Gwent - Blaenau Gwent","Bro Morgannwg - The Vale of Glamorgan","Caerdydd - Cardiff","Caerffili - Caerphilly","Casnewydd - Newport","Castell-Nedd Port Talbot - Neath Port Talbot","Conwy - Conwy","Gwynedd - Gwynedd","Merthyr Tudful - Merthyr Tydfil","Pen-Y-Bont Ar Ogwr - Bridgend","Powys - Powys","Rhondda, Cynon, Taff - Rhondda, Cynon, Taff","Sir Benfro - Pembrokeshire","Sir Ceredigion - Ceredigion","Sir Ddinbych - Denbighshire","Sir Fynwy - Monmouthshire","Sir Gaerfyrddin - Carmarthenshire","Sir Y Fflint - Flintshire","Sir Ynys Môn - Isle of Anglesey","Tor-Faen - Torfaen","Wrecsam - Wrexham","Wales (unitary authority unknown)","Total Wales","Total"
"10008071","AA School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","95"
"10007783","The University of Aberdeen","5","0","0","10","0","0","5","0","0","0","0","5","0","0","0","0","0","5","5","0","0","5","0","60","11,255"
"10007849","Abertay University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3,930"
"10007856","Aberystwyth University","85","35","55","110","90","45","70","65","195","20","60","355","125","145","790","50","65","265","110","55","40","90","0","2,905","6,620"
"10067853","ACM Guildford Limited","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1,120"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","260"
"10000163","AECC University College","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","585"
"10032036","Amity Global Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"10000291","Anglia Ruskin University","5","0","5","15","0","5","5","5","0","0","5","5","5","0","5","0","5","5","5","0","0","0","0","80","25,830"
"10041898","Apex College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170"
"10062759","Applied Business Academy Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220"
"10005451","Arden University","5","0","5","15","5","5","5","5","0","0","5","10","5","5","0","5","0","5","20","0","0","10","0","115","11,735"
"10000381","Arts Educational Schools","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","330"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1,000"
"10003212","Hult International Business School Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60"
"10007759","Aston University","10","5","5","30","10","25","5","10","5","0","10","5","10","5","0","5","10","10","5","0","5","10","0","175","14,145"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"10007857","Bangor University","20","5","15","45","20","10","15","750","1,130","0","15","75","20","20","40","390","10","45","365","740","15","300","0","4,030","7,860"
"10000571","Bath Spa University","45","15","40","75","40","75","25","5","10","10","40","25","40","50","15","0","45","40","5","5","30","10","0","630","8,610"
"10007850","The University of Bath","75","10","85","165","30","60","30","10","10","10","25","25","45","50","30","10","60","40","15","5","5","30","0","820","13,650"
