﻿Title:,"Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 5
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Research income-in-kind (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2021/22 
,Financial year end,All 
Search:,


"","","","","(£000s)","",""
"UKPRN","HE Provider","Financial Year End","1a Biotechnology and Biological Sciences Research Council (BBSRC)","1b Medical Research Council (MRC)","1c Natural Environment Research Council (NERC)","1d Engineering and Physical Sciences Research Council (EPSRC)","1e Economic and Social Research Council (ESRC)","1f Arts & Humanities Research Council (AHRC)","1g Science & Technology Facilities Council (STFC)","1h UK Research and Innovation","1i Other","1j Total Research Councils"
"10007783","The University of Aberdeen","2022-07-31","0","409","19","35","159","0","0","242","0","864"
"10007849","Abertay University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007856","Aberystwyth University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10067853","ACM Guildford Limited","2021-08-31","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10032036","Amity Global Education","2022-03-31","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10005451","Arden University","2021-10-31","0","0","0","0","0","0","0","0","0","0"
"10007759","Aston University","2022-07-31","0","2","0","0","0","0","0","8","0","10"
"10038772","British Academy of Jewellery Limited","2022-06-30","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","2022-07-31","0","266","0","0","0","0","0","0","0","266"
"10000571","Bath Spa University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007850","The University of Bath","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007152","University of Bedfordshire","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10005343","Queen's University Belfast","2022-07-31","1,486","4,086","0","(117)","1,309","0","0","2,337","55","9,156"
"10037544","BIMM University","2021-08-31","0","0","0","0","0","0","0","0","0","0"
"10007760","Birkbeck College","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007140","Birmingham City University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10006840","The University of Birmingham","2022-07-31","2,186","12,318","415","4,960","16","98","0","954","369","21,316"
"10000712","University College Birmingham","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007832","Birmingham Newman University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10004061","Bloomsbury Institute","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10000385","The Arts University Bournemouth","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007785","The University of Bradford","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10000886","The University of Brighton","2022-07-31","71","144","0","0","307","0","0","153","0","675"
"10000936","The University College of Osteopathy","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007786","The University of Bristol","2022-07-31","786","10,852","95","174","475","0","0","1,227","14","13,623"
"10000961","Brunel University London","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10000975","Buckinghamshire New University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007788","The University of Cambridge","2022-07-31","2,663","47,057","8","3,240","190","(2)","0","216","688","54,060"
"10003324","The Institute of Cancer Research","2022-07-31","0","1,094","0","0","0","0","0","0","0","1,094"
"10001143","Canterbury Christ Church University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007814","Cardiff University","2022-07-31","540","3,545","0","64","694","0","0","418","56","5,317"
"10007854","Cardiff Metropolitan University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10001264","Central School of Ballet","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007141","The University of Central Lancashire","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10024024","Central Film School London","2021-09-30","0","0","0","0","0","0","0","0","0","0"
"10007848","University of Chester","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007137","The University of Chichester","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10001386","Chicken Shed Theatre Company","2022-03-31","0","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007912","Cliff College","2021-08-31","0","0","0","0","0","0","0","0","0","0"
"10066502","The College of Health Ltd","2021-08-31","0","0","0","0","0","0","0","0","0","0"
"10007761","Courtauld Institute of Art","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10034324","Court Theatre Training Company Ltd","2021-08-31","0","0","0","0","0","0","0","0","0","0"
"10001726","Coventry University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007822","Cranfield University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10006427","University for the Creative Arts","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007842","University of Cumbria","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10001883","De Montfort University","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007851","University of Derby","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007852","The University of Dundee","2022-07-31","1,163","2,240","129","128","142","0","17","0","0","3,819"
"10007143","University of Durham","2022-07-31","0","0","0","0","0","0","0","0","0","0"
"10007789","The University of East Anglia","2022-07-31","229","161","0","0","0","0","0","0","0","390"
"10007144","The University of East London","2022-07-31","0","0","0","0","0","0","0","0","0","0"
