﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff","Managers, directors and senior officials ","Professional occupations ","Associate professional occupations ","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total non-academic staff","Total"
"10007783","The University of Aberdeen","0","1,450","5","0","1,460","55","320","440","630","70","70","5","25","275","1,885","3,345"
"10007849","Abertay University","0","215","5","0","220","15","60","55","90","10","5","0","0","60","300","515"
"10007856","Aberystwyth University","0","785","10","0","795","70","330","270","325","90","65","85","15","170","1,420","2,210"
"10000291","Anglia Ruskin University","10","845","15","0","875","70","215","235","455","25","5","15","5","70","1,095","1,970"
"10007759","Aston University","0","725","0","0","730","80","140","230","230","20","30","10","5","130","875","1,605"
"10007857","Bangor University","5","975","20","0","1,000","65","105","255","380","45","60","0","15","285","1,205","2,205"
"10000571","Bath Spa University","5","595","0","0","605","15","130","115","170","25","25","5","0","65","545","1,150"
"10007850","The University of Bath","0","1,370","0","0","1,370","155","405","375","505","80","70","25","20","365","2,005","3,370"
"10007152","University of Bedfordshire","0","575","15","0","590","15","110","180","230","10","30","10","0","40","625","1,215"
"10005343","Queen's University Belfast","0","1,650","15","0","1,665","30","555","375","720","45","80","15","0","190","2,010","3,675"
"10007760","Birkbeck College","0","1,125","0","0","1,125","25","150","150","280","25","5","5","0","20","660","1,790"
"10007140","Birmingham City University","5","1,835","30","0","1,875","80","340","185","540","20","20","0","5","25","1,220","3,095"
"10006840","The University of Birmingham","10","3,580","35","0","3,625","315","510","1,050","1,110","180","150","45","15","530","3,905","7,530"
"10000712","University College Birmingham","0","300","0","0","300","20","60","45","80","10","10","15","0","80","325","625"
"10007832","Birmingham Newman University","0","160","5","0","165","20","25","30","65","5","5","0","0","30","180","345"
"10007811","Bishop Grosseteste University","5","95","0","0","95","15","40","45","60","5","30","0","0","15","205","300"
