﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007783","The University of Aberdeen","","109,777.725","27.731","41.739","78.803",""
"10007849","Abertay University","2,189,745.713","","","5.017","","59.300"
"10007856","Aberystwyth University","10,103,017.671","140,065.030","","64.981","99.166","633.000"
"10000163","AECC University College","407,527.777","2,997.000","","0.355","2.122","53.940"
"10000291","Anglia Ruskin University","6,126,806.727","69,641.925","10.834","25.217","49.306","510.048"
"10007759","Aston University","7,012,946.553","196,157.000","12.740","67.478","138.879","646.750"
"10007857","Bangor University","8,202,167.967","129,499.062","107.051","48.562","91.711","818.440"
"10000571","Bath Spa University","2,789,862.419","63,594.130","","23.027","45.237","520.542"
"10007850","The University of Bath","16,439,922.721","266,688.000","","101.934","188.815","2,181.100"
"10007152","University of Bedfordshire","4,288,094.844","40,023.899","3.690","15.298","29.966","352.357"
"10005343","Queen's University Belfast","21,882,773.322","250,442.000","89.253","90.686","250.045","7,801.443"
"10007760","Birkbeck College","2,115,372.254","10,201.000","5.800","11.697","7.222","266.000"
"10007140","Birmingham City University","10,109,830.288","78,539.000","","27.017","55.606","823.255"
"10006840","The University of Birmingham","48,165,403.768","452,841.000","58.900","155.777","320.611","30,856.700"
"10000712","University College Birmingham","3,076,846.204","85,948.000","","29.566","60.851","2,287.300"
"10007832","Birmingham Newman University","1,062,460.901","9,735.000","","4.543","6.892","76.000"
"10007811","Bishop Grosseteste University","453,753.682","32,465.300","532.790","11.756","23.150","330.321"
"10006841","The University of Bolton","2,354,182.077","37,489.000","","12.897","26.861","1,275.000"
"10000385","The Arts University Bournemouth","1,249,838.108","19,857.250","6.475","7.163","14.059","302.779"
"10000824","Bournemouth University","3,891,117.236","43,409.300","","15.719","31.154","26,252.698"
"10007785","The University of Bradford","8,024,179.063","67,389.000","5.900","24.402","47.938","407.846"
"10000886","The University of Brighton","8,197,849.976","108,814.000","20.022","46.653","77.064","957.869"
"10000936","The University College of Osteopathy","240,719.673","4,012.598","","1.380","2.841","37.312"
"10007786","The University of Bristol","34,367,360.353","368,381.600","","133.393","261.522","3,568.771"
"10000961","Brunel University London","13,829,545.665","425,731.000","35.238","146.452","302.019","1,677.212"
"10000975","Buckinghamshire New University","2,508,603.970","27,864.000","0.000","9.585","19.728","329.612"
"10007788","The University of Cambridge","65,322,609.141","419,402.000","164.418","160.305","300.412","5,531.250"
"10003324","The Institute of Cancer Research","5,709,912.767","2,539.700","14.664","8.737","1.798","685.900"
"10001143","Canterbury Christ Church University","5,384,328.532","116,957.000","","43.495","82.806","765.450"
"10007814","Cardiff University","26,963,356.055","304,307.000","","111.185","216.157","7,659.368"
"10007854","Cardiff Metropolitan University","3,894,612.538","63,873.000","16.900","23.128","45.666","820.740"
"10007141","The University of Central Lancashire","9,449,173.609","69,569.630","15,768.244","31.050","56.956","1,109.088"
"10007848","University of Chester","11,172,202.303","130,870.000","","45.020","140.566","992.175"
"10007137","The University of Chichester","2,410,504.013","55,346.081","","20.041","39.185","654.794"
"10001478","City, University of London","6,905,489.236","23,643.000","15,429.000","16.599","16.739","644.900"
"10001653","Conservatoire for Dance and Drama","1,843,925.081","13,590.304","","3.978","9.622","907.847"
"10007761","Courtauld Institute of Art","505,035.135","21,977.300","18.585","6.113","28.141","406.415"
"10001726","Coventry University","11,947,016.355","81,855.000","36.000","28.158","59.539","1,892.625"
"10007822","Cranfield University","11,551,988.600","5,785.050","21.162","59.743","4.096","1,014.420"
"10006427","University for the Creative Arts","3,574,406.808","57,983.950","23.367","20.300","41.053","579.400"
"10007842","University of Cumbria","4,136,406.922","36,997.440","11.398","14.075","26.194","506.562"
"10001883","De Montfort University","7,809,958.389","64,387.782","1,016.814","23.315","45.807","1,043.388"
"10007851","University of Derby","8,691,650.320","45,381.000","0.000","43.849","32.130","1,049.890"
"10007852","The University of Dundee","20,470,000.000","","75.300","68.310","","958.070"
"10007143","University of Durham","26,330,024.029","396,530.000","59.100","136.407","284.306","2,796.022"
"10007789","The University of East Anglia","20,468,096.806","364,705.000","3,611.848","139.398","260.605","1,756.603"
"10007144","The University of East London","4,989,195.487","115,908.000","","39.873","82.193","680.920"
"10007823","Edge Hill University","6,034,049.076","115,570.000","","49.673","81.824","667.160"
"10007772","Edinburgh Napier University","4,359,549.274","22,693.000","334.040","8.217","16.067","2,120.950"
"10007790","The University of Edinburgh","65,718,067.447","434,448.300","178.400","174.897","307.589","22,285.100"
"10007791","The University of Essex","9,875,506.197","173,914.010","23.880","67.221","123.188","5,177.614"
"10007792","The University of Exeter","15,956,668.405","222,734.150","","80.653","161.661","1,050.000"
"10008640","Falmouth University","3,332,274.661","51,906.000","414.350","18.796","36.749","414.350"
"10004511","The National Film and Television School","760,929.276","5,949.000","","2.623","4.212","138.030"
"10007762","Glasgow Caledonian University","6,361,715.289","38,764.000","80.720","14.036","27.445","510.461"
"10002681","Glasgow School of Art","2,220,003.500","","3.720","7.129","",""
"10007794","The University of Glasgow","34,843,895.149","262,040.000","534.900","101.230","185.524",""
"10007145","University of Gloucestershire","2,444,027.488","58,872.450","13.710","21.318","41.682","370.534"
"10002718","Goldsmiths College","3,713,443.806","79,986.770","0.000","27.516","56.631","775.677"
"10007146","The University of Greenwich","7,474,689.124","95,867.000","14.260","33.434","67.874","1,663.733"
