﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007783","The University of Aberdeen","235,939,000","139,596,000","68,331,000","22,618,000","230,545,000","228,957,000"
"10007849","Abertay University","37,177,000","30,480,000","4,377,000","1,866,000","36,723,000","38,102,000"
"10007856","Aberystwyth University","118,842,000","68,243,000","28,017,000","14,406,000","110,666,000","120,864,000"
"10000291","Anglia Ruskin University","268,874,000","250,741,000","6,578,000","6,976,000","264,295,000","270,231,000"
"10007759","Aston University","172,494,000","135,970,000","28,728,000","6,440,000","171,138,000","163,025,000"
"10007857","Bangor University","153,368,000","97,027,000","32,426,000","15,942,000","145,395,000","154,917,000"
"10000571","Bath Spa University","80,454,000","68,342,000","2,770,000","2,758,000","73,870,000","81,894,000"
"10007850","The University of Bath","289,452,000","192,358,000","57,694,000","17,970,000","268,022,000","321,488,000"
"10007152","University of Bedfordshire","162,206,000","147,958,000","5,853,000","8,082,000","161,893,000","144,164,000"
"10005343","Queen's University Belfast","397,469,000","221,029,000","120,942,000","44,167,000","386,138,000","373,035,000"
"10007760","Birkbeck College","117,795,000","86,987,000","19,807,000","10,803,000","117,597,000","106,783,000"
"10007140","Birmingham City University","274,606,000","250,412,000","6,773,000","14,510,000","271,695,000","270,818,000"
"10007811","Bishop Grosseteste University","22,743,000","19,549,000","395,000","1,971,000","21,915,000","26,798,000"
"10000385","The Arts University Bournemouth","41,106,000","35,236,000","154,000","1,100,000","36,490,000","45,358,000"
"10000824","Bournemouth University","162,408,000","143,780,000","8,265,000","4,500,000","156,545,000","167,141,000"
"10007785","The University of Bradford","120,812,000","102,558,000","10,817,000","7,290,000","120,665,000","119,320,000"
"10000886","The University of Brighton","191,478,000","154,097,000","13,761,000","11,795,000","179,653,000","201,402,000"
"10007786","The University of Bristol","776,773,000","416,725,000","229,432,000","92,463,000","738,620,000","710,617,000"
"10000961","Brunel University London","234,044,000","168,848,000","34,788,000","9,249,000","212,885,000","256,801,000"
