﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10008071","AA School of Architecture","590","410","0","1,000"
"10007783","The University of Aberdeen","8,950","6,470","35","15,455"
"10007849","Abertay University","2,280","2,530","35","4,840"
"10007856","Aberystwyth University","4,585","3,610","215","8,415"
"10067853","ACM Guildford Limited","300","680","45","1,020"
"10000163","AECC University College","570","615","0","1,185"
"10032036","Amity Global Education","55","50","0","105"
"10000291","Anglia Ruskin University","21,515","13,535","30","35,080"
"10041898","Apex College","320","315","0","630"
"10062759","Applied Business Academy Limited","1,240","1,115","0","2,355"
"10005451","Arden University","12,610","8,080","15","20,700"
"10000381","Arts Educational Schools","205","140","5","345"
"10008899","The Ashridge (Bonar Law Memorial) Trust","385","345","25","755"
"10003212","Hult International Business School Ltd","740","955","5","1,700"
"10007759","Aston University","9,005","10,200","5","19,210"
"10038772","British Academy of Jewellery Limited","315","460","0","780"
"10007857","Bangor University","6,485","4,275","70","10,825"
"10000571","Bath Spa University","9,045","8,270","20","17,335"
"10007850","The University of Bath","8,785","10,450","5","19,240"
"10007152","University of Bedfordshire","9,015","5,650","30","14,695"
"10005343","Queen's University Belfast","15,020","10,565","10","25,600"
"10037544","BIMM University","3,305","3,680","75","7,060"
"10007760","Birkbeck College","5,860","4,295","50","10,200"
"10007140","Birmingham City University","20,035","11,635","75","31,745"
"10006840","The University of Birmingham","21,840","16,780","90","38,710"
"10000712","University College Birmingham","3,835","2,650","5","6,490"
"10007832","Birmingham Newman University","2,105","670","0","2,775"
"10000894","Bristol Baptist College","20","30","0","50"
"10007811","Bishop Grosseteste University","1,580","540","5","2,125"
"10004061","Bloomsbury Institute","770","670","0","1,440"
"10006841","The University of Bolton","6,870","3,965","10","10,845"
"10000385","The Arts University Bournemouth","2,735","1,000","160","3,890"
"10000824","Bournemouth University","10,530","8,305","95","18,925"
"10031982","BPP University","13,785","13,515","205","27,505"
"10007785","The University of Bradford","7,300","5,625","0","12,925"
"10000886","The University of Brighton","11,005","6,580","290","17,870"
"10000936","The University College of Osteopathy","250","215","0","465"
"10007786","The University of Bristol","17,830","14,245","30","32,100"
"10028216","Brit College","440","460","0","900"
"10023464","Trinity College Bristol","75","75","0","150"
"10000961","Brunel University London","8,170","10,145","55","18,370"
"10000975","Buckinghamshire New University","11,590","9,670","15","21,275"
"10007787","The University of Buckingham","1,990","1,765","5","3,760"
"10019368","London College of Business Studies","100","145","0","245"
"10010308","Cambridge Arts and Sciences Limited","95","25","10","135"
"10007788","The University of Cambridge","11,620","11,155","200","22,975"
"10032072","The Cambridge Theological Federation","55","75","0","135"
"10003324","The Institute of Cancer Research","265","115","0","375"
"10001143","Canterbury Christ Church University","18,065","13,575","120","31,760"
"10007814","Cardiff University","19,460","13,140","125","32,725"
"10007854","Cardiff Metropolitan University","7,025","6,515","5","13,545"
"10057213","CEG UFP Limited","305","745","0","1,050"
"10001264","Central School of Ballet","85","30","0","115"
"10007141","The University of Central Lancashire","16,490","11,375","30","27,890"
"10024024","Central Film School London","45","90","0","135"
"10007848","University of Chester","9,360","4,565","15","13,940"
"10007137","The University of Chichester","3,815","2,070","0","5,885"
"10001386","Chicken Shed Theatre Company","40","30","0","70"
"10001546","The College of Integrated Chinese Medicine","160","25","0","185"
"10026921","Christ the Redeemer College","165","85","0","250"
"10010213","The City College","190","95","0","285"
"10001478","City, University of London","12,550","9,090","90","21,735"
"10007912","Cliff College","70","50","0","120"
"10066502","The College of Health Ltd","205","140","5","355"
"10023442","The College of Osteopaths","45","55","0","100"
"10020038","Commonwealth College of Excellence","5","5","0","10"
"10081618","The Council of the Inns of Court","130","85","5","215"
"10007761","Courtauld Institute of Art","485","110","5","605"
"10034324","Court Theatre Training Company Ltd","20","20","0","40"
"10001726","Coventry University","18,055","17,240","110","35,405"
"10007822","Cranfield University","1,610","3,785","35","5,430"
"10006427","University for the Creative Arts","6,410","4,635","95","11,140"
"10007842","University of Cumbria","6,465","3,545","45","10,055"
"10026767","Dartington Hall Trust (The)","110","55","5","170"
"10015688","David Game College Ltd","215","135","5","355"
"10001883","De Montfort University","13,485","11,060","3,370","27,915"
"10007851","University of Derby","13,930","8,005","130","22,070"
"10007852","The University of Dundee","11,335","6,005","20","17,365"
"10007143","University of Durham","12,065","10,295","5","22,365"
"10067355","Dyson Technical Training Limited","25","40","10","80"
"10007789","The University of East Anglia","10,860","7,565","120","18,540"
"10007144","The University of East London","11,190","11,250","15","22,450"
"10032282","The Queen's Foundation for Ecumenical Theological Education","185","105","0","290"
"10007823","Edge Hill University","10,180","4,320","5","14,505"
"10007772","Edinburgh Napier University","8,420","7,075","25","15,520"
"10007790","The University of Edinburgh","24,200","14,690","220","39,110"
"10022047","Empire College London Limited","95","105","0","200"
"10042570","Escape Studios","305","385","10","695"
"10007791","The University of Essex","10,445","8,270","65","18,780"
"10008173","University College of Estate Management","1,125","1,975","5","3,105"
"10002313","ESCP Europe Business School","400","465","0","865"
"10007792","The University of Exeter","17,810","14,635","380","32,825"
"10008640","Falmouth University","4,160","3,040","180","7,380"
"10045476","Met Film School Limited","260","280","0","545"
"10004511","The National Film and Television School","280","260","0","545"
"10022087","Futureworks","110","315","10","430"
"10042500","Global Banking School Limited","1,145","1,050","0","2,195"
"10007762","Glasgow Caledonian University","12,235","9,300","15","21,555"
"10002681","Glasgow School of Art","1,760","790","55","2,605"
"10007794","The University of Glasgow","23,770","15,675","315","39,755"
"10007145","University of Gloucestershire","5,060","3,305","25","8,390"
"10002718","Goldsmiths College","6,470","2,840","45","9,350"
"10030408","Gower College Swansea","20","20","0","40"
"10007146","The University of Greenwich","15,840","12,675","150","28,660"
"10007825","Guildhall School of Music and Drama","495","580","5","1,075"
"10040812","Harper Adams University","2,855","2,205","10","5,070"
"10080811","Hartpury University","1,735","770","0","2,505"
"10007764","Heriot-Watt University","4,400","7,045","180","11,625"
"10007147","University of Hertfordshire","16,370","16,690","1,225","34,285"
"10007148","The University of Huddersfield","12,235","8,030","60","20,325"
"10007149","The University of Hull","8,710","6,585","105","15,400"
"10003239","ICON College of Technology and Management","810","680","0","1,490"
"10003270","Imperial College of Science, Technology and Medicine","9,670","12,580","5","22,255"
"10003284","Inchbald School of Design Limited","30","0","0","30"
"10013220","Institute of Art - London Limited","295","45","5","350"
"10067388","The Institute of Ismaili Studies","55","40","0","95"
"10035638","Institute of Contemporary Music Performance","460","715","20","1,190"
"10027603","International College of Musical Theatre","10","5","0","15"
"10082728","INTO University Partnerships Limited","45","65","0","110"
"10029682","The Islamic College","60","45","0","110"
"10067601","JSA Education Group Ltd.","50","5","0","60"
"10082570","Kaplan International Colleges U.K. Limited","305","755","0","1,060"
"10021682","Kaplan Open Learning (Essex) Limited","1,260","560","10","1,830"
"10007767","Keele University","8,190","4,870","30","13,090"
"10007150","The University of Kent","9,710","8,145","60","17,920"
"10003645","King's College London","26,215","14,460","370","41,045"
"10003678","Kingston University","11,660","7,685","70","19,410"
"10003758","LAMDA Limited","220","140","10","365"
"10007768","The University of Lancaster","8,845","8,560","760","18,165"
"10003854","Leeds Arts University","1,685","555","10","2,250"
"10003861","Leeds Beckett University","12,675","10,895","10","23,580"
"10003798","Le Cordon Bleu Limited","360","135","10","500"
"10034449","Leeds Conservatoire","555","890","10","1,455"
"10007795","The University of Leeds","22,290","15,000","120","37,410"
"10003863","Leeds Trinity University","7,630","5,990","10","13,630"
"10082828","College of Legal Practice Limited","325","140","5","470"
"10007796","The University of Leicester","9,560","8,665","35","18,260"
"10089591","LIBF Limited","85","245","5","335"
"10007151","The University of Lincoln","11,195","8,450","70","19,710"
"10036456","Academy of Live Technology Ltd","50","120","0","170"
"10003956","Liverpool Hope University","3,435","2,070","15","5,520"
"10003957","Liverpool John Moores University","16,195","12,190","35","28,420"
"10003945","The Liverpool Institute for Performing Arts","550","405","15","975"
"10006842","The University of Liverpool","16,585","13,370","5","29,955"
"10003958","Liverpool School of Tropical Medicine","180","80","0","260"
"10007820","Grŵp Llandrillo Menai","570","295","5","875"
"10007162","University of the Arts, London","17,895","5,565","170","23,625"
"10013109","London Bridge Business Academy","90","65","0","155"
"10007769","London Business School","930","1,370","0","2,300"
"10030391","London Churchill College Ltd","380","455","0","835"
"10007797","University of London (Institutes and activities)","1,530","1,745","5","3,275"
"10039082","City and Guilds of London Art School","205","85","5","295"
"10023434","London School of Commerce & IT Limited","65","40","0","105"
"10004036","London Film School Limited","160","175","0","340"
"10015506","The London College","310","600","0","915"
"10004048","London Metropolitan University","9,605","5,500","30","15,135"
"10032594","London School of Academics Ltd","85","60","0","145"
"10004078","London South Bank University","9,855","7,980","30","17,865"
"10004063","London School of Economics and Political Science","7,615","5,650","30","13,295"
"10007771","London School of Hygiene and Tropical Medicine","725","315","0","1,040"
"10022285","London School of Management Education","440","275","0","715"
"10004075","London School of Theology","160","145","0","300"
"10004079","London Studio Centre","305","20","5","330"
"10062810","The London School of Architecture","60","55","0","115"
"10004035","The Film Education Training Trust Limited","60","80","20","160"
"10067623","The London Interdisciplinary School Ltd","55","40","0","95"
