﻿Title:,"Table 59 - UK permanent address HE students by HE provider and permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 59
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-59.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE Provider","Channel Islands not otherwise specified","Isle of Man","Total Other UK","Not known","Total"
"10007783","The University of Aberdeen","5","0","5","0","10,065"
"10019746","ABI College Limited","0","0","0","0","110"
"10007849","Abertay University","0","0","0","0","3,750"
"10007856","Aberystwyth University","5","15","20","0","8,460"
"10000080","Access to Music Limited","0","0","0","0","65"
"10000248","Academy of Live and Recorded Arts","0","0","0","0","190"
"10000291","Anglia Ruskin University","5","0","5","0","17,110"
"10000381","Arts Educational Schools","0","0","5","0","230"
"10007759","Aston University","5","0","5","0","8,540"
"10007857","Bangor University","10","25","35","0","8,475"
"10000571","Bath Spa University","20","5","30","0","6,625"
"10007850","The University of Bath","65","15","90","10","11,060"
"10007152","University of Bedfordshire","5","0","10","0","12,295"
"10005343","Queen's University Belfast","5","25","30","0","21,265"
"10037544","BIMM University","10","5","10","0","2,120"
"10007760","Birkbeck College","5","0","5","0","12,505"
"10007140","Birmingham City University","5","5","10","0","20,540"
"10006840","The University of Birmingham","30","15","205","160","25,860"
"10000712","University College Birmingham","0","0","0","0","3,680"
"10007832","Birmingham Newman University","0","0","0","0","2,710"
"10007811","Bishop Grosseteste University","0","0","0","0","2,290"
"10004061","Bloomsbury Institute","0","0","0","0","940"
"10006841","The University of Bolton","0","0","0","0","5,845"
"10000385","The Arts University Bournemouth","40","5","45","0","2,525"
"10000824","Bournemouth University","95","5","105","5","15,650"
"10031982","BPP University","10","0","10","0","3,825"
"10007785","The University of Bradford","5","5","10","0","9,585"
"10000886","The University of Brighton","160","5","160","0","17,775"
"10007786","The University of Bristol","40","10","50","0","16,635"
"10028216","Brit College","0","0","0","0","320"
"10000961","Brunel University London","5","0","10","0","9,340"
"10000975","Buckinghamshire New University","5","0","5","0","8,220"
"10007787","The University of Buckingham","5","5","5","0","1,365"
"10022021","UK College of Business and Computing","0","0","0","0","1,705"
"10019368","London College of Business Studies","0","0","0","0","510"
"10007788","The University of Cambridge","20","10","30","0","13,145"
"10003324","The Institute of Cancer Research","0","0","0","0","275"
"10001143","Canterbury Christ Church University","30","5","30","0","15,170"
"10007814","Cardiff University","65","10","75","0","23,490"
"10007854","Cardiff Metropolitan University","10","10","20","0","8,950"
"10007141","The University of Central Lancashire","10","45","55","0","22,775"
"10007848","University of Chester","20","55","75","0","13,840"
"10007137","The University of Chichester","35","0","35","0","5,305"
"10001386","Chicken Shed Theatre Company","0","0","0","0","75"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","210"
"10010213","The City College","0","0","0","0","260"
"10001478","City, University of London","5","0","5","0","11,065"
"10013357","The Academy of Contemporary Music","0","0","0","0","720"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","870"
"10007761","Courtauld Institute of Art","0","0","0","0","310"
"10001726","Coventry University","5","10","15","0","18,500"
"10007822","Cranfield University","0","0","5","5","1,835"
"10006427","University for the Creative Arts","5","0","5","0","4,135"
"10007842","University of Cumbria","0","25","30","0","8,775"
"10001883","De Montfort University","15","5","20","0","16,840"
"10007851","University of Derby","5","15","20","0","14,625"
"10007852","The University of Dundee","10","15","25","5","12,660"
"10007143","University of Durham","75","25","100","0","12,960"
"10007789","The University of East Anglia","0","10","15","5","12,100"
"10007144","The University of East London","10","0","15","10","14,060"
"10007823","Edge Hill University","10","55","60","0","15,915"
"10007772","Edinburgh Napier University","5","5","5","0","10,355"
"10007790","The University of Edinburgh","50","35","90","10","18,805"
"10022047","Empire College London Limited","0","0","0","0","120"
"10042570","Escape Studios","0","0","0","0","145"
"10007791","The University of Essex","10","5","15","0","9,745"
"10002113","East End Computing and Business College Limited","0","0","0","0","485"
"10008229","EThames Graduate School Limited","0","0","0","0","580"
"10007792","The University of Exeter","90","10","105","5","15,330"
"10008640","Falmouth University","20","10","30","0","3,975"
"10033187","Fairfield School of Business Ltd","0","0","0","0","585"
"10045476","Met Film School Limited","0","0","0","0","70"
"10004511","The National Film and Television School","0","0","0","0","165"
"10038763","ForMission Ltd","0","0","0","0","150"
"10022087","Futureworks","0","0","0","0","175"
"10007762","Glasgow Caledonian University","5","0","5","0","14,680"
"10002681","Glasgow School of Art","0","0","0","0","1,340"
"10007794","The University of Glasgow","5","5","10","5","19,480"
"10007145","University of Gloucestershire","15","5","20","0","7,475"
"10002718","Goldsmiths College","5","0","10","0","6,050"
"10002735","Grafton College","0","0","0","0","845"
"10007146","The University of Greenwich","10","5","15","5","17,045"
"10007937","GSM London","0","0","0","0","7,050"
"10007825","Guildhall School of Music and Drama","0","0","0","0","615"
"10040812","Harper Adams University","5","10","15","0","4,825"
"10007764","Heriot-Watt University","5","5","10","5","7,015"
"10007147","University of Hertfordshire","20","5","35","10","20,685"
"10007765","Heythrop College","0","0","0","0","625"
"10042194","Holborn College Limited","0","0","0","0","350"
"10007148","The University of Huddersfield","0","40","40","0","16,400"
"10007149","The University of Hull","5","10","15","5","13,890"
"10003239","ICON College of Technology and Management","0","0","0","0","1,465"
"10003270","Imperial College of Science, Technology and Medicine","5","0","10","0","8,645"
"10007766","Institute of Education","5","0","5","0","4,815"
"10035638","Institute of Contemporary Music Performance","0","0","5","0","525"
"10007767","Keele University","10","5","20","5","8,130"
"10003566","Kensington College of Business","0","0","0","0","270"
