﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007783","The University of Aberdeen","4","116","82.053","40.847","21.203","265,688.690","1,528","833"
"10007849","Abertay University","1","11","2.600","1.100","0.000","49,624.000","225","86"
"10007856","Aberystwyth University","4","152","118.720","56.000","23.000","219,625.000","2,525","342"
"10000291","Anglia Ruskin University","3","191","22.797","9.140","8.000","118,686.820","730","2,096"
"10007759","Aston University","2","20","30.300","17.000","18.000","106,498.562","866","126"
"10007857","Bangor University","15","168","345.000","327.000","15.200","217,655.000","1,951","685"
"10000571","Bath Spa University","4","73","60.140","53.320","2.240","67,580.300","843","290"
"10007850","The University of Bath","1","99","53.000","31.000","24.000","271,471.000","2,036","874"
"10007152","University of Bedfordshire","5","53","36.273","27.797","5.683","106,511.000","650","231"
"10005343","Queen's University Belfast","6","232","59.400","40.230","27.920","345,312.000","1,376","1,006"
"10007760","Birkbeck College","2","18","4.049","0.000","0.000","40,491.850","0","30"
"10007140","Birmingham City University","","","20.170","20.170","0.000","184,223.850","",""
"10006840","The University of Birmingham","6","192","110.000","92.600","27.800","538,052.100","3,591","1,446"
"10000712","University College Birmingham","5","8","2.700","1.760","0.000","67,293.810","309","159"
"10007832","Birmingham Newman University","1","17","5.900","4.660","1.280","20,375.000","389","65"
"10007811","Bishop Grosseteste University","1","25","8.100","4.300","4.200","20,770.850","228","102"
"10006841","The University of Bolton","4","17","10.634","7.200","0.000","61,278.340","526","24"
"10000385","The Arts University Bournemouth","1","12","3.800","3.800","0.000","33,895.050","224","180"
"10000824","Bournemouth University","3","30","19.060","9.443","3.580","104,576.640","1,266","817"
"10007785","The University of Bradford","8","34","50.100","19.500","26.000","115,542.340","1,298","210"
"10000886","The University of Brighton","6","125","48.665","38.260","9.300","197,928.470","1,432","1,060"
"10000936","The University College of Osteopathy","1","2","","","0.000","5,187.000","",""
"10007786","The University of Bristol","6","327","292.654","50.189","16.400","522,616.140","1,705","3,316"
"10000961","Brunel University London","1","137","78.350","78.350","17.260","238,017.690","2,043","789"
"10000975","Buckinghamshire New University","3","27","8.100","7.000","0.000","57,457.410","530","228"
"10007788","The University of Cambridge","15","345","163.000","","","660,256.100","3,580","9,000"
"10003324","The Institute of Cancer Research","2","10","5.576","2.360","0.000","35,269.840","362","90"
"10001143","Canterbury Christ Church University","16","170","23.340","13.217","4.708","133,756.280","1,211","840"
"10007814","Cardiff University","6","291","68.590","25.410","13.770","452,325.000","1,953","3,305"
"10007854","Cardiff Metropolitan University","3","51","27.000","15.000","6.000","95,648.000","1,605","530"
"10007141","The University of Central Lancashire","6","74","58.426","20.450","24.909","174,272.280","1,949","658"
"10007848","University of Chester","3","213","73.610","43.100","17.900","190,640.730","2,417","272"
"10007137","The University of Chichester","2","125","28.603","16.052","11.679","75,269.300","814","513"
"10001478","City, University of London","3","20","11.120","0.000","0.000","111,233.560","28","270"
"10001653","Conservatoire for Dance and Drama","4","5","","","0.000","53,193.150","13","110"
"10007761","Courtauld Institute of Art","2","3","0.930","0.000","0.000","9,785.000","0","0"
"10001726","Coventry University","6","120","35.900","7.940","12.300","247,977.000","1,749","646"
"10007822","Cranfield University","3","276","254.400","237.900","5.840","171,144.000","2,399","402"
"10006427","University for the Creative Arts","4","58","8.000","8.000","0.000","70,244.000","796","142"
"10007842","University of Cumbria","6","96","37.105","28.762","3.500","83,280.140","1,091","329"
"10001883","De Montfort University","1","56","22.540","7.920","9.140","176,081.970","962","642"
"10007851","University of Derby","7","48","48.620","41.810","7.900","161,096.640","1,818","420"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","",""
"10007143","University of Durham","3","312","200.000","57.920","33.148","356,789.260","3,157","1,562"
"10007789","The University of East Anglia","1","98","146.000","130.000","14.000","316,292.000","1,976","3,960"
"10007144","The University of East London","3","30","13.350","12.773","0.200","122,480.190","700","516"
"10007823","Edge Hill University","2","88","51.000","25.700","4.700","133,313.000","1,647","209"
"10007772","Edinburgh Napier University","9","22","35.000","10.000","0.000","114,141.160","933","597"
"10007790","The University of Edinburgh","7","399","348.000","298.000","20.000","785,043.000","2,862","4,995"
"10007791","The University of Essex","4","128","111.560","102.000","7.000","244,570.450","1,742","997"
"10007792","The University of Exeter","4","213","107.670","107.670","31.000","279,225.660","1,991","1,610"
"10008640","Falmouth University","2","82","22.256","19.860","0.235","69,697.860","640","493"
"10004511","The National Film and Television School","1","18","1.420","1.420","0.000","12,434.000","105","30"
"10007762","Glasgow Caledonian University","2","23","7.116","4.762","0.000","115,480.420","141","168"
"10002681","Glasgow School of Art","4","18","2.000","2.000","0.000","67,714.000","40","72"
"10007794","The University of Glasgow","18","324","220.000","81.000","23.000","478,853.120","1,797","959"
"10007145","University of Gloucestershire","4","80","33.000","13.730","5.000","80,854.000","853","596"
"10002718","Goldsmiths College","3","91","17.513","9.013","8.500","83,213.000","111","450"
"10007146","The University of Greenwich","3","48","41.111","21.001","17.560","141,259.310","1,561","456"
"10007825","Guildhall School of Music and Drama","1","4","0.892","0.140","0.000","33,817.040","2","147"
"10040812","Harper Adams University","1","","143.600","26.700","5.570","49,206.230","1,426","96"
"10007764","Heriot-Watt University","4","89","89.640","89.460","10.440","225,484.972","2,204","575"
"10007147","University of Hertfordshire","8","84","94.460","94.460","21.640","188,834.000","3,495","1,700"
"10007148","The University of Huddersfield","1","26","17.350","11.750","5.600","107,123.640","667","154"
"10007149","The University of Hull","2","187","90.340","55.440","34.900","210,683.000","2,025","970"
"10003270","Imperial College of Science, Technology and Medicine","11","105","152.209","118.873","24.253","531,156.000","893","2,224"
"10007767","Keele University","2","215","209.800","97.000","18.500","181,533.000","2,260","464"
"10007150","The University of Kent","2","397","129.360","120.160","9.200","247,085.500","2,439","1,441"
"10003645","King's College London","6","91","33.040","2.000","20.920","444,578.283","","1,000"
"10003678","Kingston University","5","168","50.920","23.700","21.320","161,694.470","1,729","1,265"
"10007768","The University of Lancaster","2","250","155.700","97.800","35.800","314,698.000","2,849","1,089"
"10003854","Leeds Arts University","","","","","0.000","16,976.000","",""
"10003861","Leeds Beckett University","3","112","56.232","18.050","19.207","210,756.311","1,530","1,025"
"10007795","The University of Leeds","6","318","131.589","68.312","50.289","566,464.053","1,991","2,194"
"10003863","Leeds Trinity University","1","32","18.000","7.000","6.600","41,399.000","483","44"
"10007796","The University of Leicester","5","298","89.700","40.901","26.604","314,768.882","2,161","2,163"
"10007151","The University of Lincoln","3","61","256.818","239.418","3.232","134,287.261","981","1,340"
"10003956","Liverpool Hope University","3","46","16.270","5.820","2.350","81,097.000","579","201"
"10003957","Liverpool John Moores University","3","43","24.160","5.750","6.870","156,617.360","742","473"
"10003945","The Liverpool Institute for Performing Arts","1","2","0.896","0.605","0.000","13,178.070","26","26"
"10006842","The University of Liverpool","7","213","246.500","83.200","18.600","474,206.000","1,867","713"
"10003958","Liverpool School of Tropical Medicine","1","4","1.120","0.000","0.000","17,897.600","121","120"
"10007162","University of the Arts, London","17","40","8.837","3.839","0.000","170,493.845","124","1,081"
"10007769","London Business School","","","","","","40,615.750","",""
"10007797","University of London (Institutes and activities)","","","","","","155,734.000","",""
"10004048","London Metropolitan University","4","8","2.648","0.860","0.000","93,495.000","25","162"
"10004078","London South Bank University","2","31","7.480","0.360","0.000","148,771.000","118","312"
"10004063","London School of Economics and Political Science","1","43","21.180","11.680","9.500","186,934.640","56","476"
"10007771","London School of Hygiene and Tropical Medicine","","","","","","27,429.000","",""
"10004113","Loughborough University","2","128","120.752","93.308","28.093","301,245.810","3,584","2,110"
"10004180","The Manchester Metropolitan University","2","55","40.250","6.269","7.800","261,745.000","1,433","1,036"
"10007798","The University of Manchester","7","222","163.830","95.730","45.151","887,985.250","3,767","3,000"
"10004351","Middlesex University","4","42","10.947","6.500","3.200","88,414.000","559","164"
"10007799","Newcastle University","24","252","632.064","25.250","22.170","426,280.550","676","2,073"
"10007138","The University of Northampton","4","56","45.000","33.000","9.000","113,759.000","2,085","414"
"10001282","University of Northumbria at Newcastle","4","62","45.000","25.000","13.000","254,112.710","1,466","863"
"10004775","Norwich University of the Arts","1","18","1.470","0.840","0.000","18,831.000","43","197"
"10007154","University of Nottingham","4","353","230.000","543.000","48.000","646,562.000","4,867","4,951"
"10004797","The Nottingham Trent University","3","102","259.208","239.050","7.679","193,779.000","1,630","769"
"10007773","The Open University","12","79","52.970","31.810","3.230","137,605.000","2,820","709"
"10004930","Oxford Brookes University","9","142","79.200","56.300","13.600","223,323.000","1,530","2,892"
"10007774","The University of Oxford","13","236","450.840","415.471","8.710","608,634.000","1,742","4,238"
"10005127","Arts University Plymouth","6","7","0.968","0.058","0.000","14,765.820","30","25"
"10007801","University of Plymouth","12","93","14.720","9.090","0.000","173,057.400","604","314"
"10007155","The University of Portsmouth","","","","","","181,628.440","1,209","1,366"
"10005337","Queen Margaret University, Edinburgh","1","14","14.273","13.300","0.133","46,596.580","431","800"
"10007775","Queen Mary University of London","4","85","26.292","7.072","13.000","238,010.000","255","910"
"10005389","Ravensbourne University London","1","1","0.288","0.288","0.000","13,926.000","6","100"
"10007802","The University of Reading","3","177","130.900","122.800","22.570","198,869.990","2,256","3,409"
"10005500","Robert Gordon University","2","29","56.219","17.000","0.000","107,218.000","1,062","275"
"10007776","Roehampton University","4","55","","","","106,405.100","",""
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,246.000","116","140"
"10007835","Royal Academy of Music","4","5","0.459","0.090","0.000","14,022.350","0","60"
"10005545","Royal Agricultural University","3","31","","","","23,655.544","","75"
"10007777","Royal College of Art","3","12","1.391","0.390","0.000","30,852.900","25","290"
"10007778","Royal College of Music","","","","","","12,037.700","",""
"10007816","The Royal Central School of Speech and Drama","3","8","0.620","0.620","0.000","12,309.000","2","40"
"10005553","Royal Holloway and Bedford New College","3","102","77.930","68.880","3.340","152,571.180","1,415","723"
"10007837","Royal Northern College of Music","1","1","1.000","1.000","0.000","17,999.071","160","66"
