﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE Provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff","Managers, directors and senior officials ","Professional occupations ","Associate professional occupations ","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total non-academic staff","Total"
"10007783","The University of Aberdeen","0","1,555","10","0","1,565","55","335","425","585","70","75","25","20","255","1,845","3,410"
"10007849","Abertay University","0","205","5","0","210","15","55","65","110","10","5","0","0","65","330","540"
"10007856","Aberystwyth University","0","840","5","0","850","65","305","255","305","85","75","20","15","175","1,305","2,150"
"10000291","Anglia Ruskin University","5","785","15","0","805","60","225","230","425","25","20","15","5","70","1,080","1,885"
"10007759","Aston University","0","675","0","0","675","85","135","240","200","25","25","15","10","120","860","1,535"
"10007857","Bangor University","5","965","20","0","990","60","105","270","400","45","60","0","5","270","1,220","2,210"
"10000571","Bath Spa University","5","605","0","0","610","25","105","105","155","15","25","0","0","75","505","1,115"
"10007850","The University of Bath","0","1,345","0","0","1,345","155","375","345","480","75","65","25","20","370","1,920","3,265"
"10007152","University of Bedfordshire","0","615","20","0","635","15","115","180","260","15","35","15","0","45","680","1,315"
"10005343","Queen's University Belfast","0","1,710","5","0","1,715","30","540","395","735","45","75","15","0","185","2,025","3,740"
"10007760","Birkbeck College","5","1,265","0","0","1,270","50","110","110","280","10","5","15","0","30","610","1,880"
"10007140","Birmingham City University","5","1,675","15","0","1,700","90","245","180","495","15","20","15","5","25","1,095","2,790"
"10006840","The University of Birmingham","5","3,595","30","0","3,635","280","525","1,030","1,105","175","145","35","15","485","3,795","7,430"
"10000712","University College Birmingham","0","290","0","0","290","20","50","35","80","15","10","15","0","80","300","590"
"10007832","Birmingham Newman University","0","155","5","0","160","15","20","25","65","5","5","0","0","35","175","335"
"10007811","Bishop Grosseteste University","0","95","0","0","95","15","30","40","60","5","30","0","0","15","190","285"
