﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2022/23 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008071","AA School of Architecture","2023-07-31","6,499","5,021","11,520","17","9,611","425","45","21,618"
"10007783","The University of Aberdeen","2023-07-31","89,286","61,657","150,943","0","81,612","18,445","8,370","259,370"
"10007849","Abertay University","2023-07-31","13,254","12,325","25,579","0","10,883","3,227","22","39,711"
"10007856","Aberystwyth University","2023-07-31","37,651","31,134","68,785","395","40,617","14,250","5,819","129,866"
"10067853","ACM Guildford Limited","2022-08-31","2,856","2,948","5,804","0","2,636","538","2","8,980"
"10000163","AECC University College","2023-07-31","4,521","4,516","9,037","3","4,181","731","82","14,034"
"10032036","Amity Global Education","2023-03-31","231","208","439","0","1,648","1","0","2,088"
"10030497","Anglo Skills College","2023-02-28","27","8","35","0","43","7","0","85"
"10000291","Anglia Ruskin University","2023-07-31","73,038","69,556","142,594","0","169,042","14,290","2,935","328,861"
"10041898","Apex College","2022-12-31","224","591","815","0","1,066","0","0","1,881"
"10062759","Applied Business Academy Limited","2023-02-28","1,497","642","2,139","0","4,973","169","149","7,430"
"10005451","Arden University","2022-10-31","18,936","20,618","39,554","0","42,585","2,707","0","84,846"
"10005451","Arden University","2023-05-31","15,061","15,772","30,833","0","34,651","1,843","0","67,327"
"10000381","Arts Educational Schools","2022-08-31","5,907","715","6,622","0","3,019","982","188","10,811"
"10008899","The Ashridge (Bonar Law Memorial) Trust","2022-12-31","5,549","2,804","8,353","0","5,602","0","0","13,955"
"10003212","Hult International Business School Ltd","2023-07-31","4,053","3,459","7,512","0","7,537","969","428","16,446"
"10007759","Aston University","2023-07-31","63,969","49,142","113,111","0","77,840","13,261","4,327","208,539"
"10038772","British Academy of Jewellery Limited","2023-06-30","924","607","1,531","0","2,057","177","4","3,769"
"10007857","Bangor University","2023-07-31","45,395","38,076","83,471","0","66,894","15,886","6,040","172,291"
"10000571","Bath Spa University","2023-07-31","28,215","25,919","54,134","138","82,842","5,954","1,532","144,600"
"10007850","The University of Bath","2023-07-31","92,342","81,887","174,229","0","128,653","46,665","12,376","361,923"
"10000911","BCNO Limited","2022-08-31","1,556","1,075","2,631","61","1,654","231","6","4,583"
"10007152","University of Bedfordshire","2023-07-31","38,442","34,747","73,189","0","61,790","8,071","1,736","144,786"
"10005343","Queen's University Belfast","2023-07-31","122,662","111,250","233,912","0","175,023","25,954","6,575","441,464"
"10037544","BIMM University","2022-08-31","8,095","11,677","19,772","0","28,151","5,501","39","53,463"
"10002011","Bird College","2023-07-31","2,297","1,657","3,954","0","1,699","141","0","5,794"
"10007760","Birkbeck College","2023-07-31","41,460","24,477","65,937","3,877","31,132","5,967","1,239","108,152"
"10007140","Birmingham City University","2023-07-31","98,590","64,712","163,302","0","109,787","20,468","3,998","297,555"
"10006840","The University of Birmingham","2023-07-31","265,592","164,026","429,618","0","361,891","86,716","12,299","890,524"
"10000712","University College Birmingham","2023-07-31","22,150","10,411","32,561","0","31,020","6,123","428","70,132"
"10007832","Birmingham Newman University","2023-07-31","8,790","6,659","15,449","0","7,753","1,689","121","25,012"
"10000894","Bristol Baptist College","2023-06-30","167","108","275","0","413","33","14","735"
"10007811","Bishop Grosseteste University","2023-07-31","7,285","7,359","14,644","0","8,135","1,244","28","24,051"
"10004061","Bloomsbury Institute","2023-07-31","1,969","3,283","5,252","0","12,020","133","190","17,595"
"10006841","The University of Bolton","2023-07-31","43,559","26,719","70,278","21","58,359","7,335","1,203","137,196"
"10000385","The Arts University Bournemouth","2023-07-31","13,643","10,738","24,381","0","20,982","6,195","2,106","53,664"
"10000824","Bournemouth University","2023-07-31","57,075","40,725","97,800","373","65,765","13,032","3,449","180,419"
"10031982","BPP University","2022-08-31","22,227","17,397","39,624","787","50,856","896","0","92,163"
"10007785","The University of Bradford","2023-07-31","46,972","41,123","88,095","0","73,597","8,036","1,716","171,444"
"10000886","The University of Brighton","2023-07-31","71,723","60,565","132,288","5,536","64,616","8,111","4,510","215,061"
"10000936","The University College of Osteopathy","2023-07-31","1,705","1,470","3,175","0","2,338","263","169","5,945"
"10007786","The University of Bristol","2023-07-31","205,955","222,745","428,700","0","324,568","54,300","29,655","837,223"
"10028216","Brit College","2023-06-30","547","415","962","0","2,003","26","65","3,056"
"10023464","Trinity College Bristol","2022-08-31","484","908","1,392","0","1,241","152","53","2,838"
"10000961","Brunel University London","2023-07-31","77,239","65,131","142,370","0","111,117","17,382","7,326","278,195"
"10000975","Buckinghamshire New University","2023-07-31","21,031","22,915","43,946","6","129,192","5,071","2,591","180,806"
"10007787","The University of Buckingham","2022-12-31","11,084","9,371","20,455","0","27,315","2,385","171","50,326"
"10042737","UK Business College Ltd","2023-06-30","82","93","175","0","89","2","0","266"
"10019368","London College of Business Studies","2023-07-31","106","56","162","9","149","34","3","357"
"10010308","Cambridge Arts and Sciences Limited","2022-08-31","3,617","2,737","6,354","0","8,523","170","13","15,060"
"10007788","The University of Cambridge","2023-07-31","415,375","605,265","1,020,640","0","1,197,640","136,382","-36,810","2,317,852"
"10032072","The Cambridge Theological Federation","2022-08-31","0","213","213","0","894","15","0","1,122"
"10003324","The Institute of Cancer Research","2023-07-31","52,429","18,435","70,864","0","53,882","8,360","1,831","134,937"
"10001143","Canterbury Christ Church University","2023-07-31","46,356","41,493","87,849","660","159,353","9,900","2,658","260,420"
"10007814","Cardiff University","2023-07-31","219,581","99,062","318,643","0","226,288","47,291","19,247","611,469"
"10086359","Caspian School of Academics","2023-06-30","30","7","37","0","38","3","0","78"
"10007854","Cardiff Metropolitan University","2023-07-31","47,293","45,869","93,162","0","45,887","5,979","2,610","147,638"
"10057213","CEG UFP Limited","2022-08-31","6,825","4,148","10,973","0","35,315","838","4","47,130"
"10001264","Central School of Ballet","2023-07-31","1,008","842","1,850","0","1,117","478","472","3,917"
"10007141","The University of Central Lancashire","2023-07-31","111,744","69,735","181,479","0","102,183","12,305","1,612","297,579"
